date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
02.03.2021,2021,italy,serie-c-group-b,Perugia,Sambenedettese,1.58,3.83,5.33,1.73,2.12,1.74,2.0,https://www.oddsportal.com/soccer/italy/serie-c-group-b/perugia-sambenedettese-fod22M7A
02.03.2021,2021,france,ligue-2,AC Ajaccio,Rodez,2.25,2.92,3.85,2.48,1.58,2.03,1.76,https://www.oddsportal.com/soccer/france/ligue-2/ac-ajaccio-rodez-YFNTSd4N
02.03.2021,2021,england,national-league,Notts Co,King’s Lynn,1.6,4.06,5.07,1.68,2.18,1.72,2.07,https://www.oddsportal.com/soccer/england/national-league/notts-county-kings-lynn-lUdMbiXn
02.03.2021,2021,germany,3-liga,Viktoria Koln,Magdeburg,2.41,3.22,2.92,1.73,2.15,1.55,2.35,https://www.oddsportal.com/soccer/germany/3-liga/fc-viktoria-koln-magdeburg-QZNyhLxE
02.03.2021,2021,israel,leumit-league,MS Kafr Qasim,Hapoel Petah Tikva,2.42,3.0,2.98,2.32,1.52,1.99,1.75,https://www.oddsportal.com/soccer/israel/leumit-league/ms-kafr-qasim-hapoel-petah-tikva-nszBh7Qm
02.03.2021,2021,hungary,otp-bank-liga,Ferencvaros,DVTK,1.26,5.43,10.63,1.73,2.10,2.26,1.59,https://www.oddsportal.com/soccer/hungary/otp-bank-liga/ferencvaros-dvtk-zXwACRUb
02.03.2021,2021,bangladesh,premier-league,Mohammedan,Muktijoddha Sangsad,1.61,3.77,4.94,1.83,1.95,1.81,1.91,https://www.oddsportal.com/soccer/bangladesh/premier-league/mohammedan-muktijoddha-sangsad-6Rfs4Mda
02.03.2021,2021,england,championship,Huddersfield,Birmingham,2.51,3.14,3.09,2.47,1.58,2.04,1.76,https://www.oddsportal.com/soccer/england/championship/huddersfield-birmingham-dWggQDAF
02.03.2021,2021,england,league-two,Barrow,Harrogate,2.8,3.25,2.59,2.01,1.83,1.75,2.03,https://www.oddsportal.com/soccer/england/league-two/barrow-harrogate-SxmnykEB
02.03.2021,2021,england,national-league,FC Halifax,Hartlepool,2.87,3.14,2.5,1.86,1.96,1.65,2.15,https://www.oddsportal.com/soccer/england/national-league/halifax-hartlepool-f7cIaXHt
02.03.2021,2021,england,league-one,Sunderland,Swindon,1.49,4.47,6.92,1.83,2.05,1.96,1.81,https://www.oddsportal.com/soccer/england/league-one/sunderland-swindon-UckxQx1s
02.03.2021,2021,italy,serie-b,Reggina,Empoli,3.15,3.08,2.47,2.22,1.71,1.88,1.9,https://www.oddsportal.com/soccer/italy/serie-b/reggina-1914-empoli-UexIlTAN
02.03.2021,2021,england,league-one,Shrewsbury,AFC Wimbledon,1.98,3.48,4.05,2.19,1.73,1.94,1.83,https://www.oddsportal.com/soccer/england/league-one/shrewsbury-afc-wimbledon-Sl3AUIhQ
