date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
02.02.2019,2019,africa,caf-champions-league-2018-2019,Platinum (Zim),Horoya (Gui),1.87,3.4,4.23,2.48,1.55,2.22,1.69,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/platinum-horoya-j1JraURk/,2,1,0
01.02.2019,2019,africa,caf-champions-league-2018-2019,Mamelodi Sundowns (Rsa),ASEC Mimosas (Ivo),1.49,3.95,7.99,2.33,1.63,2.65,1.5,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/mamelodi-sundowns-asec-mimosas-UmOvNhyf/,1,4,1
22.12.2018,2018,africa,caf-champions-league-2018-2019,Mamelodi Sundowns (Rsa),Al Ahly Benghazi (Lby),1.26,4.75,11.5,1.90,1.82,2.66,1.47,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/mamelodi-sundowns-al-ahly-benghazi-E5VMy4oR/,1,4,0
16.12.2018,2018,africa,caf-champions-league-2018-2019,Gor Mahia (Ken),Lobi Stars (Nga),1.88,3.23,4.14,2.13,1.64,1.92,1.87,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/mahia-lobi-j7YX5oeq/,1,4,1
08.03.2019,2019,africa,caf-champions-league-2018-2019,Esperance Tunis (Tun),Horoya (Gui),1.24,5.36,13.0,2.19,1.70,3.16,1.37,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/esperance-tunis-horoya-2amX5002/,1,2,0
08.03.2019,2019,africa,caf-champions-league-2018-2019,El Ismaily (Egy),Mazembe (Drc),3.05,3.13,2.4,2.35,1.61,1.99,1.85,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/el-ismaily-mazembe-lUQDIwp8/,0,2,1
27.04.2019,2019,africa,caf-champions-league-2018-2019,Esperance Tunis,Mazembe,1.58,3.85,5.93,2.17,1.72,2.13,1.72,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/esperance-tunis-mazembe-vBmfUcvT/,1,1,0
05.12.2018,2018,africa,caf-champions-league-2018-2019,African Stars (Nam),Volcan Club (Com),1.56,4.02,5.2,1.73,2.00,1.8,1.91,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/african-stars-volcan-club-4Qrduc4O/,1,3,1
06.04.2019,2019,africa,caf-champions-league-2018-2019,Constantine,Esperance Tunis,2.27,2.92,3.56,2.73,1.46,2.22,1.69,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/constantine-esperance-tunis-CCuJRaLF/,2,5,1
16.12.2018,2018,africa,caf-champions-league-2018-2019,Al Ahly Benghazi (Lby),Mamelodi Sundowns (Rsa),2.68,3.29,2.46,1.92,1.80,1.71,2.12,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/al-ahly-benghazi-mamelodi-sundowns-YRo6ARnS/,0,0,0
12.02.2019,2019,africa,caf-champions-league-2018-2019,Saoura (Alg),AS Vita Club (Drc),1.81,3.17,5.08,2.92,1.40,2.62,1.51,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/saoura-as-vita-club-Gpb58gM0/,1,1,0
12.01.2019,2019,africa,caf-champions-league-2018-2019,Platinum (Zim),Orlando Pirates (Rsa),2.84,2.81,2.79,2.92,1.41,2.33,1.63,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/platinum-orlando-pirates-hQw85WlM/,0,0,0
16.03.2019,2019,africa,caf-champions-league-2018-2019,Platinum (Zim),Esperance Tunis (Tun),1.62,4.01,5.04,2.02,1.83,1.99,1.85,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/platinum-esperance-tunis-EZjy5KF8/,2,3,1
12.02.2019,2019,africa,caf-champions-league-2018-2019,Club Africain (Tun),Mazembe (Drc),2.0,3.28,3.93,2.32,1.63,2.16,1.72,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/club-africain-mazembe-EcZNeGxe/,0,0,0
13.04.2019,2019,africa,caf-champions-league-2018-2019,Esperance Tunis,Constantine,1.64,3.56,5.77,2.49,1.55,2.39,1.6,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/esperance-tunis-constantine-IDKcKHDk/,1,4,1
12.01.2019,2019,africa,caf-champions-league-2018-2019,Simba (Tan),Saoura (Alg),1.77,3.34,5.01,2.85,1.40,2.6,1.52,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/simba-saoura-AqFMGHEK/,1,3,0
13.04.2019,2019,africa,caf-champions-league-2018-2019,Al Ahly,Mamelodi Sundowns,1.19,6.2,15.17,1.77,2.11,2.5,1.54,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/al-ahly-mamelodi-sundowns-4AGgLcbq/,1,1,0
24.05.2019,2019,africa,caf-champions-league-2018-2019,Wydad,Esperance Tunis,2.05,2.74,4.1,3.07,1.33,2.53,1.52,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/wydad-esperance-tunis-v547CBlJ/,0,2,1
09.03.2019,2019,africa,caf-champions-league-2018-2019,ASEC Mimosas (Ivo),Wydad (Mar),2.14,3.22,3.52,2.18,1.70,1.88,1.96,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/asec-mimosas-wydad-OANrMCj0/,1,2,0
14.12.2018,2018,africa,caf-champions-league-2018-2019,Constantine (Alg),Vipers (Uga),1.31,4.36,10.25,2.26,1.57,2.92,1.4,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/constantine-vipers-QPQp3qu2/,1,1,0
04.05.2019,2019,africa,caf-champions-league-2018-2019,Mazembe,Esperance Tunis,1.74,3.49,4.96,2.36,1.62,2.18,1.71,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/mazembe-esperance-tunis-tKZLPHnp/,0,0,0
23.12.2018,2018,africa,caf-champions-league-2018-2019,Bantu (Les),AS Vita Club (Drc),4.03,3.25,1.87,2.33,1.53,2.09,1.73,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/bantu-as-vita-club-2V3ASa8D/,0,2,1
16.03.2019,2019,africa,caf-champions-league-2018-2019,Lobi Stars (Nga),ASEC Mimosas (Ivo),2.47,3.16,2.9,2.34,1.62,1.97,1.87,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/lobi-asec-mimosas-b3v46CZF/,1,2,0
23.12.2018,2018,africa,caf-champions-league-2018-2019,Simba (Tan),Nkana (Zam),1.74,3.12,5.29,2.46,1.48,2.32,1.6,https://www.oddsportal.com/soccer/africa/caf-champions-league-2018-2019/simba-nkana-YkCgWs9l/,1,4,1
