date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
06.03.2021,2021,africa,caf-champions-league,Esperance Tunis (Tun),Zamalek (Egy),2.06,3.1,3.94,2.50,1.53,2.13,1.68,https://www.oddsportal.com/soccer/africa/caf-champions-league/esperance-tunis-zamalek-t07IhTeM/,1,4,1
06.03.2021,2021,africa,caf-champions-league,Al Ahly (Egy),AS Vita Club (Drc),1.2,6.03,15.18,1.96,1.85,3.05,1.35,https://www.oddsportal.com/soccer/africa/caf-champions-league/al-ahly-as-vita-club-4vffub48/,0,4,1
06.03.2021,2021,africa,caf-champions-league,Mazembe (Drc),Mamelodi Sundowns (Rsa),2.24,3.03,3.5,2.56,1.51,2.13,1.68,https://www.oddsportal.com/soccer/africa/caf-champions-league/mazembe-mamelodi-sundowns-xQ7MU4nI/,2,3,1
23.02.2021,2021,africa,caf-champions-league,Kaizer Chiefs (Rsa),Horoya (Gui),1.69,3.56,5.19,2.27,1.64,2.11,1.68,https://www.oddsportal.com/soccer/africa/caf-champions-league/kaizer-chiefs-horoya-CrM4srWN/,0,0,0
06.12.2020,2020,africa,caf-champions-league,Enyimba (Nga),Rahimo (Bfa),1.61,3.54,5.77,2.53,1.47,2.54,1.5,https://www.oddsportal.com/soccer/africa/caf-champions-league/enyimba-international-rahimo-lOVCXrnc/,0,2,1
06.01.2021,2021,africa,caf-champions-league,Petro Atletico (Ang),Nkana (Zam),1.79,3.31,4.64,2.32,1.58,2.16,1.67,https://www.oddsportal.com/soccer/africa/caf-champions-league/petro-atletico-nkana-U99RlruF/,1,1,0
22.12.2020,2020,africa,caf-champions-league,Teungueth (Sen),Raja Casablanca (Mar),2.69,3.29,2.49,2.00,1.79,1.75,2.03,https://www.oddsportal.com/soccer/africa/caf-champions-league/teungueth-raja-casablanca-U5TQtsM3/,0,0,0
16.03.2021,2021,africa,caf-champions-league,Mamelodi Sundowns (Rsa),Mazembe (Drc),1.75,3.51,4.68,2.23,1.65,2.03,1.75,https://www.oddsportal.com/soccer/africa/caf-champions-league/mamelodi-sundowns-mazembe-WO0VSrHU/,1,1,0
06.12.2020,2020,africa,caf-champions-league,Teungueth (Sen),Armed Forces (Gam),1.62,3.72,5.73,2.58,1.47,2.52,1.5,https://www.oddsportal.com/soccer/africa/caf-champions-league/teungueth-armed-forces-CSwTHF9O/,1,2,0
28.12.2020,2020,africa,caf-champions-league,MC Alger (Alg),Sfaxien (Tun),1.85,3.02,4.91,2.81,1.41,2.43,1.53,https://www.oddsportal.com/soccer/africa/caf-champions-league/mc-alger-sfaxien-nwI4cVBR/,1,2,0
