date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
23.10.2016,2016,africa,caf-champions-league-2016,Zamalek,Mamelodi Sundowns,1.4,4.69,6.72,1.65,2.21,1.83,1.85,https://www.oddsportal.com/soccer/africa/caf-champions-league-2016/zamalek-mamelodi-sundowns-l6MD6ehk/,1,1,0
24.09.2016,2016,africa,caf-champions-league-2016,Mamelodi Sundowns,ZESCO,1.54,4.36,5.8,2.07,1.79,2.05,1.66,https://www.oddsportal.com/soccer/africa/caf-champions-league-2016/mamelodi-sundowns-zesco-GxE4vcNn/,1,2,0
15.10.2016,2016,africa,caf-champions-league-2016,Mamelodi Sundowns,Zamalek,1.99,3.29,3.76,2.48,1.52,2.1,1.63,https://www.oddsportal.com/soccer/africa/caf-champions-league-2016/mamelodi-sundowns-zamalek-6sX87ywq/,1,3,0
24.09.2016,2016,africa,caf-champions-league-2016,Wydad,Zamalek,2.34,3.24,3.17,2.07,1.79,1.72,2.05,https://www.oddsportal.com/soccer/africa/caf-champions-league-2016/wydad-zamalek-zRd7uw8t/,1,7,1
10.03.2017,2017,africa,caf-champions-league-2017,Mamelodi Sundowns (Rsa),Kampala City (Uga),1.44,3.78,7.94,2.16,1.65,2.28,1.69,https://www.oddsportal.com/soccer/africa/caf-champions-league-2017/mamelodi-sundowns-kampala-city-vqkQCQRB/,1,3,1
12.03.2017,2017,africa,caf-champions-league-2017,Al Ahly Tripoli (Lby),FUS Rabat (Mar),3.64,3.46,1.83,2.18,1.62,1.85,1.85,https://www.oddsportal.com/soccer/africa/caf-champions-league-2017/al-ahly-tripoli-fus-rabat-A9pMD6C5/,1,2,0
04.11.2017,2017,africa,caf-champions-league-2017,Wydad,Al Ahly,2.24,2.86,3.5,2.59,1.43,2.13,1.69,https://www.oddsportal.com/soccer/africa/caf-champions-league-2017/wydad-al-ahly-x61MBazP/,1,1,0
23.09.2017,2017,africa,caf-champions-league-2017,USM Alger,Ferroviario Beira,1.21,5.65,17.5,2.30,1.59,4.25,1.21,https://www.oddsportal.com/soccer/africa/caf-champions-league-2017/usm-alger-ferroviario-beira-tUIEgLU3/,0,0,0
29.09.2017,2017,africa,caf-champions-league-2017,USM Alger,Wydad,2.08,3.07,3.87,2.50,1.48,2.07,1.71,https://www.oddsportal.com/soccer/africa/caf-champions-league-2017/usm-alger-wydad-ANqiWe1M/,0,0,0
19.02.2017,2017,africa,caf-champions-league-2017,UMS de Loum (Cmr),Leopard (Con),1.62,3.62,5.35,2.50,1.50,2.35,1.53,https://www.oddsportal.com/soccer/africa/caf-champions-league-2017/rivers-united-real-bamako-jFW36zph/,1,3,1
