date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
05.04.2017,2017,albania,albanian-cup-2016-2017,Beselidhja Lezha,KF Tirana,3.23,2.88,2.19,2.59,1.44,2.2,1.62,https://www.oddsportal.com/soccer/albania/albanian-cup-2016-2017/beselidhja-lezha-kf-tirana-2T4pzTdD/,0,2,1
15.02.2017,2017,albania,albanian-cup-2016-2017,Teuta,Vllaznia,1.7,2.94,5.14,3.12,1.30,2.75,1.4,https://www.oddsportal.com/soccer/albania/albanian-cup-2016-2017/teuta-vllaznia-G0rdyujB/,1,2,0
01.02.2017,2017,albania,albanian-cup-2016-2017,Laci,Skenderbeu,4.42,3.05,1.78,2.75,1.40,2.5,1.5,https://www.oddsportal.com/soccer/albania/albanian-cup-2016-2017/laci-skenderbeu-korca-WWMQLajO/,0,2,1
01.02.2017,2017,albania,albanian-cup-2016-2017,KF Tirana,Kukesi,2.62,2.71,2.76,2.85,1.37,2.37,1.65,https://www.oddsportal.com/soccer/albania/albanian-cup-2016-2017/kf-tirana-kukesi-ANLUKJ5U/,1,3,1
06.04.2017,2017,albania,albanian-cup-2016-2017,Skenderbeu,Teuta,1.41,3.71,6.91,2.24,1.56,2.38,1.53,https://www.oddsportal.com/soccer/albania/albanian-cup-2016-2017/skenderbeu-korca-teuta-volTbCZD/,1,1,0
28.09.2017,2017,albania,albanian-cup-2017-2018,Kamza,Iliria Kruja,1.17,5.76,10.0,1.43,2.37,1.9,1.69,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/kamza-iliria-kruja-pM5ZTCta/,1,6,1
30.11.2017,2017,albania,albanian-cup-2017-2018,Pogradeci,Partizani,10.0,5.38,1.19,1.40,2.88,2.0,1.73,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/pogradeci-partizani-AaJcp3g7/,2,1,0
04.04.2018,2018,albania,albanian-cup-2017-2018,Laci,Kukesi,2.59,2.9,2.59,2.22,1.49,1.99,1.72,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/laci-kukesi-I3DX8W3S/,0,0,0
29.11.2017,2017,albania,albanian-cup-2017-2018,KF Tirana,Vllaznia,2.68,2.88,2.54,2.75,1.40,2.3,1.57,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/flamurtari-partizani-l2IeAn8t/,1,2,0
31.01.2018,2018,albania,albanian-cup-2017-2018,Teuta,Skenderbeu,4.56,3.4,1.68,2.03,1.69,2.1,1.67,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/teuta-skenderbeu-korca-bwwnjqNO/,2,2,0
13.12.2017,2017,albania,albanian-cup-2017-2018,Vllaznia,KF Tirana,1.82,3.42,3.88,2.47,1.48,2.0,1.73,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/vllaznia-kf-tirana-8fkSargf/,1,1,0
13.12.2017,2017,albania,albanian-cup-2017-2018,Kukesi,Erzeni,1.08,9.0,17.0,1.33,3.00,2.15,1.5,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/kukesi-erzeni-shijak-bLah6pGQ/,1,6,1
29.11.2017,2017,albania,albanian-cup-2017-2018,Bylis,Luftetari Gjirokastra,3.89,3.06,1.91,2.30,1.52,2.34,1.57,https://www.oddsportal.com/soccer/albania/albanian-cup-2017-2018/skenderbeu-korca-laci-0WMWrlsL/,1,3,1
