date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
22.12.2016,2016,albania,superliga-2016-2017,Luftetari Gjirokastra,Kukesi,3.32,2.75,2.21,2.83,1.38,2.3,1.57,https://www.oddsportal.com/soccer/albania/superliga-2016-2017/luftetari-gjirokastra-kukesi-txRvduTl/,0,4,1
22.12.2016,2016,albania,superliga-2016-2017,Laci,Teuta,1.92,2.82,4.14,2.78,1.38,2.38,1.53,https://www.oddsportal.com/soccer/albania/superliga-2016-2017/laci-teuta-p6u9115R/,2,2,0
22.12.2016,2016,albania,superliga-2016-2017,Vllaznia,KF Tirana,3.0,2.68,2.43,2.93,1.36,2.3,1.57,https://www.oddsportal.com/soccer/albania/superliga-2016-2017/vllaznia-kf-tirana-nFRzcLDr/,0,0,0
20.02.2017,2017,albania,superliga-2016-2017,Partizani,KF Tirana,1.7,2.79,5.8,3.70,1.26,3.24,1.33,https://www.oddsportal.com/soccer/albania/superliga-2016-2017/partizani-kf-tirana-4hJ3Led0/,1,3,1
22.12.2016,2016,albania,superliga-2016-2017,Korabi Peshkopi,Flamurtari,4.26,2.86,1.88,2.81,1.38,2.5,1.5,https://www.oddsportal.com/soccer/albania/superliga-2016-2017/korabi-peshkopi-flamurtari-x4KmfJc1/,1,1,0
22.12.2016,2016,albania,superliga-2016-2017,Skenderbeu,Partizani,2.32,2.53,3.45,3.38,1.29,2.5,1.5,https://www.oddsportal.com/soccer/albania/superliga-2016-2017/skenderbeu-korca-partizani-fuVreare/,2,3,1
06.02.2017,2017,albania,superliga-2016-2017,Flamurtari,Luftetari Gjirokastra,2.06,3.08,3.31,2.19,1.59,2.0,1.73,https://www.oddsportal.com/soccer/albania/superliga-2016-2017/flamurtari-luftetari-gjirokastra-G8bQ7xS0/,1,3,1
14.03.2018,2018,albania,superliga-2017-2018,Flamurtari,Kamza,1.59,3.45,5.51,2.36,1.40,2.5,1.49,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/flamurtari-kamza-0IkA59w5/,0,4,1
19.05.2018,2018,albania,superliga-2017-2018,Flamurtari,Partizani,3.6,3.41,1.89,2.08,1.67,1.86,1.85,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/flamurtari-partizani-pjXGsO7J/,2,3,1
24.02.2018,2018,albania,superliga-2017-2018,Kukesi,Laci,1.82,3.21,3.97,2.05,1.67,1.82,1.8,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/kukesi-laci-2miEmyIJ/,1,1,0
19.03.2018,2018,albania,superliga-2017-2018,Partizani,Flamurtari,1.54,3.41,6.17,2.46,1.35,2.76,1.41,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/partizani-flamurtari-v9lE4ThB/,1,1,0
14.03.2018,2018,albania,superliga-2017-2018,Lushnja,Laci,6.19,3.94,1.44,1.77,1.96,1.96,1.81,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/lushnja-laci-Crvf9ivt/,2,4,1
14.03.2018,2018,albania,superliga-2017-2018,Vllaznia,Partizani,3.46,2.84,1.99,2.34,1.47,2.22,1.61,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/vllaznia-partizani-rse56kOb/,0,0,0
12.10.2017,2017,albania,superliga-2017-2018,Teuta,Partizani,3.1,2.76,2.38,3.04,1.32,2.28,1.47,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/teuta-partizani-fo4zhyiF/,2,3,1
19.05.2018,2018,albania,superliga-2017-2018,Vllaznia,Kukesi,2.92,3.57,2.09,1.98,1.75,1.73,1.99,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/vllaznia-kukesi-OtWKtrNP/,1,3,1
22.10.2017,2017,albania,superliga-2017-2018,Flamurtari,Kamza,1.86,3.11,4.01,2.26,1.53,1.93,1.67,https://www.oddsportal.com/soccer/albania/superliga-2017-2018/flamurtari-kamza-0n9lahbr/,1,1,0
