date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
16.12.2018,2018,andorra,primera-divisio-2018-2019,Lusitanos,Inter Escaldes,1.99,3.82,3.04,1.55,2.32,1.65,2.1,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/ordino-ue-engordany-nPb6slYN/#1X2;2,2,3,0
31.03.2019,2019,andorra,primera-divisio-2018-2019,FC Santa Coloma,UE Santa Coloma,1.26,5.3,9.55,1.50,2.50,1.8,1.9,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/ue-santa-coloma-fc-santa-coloma-C66gpjl5/#1X2;2,1,3,1
05.05.2019,2019,andorra,primera-divisio-2018-2019,Ordino,Lusitanos,1.66,3.78,4.5,1.73,2.00,1.74,2.18,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/encamp-ue-engordany-4QdJRpx9/#1X2;2,1,3,0
01.05.2019,2019,andorra,primera-divisio-2018-2019,Lusitanos,Encamp,1.63,4.33,4.11,2.01,1.73,1.85,1.85,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/ue-engordany-fc-santa-coloma-Iq7koWYb/#1X2;2,0,2,1
16.12.2018,2018,andorra,primera-divisio-2018-2019,Encamp,Ordino,7.63,6.5,1.23,1.60,2.30,1.75,1.95,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/encamp-ordino-KblnnCJh/#1X2;2,1,2,0
28.04.2019,2019,andorra,primera-divisio-2018-2019,UE Engordany,Sant Julia,4.19,3.88,1.69,1.37,3.10,2.5,1.58,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/sant-julia-encamp-G4bvuzO0/#1X2;2,0,4,1
10.03.2019,2019,andorra,primera-divisio-2018-2019,UE Santa Coloma,Inter Escaldes,2.24,3.46,2.84,1.45,2.70,2.0,1.72,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/inter-escaldes-encamp-8Ya2rUIH/#1X2;2,2,4,1
31.03.2019,2019,andorra,primera-divisio-2018-2019,UE Engordany,Ordino,1.61,3.81,4.88,1.62,2.18,1.8,2.06,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/ue-santa-coloma-lusitanos-xEaztG8f/#1X2;2,2,3,1
10.03.2019,2019,andorra,primera-divisio-2018-2019,Lusitanos,Ordino,2.69,3.23,2.46,1.69,2.07,1.8,2.11,https://www.oddsportal.com/soccer/andorra/primera-divisio-2018-2019/inter-escaldes-ue-engordany-bTmqvfw7/#1X2;2,2,6,1
22.07.2020,2020,andorra,primera-divisio-2019-2020,UE Santa Coloma,Carroi,1.41,4.33,6.88,1.84,1.95,2.12,1.67,https://www.oddsportal.com/soccer/andorra/primera-divisio-2019-2020/ue-santa-coloma-carroi-dUKEaGF3/#1X2;2,1,3,1
