date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.12.2019,2019,argentina,copa-argentina-2019,Central Cordoba,River Plate,8.34,4.52,1.39,1.87,1.94,2.15,1.65,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/central-cordoba-santiago-del-estero-river-plate-4vvRZRq8/,2,3,0
19.09.2019,2019,argentina,copa-argentina-2019,Sportivo Estudiantes,Barracas Central,4.16,3.28,1.92,2.52,1.56,2.19,1.72,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/sportivo-estudiantes-barracas-central-zmWwrJPm/,1,2,0
27.02.2019,2019,argentina,copa-argentina-2019,Banfield,CDJU Gualeguaychu,1.26,5.5,10.83,1.71,2.06,2.22,1.66,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/banfield-juventud-unida-gualeguaychu-SU4Dc1U2/,1,3,0
28.08.2019,2019,argentina,copa-argentina-2019,Arsenal Sarandi,CA Estudiantes,1.98,3.08,4.15,2.71,1.43,2.33,1.6,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/arsenal-sarandi-ca-estudiantes-rJMbwevJ/,2,5,1
21.07.2019,2019,argentina,copa-argentina-2019,Lanus,Ind. Rivadavia,1.67,3.47,5.71,2.49,1.56,2.36,1.6,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/lanus-ind-rivadavia-UerJ5fkq/,1,1,0
23.05.2019,2019,argentina,copa-argentina-2019,San Lorenzo,Sportivo Estudiantes,1.56,3.77,6.01,2.27,1.62,2.31,1.61,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/san-lorenzo-sportivo-estudiantes-zLc7j3TM/,2,2,0
20.07.2019,2019,argentina,copa-argentina-2019,CA Mitre,Estudiantes L.P.,4.47,3.3,1.87,2.40,1.60,2.16,1.71,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/ca-mitre-estudiantes-l-p-nuc3vpWL/,2,2,0
21.03.2019,2019,argentina,copa-argentina-2019,Lanus,Huracan Las Heras,1.41,4.43,7.6,1.91,1.88,2.11,1.73,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/lanus-huracan-las-heras-INsvDcqJ/,1,2,0
19.04.2019,2019,argentina,copa-argentina-2019,Boca Juniors,Estudiantes Rio Cuarto,1.27,5.96,9.0,1.49,2.49,1.83,1.98,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/boca-juniors-estudiantes-rio-cuarto-IZod1QL5/,1,2,0
19.03.2019,2019,argentina,copa-argentina-2019,Aldosivi,Gimnasia Mendoza,2.45,2.86,3.26,2.77,1.42,2.33,1.61,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/aldosivi-gimnasia-mendoza-EJURLAaG/,2,1,0
22.05.2019,2019,argentina,copa-argentina-2019,Estudiantes L.P.,Sarmiento Resistencia,1.57,3.57,6.42,2.21,1.65,2.21,1.67,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/estudiantes-l-p-sarmiento-resistencia-lO1BkNrT/,1,6,1
08.09.2019,2019,argentina,copa-argentina-2019,Villa Mitre,Central Cordoba,4.19,3.07,1.99,2.68,1.47,2.26,1.64,https://www.oddsportal.com/soccer/argentina/copa-argentina-2019/villa-mitre-central-cordoba-santiago-del-estero-fNqhmmWH/,2,3,1
