date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
19.02.2021,2021,argentina,copa-argentina,San Lorenzo,Liniers,1.11,8.52,24.33,1.60,2.30,3.21,1.33,https://www.oddsportal.com/soccer/argentina/copa-argentina/san-lorenzo-liniers-vqkQuJzJ/,1,3,0
11.02.2021,2021,argentina,copa-argentina,River Plate,Def. Pronunciamiento,1.1,8.9,24.02,1.40,2.82,2.7,1.45,https://www.oddsportal.com/soccer/argentina/copa-argentina/river-plate-def-pronunciamiento-IRopJ96i/,1,4,0
20.02.2021,2021,argentina,copa-argentina,Def. de Belgrano,Almirante Brown,2.15,2.89,4.0,3.11,1.33,2.58,1.48,https://www.oddsportal.com/soccer/argentina/copa-argentina/defensores-de-belgrano-almirante-brown-WzTFlZh7/,1,6,1
26.02.2020,2020,argentina,copa-argentina,Gimnasia L.P.,Sportivo Barracas,1.5,4.15,6.23,1.85,1.95,1.94,1.82,https://www.oddsportal.com/soccer/argentina/copa-argentina/gimnasia-l-p-sportivo-barracas-fNX4zrri/,1,2,0
17.03.2021,2021,argentina,copa-argentina,Laferrere,San Telmo,5.08,3.65,1.7,2.13,1.73,2.03,1.74,https://www.oddsportal.com/soccer/argentina/copa-argentina/laferrere-san-telmo-f73SMQCk/,2,2,0
15.01.2021,2021,argentina,copa-argentina,Colon Santa FE,Cipolletti,1.46,3.94,8.33,2.16,1.71,2.34,1.56,https://www.oddsportal.com/soccer/argentina/copa-argentina/colon-santa-fe-cipolletti-GlG7Tf3k/,1,1,0
07.01.2021,2021,argentina,copa-argentina,Estudiantes Rio Cuarto,Chaco For Ever,1.82,3.34,4.69,2.48,1.54,2.18,1.65,https://www.oddsportal.com/soccer/argentina/copa-argentina/estudiantes-rio-cuarto-chaco-for-ever-YPACSEIe/,1,1,0
30.12.2020,2020,argentina,copa-argentina,Godoy Cruz,Justo Jose de Urquiza,1.7,3.67,5.06,2.00,1.82,1.94,1.82,https://www.oddsportal.com/soccer/argentina/copa-argentina/godoy-cruz-justo-jose-de-urquiza-G6c1zA6R/,1,4,1
05.03.2020,2020,argentina,copa-argentina,Central Cordoba,San Telmo,2.23,2.99,3.49,2.20,1.65,1.86,1.87,https://www.oddsportal.com/soccer/argentina/copa-argentina/central-cordoba-santiago-del-estero-san-telmo-8KSCrHoh/,2,1,0
18.02.2021,2021,argentina,copa-argentina,Velez Sarsfield,Camioneros Buenos Aires,1.26,5.49,12.0,1.81,2.04,2.58,1.48,https://www.oddsportal.com/soccer/argentina/copa-argentina/velez-sarsfield-camioneros-buenos-aires-dEYwatys/,1,4,1
02.03.2021,2021,argentina,copa-argentina,San Martin T.,San Martin S.J.,2.96,2.85,2.69,2.89,1.43,2.27,1.61,https://www.oddsportal.com/soccer/argentina/copa-argentina/san-martin-t-san-martin-s-j-QygRpJB1/,2,1,0
10.03.2021,2021,argentina,copa-argentina,Banfield,Club A. Guemes,1.56,4.02,6.02,1.93,1.88,1.94,1.82,https://www.oddsportal.com/soccer/argentina/copa-argentina/banfield-club-atletico-guemes-xW8ce6Ep/,1,2,0
11.03.2021,2021,argentina,copa-argentina,Independiente,Villa Mitre,1.46,4.12,7.85,1.94,1.87,2.05,1.73,https://www.oddsportal.com/soccer/argentina/copa-argentina/independiente-villa-mitre-lCwBkFw1/,1,1,0
03.03.2021,2021,argentina,copa-argentina,Defensa y Justicia,CA Estudiantes,1.41,4.25,8.48,2.14,1.73,2.41,1.54,https://www.oddsportal.com/soccer/argentina/copa-argentina/defensa-y-justicia-ca-estudiantes-Qste06aJ/,1,1,0
17.03.2021,2021,argentina,copa-argentina,Racing Club,Sportivo Belgrano,1.35,4.75,9.25,1.91,1.92,2.23,1.63,https://www.oddsportal.com/soccer/argentina/copa-argentina/racing-club-sportivo-belgrano-AZReSnkS/,1,4,1
04.03.2021,2021,argentina,copa-argentina,Boca Juniors,Claypole,1.06,10.83,33.67,1.37,2.96,3.02,1.37,https://www.oddsportal.com/soccer/argentina/copa-argentina/boca-juniors-claypole-80bMoade/,1,3,1
10.03.2020,2020,argentina,copa-argentina,Platense,Deportivo Madryn,1.88,3.2,4.35,2.62,1.46,2.29,1.58,https://www.oddsportal.com/soccer/argentina/copa-argentina/platense-deportivo-madryn-ltPLM1Xr/,2,1,0
12.03.2020,2020,argentina,copa-argentina,Argentinos Jrs,Canuelas,1.19,6.27,14.67,1.75,2.05,2.52,1.49,https://www.oddsportal.com/soccer/argentina/copa-argentina/argentinos-jrs-canuelas-AeDUKu2e/,1,1,0
23.12.2020,2020,argentina,copa-argentina,Newells Old Boys,Club Sportivo Penarol,1.38,4.72,8.04,1.81,2.01,2.1,1.7,https://www.oddsportal.com/soccer/argentina/copa-argentina/newells-old-boys-club-sportivo-penarol-IFqTVTEr/,1,2,0
10.03.2021,2021,argentina,copa-argentina,Atl. Tucuman,Comunicaciones,1.68,3.64,5.24,2.16,1.71,2.05,1.73,https://www.oddsportal.com/soccer/argentina/copa-argentina/atl-tucuman-comunicaciones-OtWykB6h/,1,3,0
24.02.2021,2021,argentina,copa-argentina,Lanus,Real Pilar,1.3,5.15,10.27,1.88,1.96,2.41,1.54,https://www.oddsportal.com/soccer/argentina/copa-argentina/lanus-real-pilar-jXeB3MSP/,1,4,1
17.03.2021,2021,argentina,copa-argentina,Colon Santa FE,Argentinos Jrs,2.16,3.22,3.51,2.45,1.56,2.1,1.7,https://www.oddsportal.com/soccer/argentina/copa-argentina/colon-santa-fe-argentinos-jrs-GG4ON6cq/,2,1,0
20.01.2021,2021,argentina,copa-argentina,Rosario Central,Boca Unidos,1.34,5.02,8.71,1.81,2.04,2.02,1.77,https://www.oddsportal.com/soccer/argentina/copa-argentina/rosario-central-boca-unidos-6mIR0SjN/,2,3,0
26.02.2020,2020,argentina,copa-argentina,Aldosivi,Talleres (R.E),2.26,3.18,3.22,2.11,1.72,1.81,1.92,https://www.oddsportal.com/soccer/argentina/copa-argentina/aldosivi-talleres-remedios-escalada-tKqNBb5j/,2,4,1
29.01.2021,2021,argentina,copa-argentina,Arsenal Sarandi,Huracan Las Heras,1.74,3.51,4.96,2.39,1.58,2.17,1.65,https://www.oddsportal.com/soccer/argentina/copa-argentina/arsenal-sarandi-huracan-las-heras-GM71fQTj/,2,1,0
