date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
19.04.2017,2017,argentina,primera-b-nacional-2016-2017,Gimnasia Jujuy,Brown Adrogue,2.24,2.88,3.62,2.54,1.50,2.15,1.75,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/gimnasia-jujuy-brown-adrogue-pryRtN2A/,1,2,0
06.06.2017,2017,argentina,primera-b-nacional-2016-2017,Argentinos Jrs,Boca Unidos,1.38,4.12,9.58,2.44,1.57,2.98,1.44,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/argentinos-jrs-boca-unidos-rZhwiMr8/,1,3,0
22.09.2016,2016,argentina,primera-b-nacional-2016-2017,All Boys,CDJU Gualeguaychu,2.56,2.74,3.4,2.58,1.53,1.9,1.84,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/all-boys-juventud-unida-gualeguaychu-jcVrsHBU/,1,3,1
16.05.2017,2017,argentina,primera-b-nacional-2016-2017,All Boys,Instituto,2.36,2.85,3.43,2.42,1.57,2.05,1.77,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/all-boys-instituto-8KMUN2cO/,1,2,0
01.04.2017,2017,argentina,primera-b-nacional-2016-2017,Douglas Haig,Gimnasia Jujuy,2.3,2.76,3.69,2.60,1.48,2.14,1.78,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/douglas-haig-gimnasia-jujuy-QNofOZz8/,1,1,0
01.04.2017,2017,argentina,primera-b-nacional-2016-2017,All Boys,Ind. Rivadavia,2.14,2.99,3.83,2.56,1.51,2.1,1.73,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/all-boys-ind-rivadavia-6yKGuy6r/,0,4,1
08.10.2016,2016,argentina,primera-b-nacional-2016-2017,San Martin T.,Villa Dalmine,2.71,2.95,2.67,2.43,1.52,1.95,1.8,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/san-martin-t-villa-dalmine-jeMoO2Ld/,2,3,1
09.04.2017,2017,argentina,primera-b-nacional-2016-2017,Ind. Rivadavia,Ferro,2.19,3.0,3.62,2.59,1.49,2.1,1.73,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/ind-rivadavia-ferro-KbQWyg57/,0,0,0
23.10.2016,2016,argentina,primera-b-nacional-2016-2017,Santamarina,CDJU Gualeguaychu,2.29,2.89,3.33,2.50,1.50,1.98,1.77,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/santamarina-juventud-unida-gualeguaychu-KWHIslIn/,1,5,1
15.12.2016,2016,argentina,primera-b-nacional-2016-2017,San Martin T.,CDJU Gualeguaychu,1.63,3.25,6.25,2.32,1.61,2.23,1.72,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/san-martin-t-juventud-unida-gualeguaychu-KlyAvhQC/,2,3,1
19.11.2016,2016,argentina,primera-b-nacional-2016-2017,Almagro,Crucero del Norte,2.1,2.96,4.05,2.64,1.48,2.12,1.67,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/almagro-crucero-del-norte-0rozWBKQ/,1,1,0
11.03.2017,2017,argentina,primera-b-nacional-2016-2017,Villa Dalmine,Santamarina,2.12,2.95,3.75,2.48,1.51,2.18,1.74,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/villa-dalmine-santamarina-bFjN4lvI/,0,4,1
16.07.2017,2017,argentina,primera-b-nacional-2016-2017,Chacarita Juniors,Gimnasia Jujuy,1.36,4.26,10.48,2.28,1.62,2.75,1.45,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/chacarita-juniors-gimnasia-jujuy-MLPEimzC/,0,0,0
01.04.2017,2017,argentina,primera-b-nacional-2016-2017,Atletico Parana,CDJU Gualeguaychu,2.36,2.81,3.55,2.77,1.44,2.06,1.72,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/atletico-parana-juventud-unida-gualeguaychu-hUwtnwTE/,0,0,0
28.05.2017,2017,argentina,primera-b-nacional-2016-2017,Guillermo Brown,Crucero del Norte,1.7,3.35,5.63,2.57,1.49,2.51,1.57,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/guillermo-brown-crucero-del-norte-IF9AqJJp/,1,1,0
20.05.2017,2017,argentina,primera-b-nacional-2016-2017,Douglas Haig,Villa Dalmine,2.06,3.05,3.92,2.33,1.61,1.91,1.8,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/douglas-haig-villa-dalmine-tY6sjLtH/,0,2,1
15.03.2017,2017,argentina,primera-b-nacional-2016-2017,Villa Dalmine,Chacarita Juniors,2.57,2.95,3.0,2.52,1.52,2.1,1.75,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/villa-dalmine-chacarita-juniors-vH6VLCvT/,0,0,0
26.03.2017,2017,argentina,primera-b-nacional-2016-2017,CDJU Gualeguaychu,Villa Dalmine,2.0,3.1,4.04,2.44,1.54,2.1,1.74,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/juventud-unida-gualeguaychu-villa-dalmine-S6l2ztU2/,1,3,1
18.12.2016,2016,argentina,primera-b-nacional-2016-2017,CDJU Gualeguaychu,Crucero del Norte,2.16,3.06,3.55,2.28,1.62,1.94,1.85,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/juventud-unida-gualeguaychu-crucero-del-norte-jTBvfXPa/,1,3,1
20.04.2017,2017,argentina,primera-b-nacional-2016-2017,San Martin T.,Crucero del Norte,1.87,3.22,4.5,2.36,1.60,2.21,1.74,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/san-martin-t-crucero-del-norte-GWE9YbAj/,1,1,0
23.07.2017,2017,argentina,primera-b-nacional-2016-2017,Gimnasia Jujuy,San Martin T.,2.34,2.97,3.28,2.68,1.46,2.15,1.67,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/gimnasia-jujuy-san-martin-t-zNxL2YaA/,2,3,0
15.03.2017,2017,argentina,primera-b-nacional-2016-2017,Sportivo Estudiantes,Crucero del Norte,2.31,2.93,3.45,2.63,1.48,2.2,1.68,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/sportivo-estudiantes-crucero-del-norte-zmh1Gj2j/,1,1,0
11.03.2017,2017,argentina,primera-b-nacional-2016-2017,Instituto,Argentinos Jrs,3.33,2.9,2.38,2.35,1.57,1.97,1.91,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/instituto-argentinos-jrs-GjNmL9Ob/,1,3,1
20.05.2017,2017,argentina,primera-b-nacional-2016-2017,Nueva Chicago,Central Cordoba,1.87,3.22,4.47,2.35,1.60,2.0,1.73,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/nueva-chicago-central-cordoba-santiago-del-estero-rwyDztsU/,0,0,0
13.12.2016,2016,argentina,primera-b-nacional-2016-2017,Brown Adrogue,Almagro,2.41,2.9,3.28,2.56,1.50,2.14,1.78,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/brown-adrogue-almagro-6JML0rsF/,1,2,0
21.05.2017,2017,argentina,primera-b-nacional-2016-2017,Instituto,Ferro,2.3,2.91,3.33,2.19,1.65,2.0,1.87,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/instituto-ferro-Y1GMfqSo/,1,2,0
21.09.2016,2016,argentina,primera-b-nacional-2016-2017,Crucero del Norte,San Martin T.,2.39,3.0,3.32,2.45,1.58,1.94,1.81,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/crucero-del-norte-san-martin-t-G0E6ddBH/,1,3,0
14.04.2017,2017,argentina,primera-b-nacional-2016-2017,Almagro,Ind. Rivadavia,2.36,2.88,3.42,2.75,1.45,2.2,1.69,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/almagro-ind-rivadavia-O0d2vUtC/,0,0,0
11.03.2017,2017,argentina,primera-b-nacional-2016-2017,Guillermo Brown,Central Cordoba,1.79,3.27,5.08,2.49,1.51,2.37,1.65,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/guillermo-brown-central-cordoba-santiago-del-estero-OdbA7jfa/,0,0,0
10.12.2016,2016,argentina,primera-b-nacional-2016-2017,CDJU Gualeguaychu,Chacarita Juniors,3.01,2.85,2.61,2.46,1.53,2.0,1.86,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/juventud-unida-gualeguaychu-chacarita-juniors-W08wl5c9/,2,5,1
19.04.2017,2017,argentina,primera-b-nacional-2016-2017,Chacarita Juniors,Sportivo Estudiantes,1.56,3.76,6.44,2.25,1.62,2.39,1.63,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/chacarita-juniors-sportivo-estudiantes-xtG5Zvep/,1,2,0
02.06.2017,2017,argentina,primera-b-nacional-2016-2017,Sportivo Estudiantes,Guillermo Brown,2.66,2.96,2.77,2.49,1.54,2.17,1.74,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/sportivo-estudiantes-guillermo-brown-SQWLrbjl/,0,0,0
12.07.2017,2017,argentina,primera-b-nacional-2016-2017,Nueva Chicago,Argentinos Jrs,2.39,2.84,3.39,2.95,1.40,2.3,1.62,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/nueva-chicago-argentinos-jrs-SMW5g95a/,2,3,1
21.07.2017,2017,argentina,primera-b-nacional-2016-2017,Chacarita Juniors,CDJU Gualeguaychu,1.38,3.9,11.0,2.51,1.53,2.9,1.36,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/chacarita-juniors-juventud-unida-gualeguaychu-rg7qtaVr/,1,3,1
22.07.2017,2017,argentina,primera-b-nacional-2016-2017,Ind. Rivadavia,Atletico Parana,1.43,4.13,8.23,2.22,1.66,2.5,1.56,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/ind-rivadavia-atletico-parana-YqwNsXNp/,0,2,1
23.10.2016,2016,argentina,primera-b-nacional-2016-2017,Boca Unidos,Gimnasia Jujuy,2.68,2.7,2.93,2.84,1.40,2.11,1.68,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/boca-unidos-gimnasia-jujuy-hpGQuSna/,0,2,1
17.10.2016,2016,argentina,primera-b-nacional-2016-2017,Los Andes,Boca Unidos,2.37,2.87,3.14,2.59,1.46,2.0,1.76,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/los-andes-boca-unidos-nqm4OQHO/,1,3,1
21.09.2016,2016,argentina,primera-b-nacional-2016-2017,Sportivo Estudiantes,Chacarita Juniors,4.22,3.24,1.97,2.52,1.55,2.09,1.69,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/sportivo-estudiantes-chacarita-juniors-YyP1cxdB/,0,2,1
13.11.2016,2016,argentina,primera-b-nacional-2016-2017,Douglas Haig,Guillermo Brown,2.26,2.79,3.55,2.47,1.51,1.92,1.82,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/douglas-haig-guillermo-brown-63QdaDqk/,2,2,0
27.11.2016,2016,argentina,primera-b-nacional-2016-2017,CDJU Gualeguaychu,Argentinos Jrs,3.92,2.99,2.1,2.55,1.51,2.12,1.73,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/juventud-unida-gualeguaychu-argentinos-jrs-C2KXHIeo/,0,0,0
26.03.2017,2017,argentina,primera-b-nacional-2016-2017,Gimnasia Jujuy,Sportivo Estudiantes,1.97,3.04,4.42,2.58,1.48,2.3,1.65,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/gimnasia-jujuy-sportivo-estudiantes-zXiAYJbF/,1,1,0
30.07.2017,2017,argentina,primera-b-nacional-2016-2017,Douglas Haig,CDJU Gualeguaychu,3.03,2.94,2.41,2.44,1.55,2.0,1.73,https://www.oddsportal.com/soccer/argentina/primera-b-nacional-2016-2017/douglas-haig-juventud-unida-gualeguaychu-MJbjIDac/,2,1,0
