date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
22.04.2017,2017,argentina,primera-division-2016-2017,Aldosivi,Newells Old Boys,3.09,3.03,2.51,2.57,1.53,2.15,1.75,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/aldosivi-newells-old-boys-O8QrC1o3/,2,3,0
02.04.2017,2017,argentina,primera-division-2016-2017,Godoy Cruz,River Plate,3.87,3.31,2.08,2.16,1.74,1.94,1.98,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/godoy-cruz-river-plate-EDNvf88K/,2,3,1
06.11.2016,2016,argentina,primera-division-2016-2017,Talleres Cordoba,Patronato,1.99,3.14,4.56,2.70,1.49,2.28,1.67,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/talleres-cordoba-patronato-EJUpiWYd/,1,1,0
17.06.2017,2017,argentina,primera-division-2016-2017,Arsenal Sarandi,Godoy Cruz,2.34,3.27,3.16,2.13,1.74,1.92,1.97,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/arsenal-sarandi-godoy-cruz-bJ8gRn9c/,2,3,1
04.12.2016,2016,argentina,primera-division-2016-2017,Boca Juniors,Racing Club,1.89,3.43,4.54,2.14,1.75,1.96,1.9,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/boca-juniors-racing-club-zXJXyfUo/,1,6,1
29.10.2016,2016,argentina,primera-division-2016-2017,Huracan,Rosario Central,2.49,3.01,3.17,2.58,1.51,2.05,1.77,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/huracan-rosario-central-4lB2vgki/,0,2,1
07.05.2017,2017,argentina,primera-division-2016-2017,Colon Santa FE,Atl. Tucuman,2.09,3.26,3.74,2.19,1.71,1.97,1.92,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/colon-santa-fe-atl-tucuman-Ygjgq6Ch/,0,4,1
30.10.2016,2016,argentina,primera-division-2016-2017,Atl. Rafaela,Colon Santa FE,2.17,3.0,3.83,2.57,1.51,2.09,1.74,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/atl-rafaela-colon-santa-fe-8t8JzBlG/,2,2,0
17.12.2016,2016,argentina,primera-division-2016-2017,Sarmiento Junin,Aldosivi,2.26,3.06,3.67,2.60,1.52,2.2,1.76,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/sarmiento-junin-aldosivi-IkIarH8F/,2,2,0
10.12.2016,2016,argentina,primera-division-2016-2017,Velez Sarsfield,Atl. Rafaela,2.21,3.11,3.73,2.37,1.62,2.05,1.87,https://www.oddsportal.com/soccer/argentina/primera-division-2016-2017/velez-sarsfield-atl-rafaela-8pfXPmyi/,1,2,0
