date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
10.01.2021,2021,argentina,primera-nacional-2020-2021,Villa Dalmine,Def. de Belgrano,3.78,3.0,2.15,2.93,1.41,2.32,1.58,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/villa-dalmine-defensores-de-belgrano-Mo1cgPgc/,2,3,1
10.01.2021,2021,argentina,primera-nacional-2020-2021,Barracas Central,Nueva Chicago,2.2,3.41,3.16,1.98,1.85,1.77,2.0,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/barracas-central-nueva-chicago-CnpyWkcP/,2,1,0
17.01.2021,2021,argentina,primera-nacional-2020-2021,Gimnasia Mendoza,Ferro,2.36,3.19,3.08,2.19,1.70,1.89,1.87,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/gimnasia-mendoza-ferro-r7fehqw5/,2,5,1
03.01.2021,2021,argentina,primera-nacional-2020-2021,Sarmiento Junin,Tigre,2.23,3.15,3.31,2.29,1.61,1.93,1.83,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/sarmiento-junin-tigre-8vosiZCT/,0,2,1
28.11.2020,2020,argentina,primera-nacional-2020-2021,Atletico Atlanta,Platense,1.93,3.13,4.2,2.32,1.59,2.08,1.69,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/atletico-atlanta-platense-rcsQ0ku2/,2,2,0
21.01.2021,2021,argentina,primera-nacional-2020-2021,Atletico Atlanta,Ferro,2.57,3.03,2.9,2.26,1.65,1.86,1.89,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/atletico-atlanta-ferro-I5bui4fH/,1,3,1
12.01.2021,2021,argentina,primera-nacional-2020-2021,Gimnasia Jujuy,Santamarina,1.98,3.26,3.95,2.24,1.66,1.95,1.8,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/gimnasia-jujuy-santamarina-0j5ZzxuM/,0,4,1
28.11.2020,2020,argentina,primera-nacional-2020-2021,CA Mitre,Belgrano,3.3,2.99,2.29,2.69,1.44,2.19,1.63,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/ca-mitre-ca-belgrano-de-cordoba-tUALqCM0/,0,0,0
28.11.2020,2020,argentina,primera-nacional-2020-2021,Instituto,Chacarita Juniors,1.94,3.19,4.02,2.49,1.53,2.14,1.66,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/instituto-chacarita-juniors-CASNMoKB/,1,3,1
10.01.2021,2021,argentina,primera-nacional-2020-2021,Guillermo Brown,San Martin S.J.,4.51,3.36,1.84,2.39,1.59,2.13,1.68,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/guillermo-brown-san-martin-s-j-EeW2R95t/,2,1,0
28.11.2020,2020,argentina,primera-nacional-2020-2021,Sarmiento Junin,Villa Dalmine,2.05,2.97,3.99,2.53,1.51,2.14,1.66,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/sarmiento-junin-villa-dalmine-vohMQxaO/,0,0,0
18.01.2021,2021,argentina,primera-nacional-2020-2021,Agropecuario,Quilmes,2.57,2.99,2.95,2.62,1.49,2.11,1.69,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/agropecuario-quilmes-SdLWYfxp/,2,1,0
04.01.2021,2021,argentina,primera-nacional-2020-2021,Agropecuario,Ferro,2.08,3.07,3.85,2.42,1.56,2.04,1.74,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/agropecuario-ferro-dto0XMFt/,2,1,0
03.01.2021,2021,argentina,primera-nacional-2020-2021,San Martin S.J.,Belgrano,3.66,2.94,2.21,2.77,1.43,2.25,1.62,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/san-martin-s-j-ca-belgrano-de-cordoba-Cdmk8n5I/,0,0,0
04.01.2021,2021,argentina,primera-nacional-2020-2021,Instituto,Quilmes,2.46,2.87,3.24,2.62,1.49,2.11,1.69,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/instituto-quilmes-WADIvKuc/,1,3,1
10.01.2021,2021,argentina,primera-nacional-2020-2021,Ferro,CA Estudiantes,2.03,3.38,3.65,2.08,1.77,1.84,1.92,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/ferro-ca-estudiantes-h8v9V0pg/,2,3,1
24.01.2021,2021,argentina,primera-nacional-2020-2021,CA Estudiantes,Atletico Atlanta,2.22,3.42,3.1,1.82,1.98,1.67,2.15,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/ca-estudiantes-atletico-atlanta-lzdcH404/,1,1,0
04.01.2021,2021,argentina,primera-nacional-2020-2021,Temperley,Deportivo Moron,2.56,2.85,3.11,2.95,1.36,2.33,1.58,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/temperley-deportivo-moron-6H5jDJUO/,0,0,0
30.11.2020,2020,argentina,primera-nacional-2020-2021,Dep. Riestra,Atl. Rafaela,2.32,2.91,3.33,2.80,1.40,2.28,1.58,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/deportivo-riestra-atl-rafaela-pOhIRIqI/,0,6,1
29.11.2020,2020,argentina,primera-nacional-2020-2021,Def. de Belgrano,Gimnasia Mendoza,2.01,3.1,3.92,2.67,1.43,2.28,1.58,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/defensores-de-belgrano-gimnasia-mendoza-hldQPdEU/,0,0,0
03.01.2021,2021,argentina,primera-nacional-2020-2021,Def. de Belgrano,Atl. Rafaela,1.99,3.23,3.74,2.34,1.59,2.04,1.75,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/defensores-de-belgrano-atl-rafaela-QJX8ngLp/,1,2,0
28.11.2020,2020,argentina,primera-nacional-2020-2021,Santamarina,Quilmes,2.92,2.7,2.74,3.00,1.34,2.39,1.54,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/santamarina-quilmes-ImTJNR45/,1,1,0
05.12.2020,2020,argentina,primera-nacional-2020-2021,Quilmes,Gimnasia Jujuy,1.93,3.05,4.37,2.81,1.40,2.46,1.51,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/quilmes-gimnasia-jujuy-8x6h3cJj/,1,5,1
29.11.2020,2020,argentina,primera-nacional-2020-2021,CA Estudiantes,Agropecuario,2.11,3.14,3.53,2.26,1.61,1.97,1.78,https://www.oddsportal.com/soccer/argentina/primera-nacional-2020-2021/ca-estudiantes-agropecuario-ziUBOhX8/,1,4,1
