date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.03.2021,2021,argentina,primera-nacional,Belgrano,Tigre,2.07,3.16,3.79,2.45,1.56,2.09,1.7,https://www.oddsportal.com/soccer/argentina/primera-nacional/ca-belgrano-de-cordoba-tigre-0YmAfWlp/,1,3,1
13.03.2021,2021,argentina,primera-nacional,Gimnasia Mendoza,Agropecuario,2.17,3.12,3.57,2.47,1.55,2.08,1.71,https://www.oddsportal.com/soccer/argentina/primera-nacional/gimnasia-mendoza-agropecuario-G0Cw0hRM/,1,2,0
20.03.2021,2021,argentina,primera-nacional,CA Estudiantes,San Martin T.,2.54,2.87,3.17,2.74,1.45,2.16,1.66,https://www.oddsportal.com/soccer/argentina/primera-nacional/ca-estudiantes-san-martin-t-hrqigfSD/,0,2,1
12.03.2021,2021,argentina,primera-nacional,San Martin S.J.,Atl. Rafaela,2.53,2.77,3.33,2.79,1.44,2.15,1.67,https://www.oddsportal.com/soccer/argentina/primera-nacional/san-martin-s-j-atl-rafaela-xEVuIQn8/,1,6,1
20.03.2021,2021,argentina,primera-nacional,Tristan Suarez,Club A. Guemes,2.53,2.77,3.3,3.24,1.33,2.41,1.54,https://www.oddsportal.com/soccer/argentina/primera-nacional/tristan-suarez-club-atletico-guemes-SKeGlIUi/,2,3,1
13.03.2021,2021,argentina,primera-nacional,Santamarina,Gimnasia Jujuy,2.26,2.93,3.58,2.44,1.56,2.01,1.76,https://www.oddsportal.com/soccer/argentina/primera-nacional/santamarina-gimnasia-jujuy-lhkodqQl/,1,3,1
14.03.2021,2021,argentina,primera-nacional,Brown Adrogue,Guillermo Brown,2.36,2.93,3.37,2.68,1.48,2.15,1.67,https://www.oddsportal.com/soccer/argentina/primera-nacional/brown-adrogue-guillermo-brown-jHZqHp2E/,1,1,0
20.03.2021,2021,argentina,primera-nacional,Ferro,Deportivo Moron,2.27,2.98,3.54,2.58,1.50,2.12,1.7,https://www.oddsportal.com/soccer/argentina/primera-nacional/ferro-deportivo-moron-AqoLmxpb/,1,2,0
20.03.2021,2021,argentina,primera-nacional,Alvarado,Belgrano,3.8,2.84,2.24,2.70,1.47,2.15,1.67,https://www.oddsportal.com/soccer/argentina/primera-nacional/alvarado-ca-belgrano-de-cordoba-4KBKySdt/,2,1,0
21.03.2021,2021,argentina,primera-nacional,Agropecuario,Estudiantes Rio Cuarto,2.79,3.0,2.68,2.42,1.56,2.0,1.77,https://www.oddsportal.com/soccer/argentina/primera-nacional/agropecuario-estudiantes-rio-cuarto-MybF9qXT/,0,2,1
20.03.2021,2021,argentina,primera-nacional,Gimnasia Jujuy,Almagro,2.53,2.85,3.15,2.87,1.38,2.32,1.58,https://www.oddsportal.com/soccer/argentina/primera-nacional/gimnasia-jujuy-almagro-EHiCkbFo/,2,3,1
14.03.2021,2021,argentina,primera-nacional,Estudiantes Rio Cuarto,Deportivo Maipu,1.84,3.17,4.87,2.51,1.51,2.2,1.64,https://www.oddsportal.com/soccer/argentina/primera-nacional/estudiantes-rio-cuarto-deportivo-maipu-MPcz1YBG/,0,2,1
