date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
12.08.2018,2018,argentina,superliga-2018-2019,Boca Juniors,Talleres Cordoba,1.52,3.92,7.2,2.29,1.66,2.36,1.57,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/boca-juniors-talleres-cordoba-OIN1VTSk/,1,1,0
19.10.2018,2018,argentina,superliga-2018-2019,Defensa y Justicia,Talleres Cordoba,1.92,3.15,4.64,2.78,1.46,2.47,1.56,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/defensa-y-justicia-talleres-cordoba-fekxWFyi/,1,2,0
26.02.2019,2019,argentina,superliga-2018-2019,Newells Old Boys,San Martin S.J.,1.79,3.44,5.1,2.26,1.68,2.1,1.79,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/newells-old-boys-san-martin-s-j-nqL0RiJf/,1,3,0
11.03.2019,2019,argentina,superliga-2018-2019,Atl. Tucuman,River Plate,4.01,3.56,1.94,2.12,1.78,1.92,1.95,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/atl-tucuman-river-plate-fRHqd3Oo/,2,1,0
05.11.2018,2018,argentina,superliga-2018-2019,Defensa y Justicia,Velez Sarsfield,2.24,2.9,3.79,2.66,1.46,2.2,1.68,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/defensa-y-justicia-velez-sarsfield-CfhLFL7E/,1,5,1
13.11.2018,2018,argentina,superliga-2018-2019,Patronato,San Martin T.,2.32,3.02,3.43,2.52,1.55,2.08,1.78,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/patronato-san-martin-t-hSrG4eaD/,0,6,1
09.10.2018,2018,argentina,superliga-2018-2019,Colon Santa FE,Newells Old Boys,2.47,2.87,3.29,2.61,1.52,2.13,1.74,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/colon-santa-fe-newells-old-boys-fcUejpN5/,1,1,0
12.08.2018,2018,argentina,superliga-2018-2019,Rosario Central,Banfield,1.83,3.3,5.03,2.54,1.56,2.25,1.66,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/rosario-central-banfield-pQBUSeOl/,1,1,0
16.03.2019,2019,argentina,superliga-2018-2019,San Martin S.J.,Argentinos Jrs,2.6,3.04,3.01,2.47,1.54,2.06,1.82,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/san-martin-s-j-argentinos-jrs-Aw0z5b7G/,2,5,1
18.08.2018,2018,argentina,superliga-2018-2019,Newells Old Boys,Independiente,3.03,2.92,2.63,2.69,1.46,2.18,1.69,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/newells-old-boys-independiente-2cj5lILq/,0,4,1
02.10.2018,2018,argentina,superliga-2018-2019,San Martin T.,Banfield,2.4,2.88,3.41,2.77,1.46,2.21,1.66,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/san-martin-t-banfield-xvDWoVVJ/,0,2,1
27.11.2018,2018,argentina,superliga-2018-2019,Lanus,Independiente,3.62,3.16,2.17,2.40,1.60,2.02,1.81,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/lanus-independiente-ITz2Okjn/,1,1,0
26.11.2018,2018,argentina,superliga-2018-2019,Racing Club,Banfield,1.56,3.87,6.53,2.14,1.76,2.13,1.73,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/racing-club-banfield-vwxbPVzt/,0,0,0
02.03.2019,2019,argentina,superliga-2018-2019,Union de Santa Fe,Boca Juniors,2.82,2.9,2.88,2.70,1.45,2.2,1.72,https://www.oddsportal.com/soccer/argentina/superliga-2018-2019/union-de-santa-fe-boca-juniors-8IyeyTnJ/,2,4,1
