date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
10.02.2020,2020,argentina,superliga,Arsenal Sarandi,Talleres Cordoba,2.23,3.41,3.2,1.87,2.01,1.72,2.12,https://www.oddsportal.com/soccer/argentina/superliga/arsenal-sarandi-talleres-cordoba-xARSVh31/,0,2,1
29.07.2019,2019,argentina,superliga,Arsenal Sarandi,Banfield,2.93,3.1,2.59,2.43,1.60,2.0,1.87,https://www.oddsportal.com/soccer/argentina/superliga/arsenal-sarandi-banfield-xb1S6Hgh/,1,1,0
03.08.2019,2019,argentina,superliga,Aldosivi,Argentinos Jrs,3.22,2.95,2.49,2.90,1.42,2.34,1.64,https://www.oddsportal.com/soccer/argentina/superliga/aldosivi-argentinos-jrs-CGgu4FwB/,0,0,0
29.09.2019,2019,argentina,superliga,Banfield,San Lorenzo,2.28,3.07,3.48,2.50,1.53,2.08,1.79,https://www.oddsportal.com/soccer/argentina/superliga/banfield-san-lorenzo-SrtNbZJL/,2,1,0
15.09.2019,2019,argentina,superliga,Independiente,Lanus,1.9,3.31,4.47,2.43,1.59,2.14,1.76,https://www.oddsportal.com/soccer/argentina/superliga/independiente-lanus-d2tunyJI/,0,4,1
02.02.2020,2020,argentina,superliga,Argentinos Jrs,Racing Club,2.71,2.97,2.9,2.53,1.55,2.02,1.78,https://www.oddsportal.com/soccer/argentina/superliga/argentinos-jrs-racing-club-hrg6SJd9/,0,2,1
15.09.2019,2019,argentina,superliga,Banfield,Talleres Cordoba,2.05,3.1,4.13,2.61,1.49,2.25,1.69,https://www.oddsportal.com/soccer/argentina/superliga/banfield-talleres-cordoba-YJ9qghQo/,2,1,0
06.08.2019,2019,argentina,superliga,Godoy Cruz,Arsenal Sarandi,2.04,3.25,3.89,2.36,1.61,2.08,1.8,https://www.oddsportal.com/soccer/argentina/superliga/godoy-cruz-arsenal-sarandi-00EIHY7A/,2,2,0
17.02.2020,2020,argentina,superliga,Central Cordoba,Boca Juniors,4.47,3.3,1.88,2.22,1.70,1.99,1.8,https://www.oddsportal.com/soccer/argentina/superliga/central-cordoba-santiago-del-estero-boca-juniors-6kuFsj2D/,2,4,0
23.02.2020,2020,argentina,superliga,Arsenal Sarandi,Velez Sarsfield,2.98,3.05,2.58,2.30,1.65,1.89,1.89,https://www.oddsportal.com/soccer/argentina/superliga/arsenal-sarandi-velez-sarsfield-Aeo4048h/,2,4,0
24.02.2020,2020,argentina,superliga,Estudiantes L.P.,River Plate,4.98,3.46,1.77,2.32,1.64,2.07,1.74,https://www.oddsportal.com/soccer/argentina/superliga/estudiantes-l-p-river-plate-EXgcss8U/,2,2,0
22.02.2020,2020,argentina,superliga,Argentinos Jrs,Patronato,1.9,3.35,4.42,2.38,1.61,2.05,1.75,https://www.oddsportal.com/soccer/argentina/superliga/argentinos-jrs-patronato-tKekq3wI/,0,2,1
01.02.2020,2020,argentina,superliga,Estudiantes L.P.,Union de Santa Fe,1.88,3.17,4.92,2.72,1.49,2.31,1.6,https://www.oddsportal.com/soccer/argentina/superliga/estudiantes-l-p-union-de-santa-fe-beO6QcRL/,1,4,1
15.09.2019,2019,argentina,superliga,Rosario Central,Newells Old Boys,2.61,2.91,3.08,2.76,1.45,2.21,1.71,https://www.oddsportal.com/soccer/argentina/superliga/rosario-central-newells-old-boys-2a10kAPA/,0,2,1
04.08.2019,2019,argentina,superliga,Union de Santa Fe,Defensa y Justicia,2.16,2.93,4.08,3.05,1.39,2.51,1.57,https://www.oddsportal.com/soccer/argentina/superliga/union-de-santa-fe-defensa-y-justicia-IHYJdXVp/,1,3,1
29.09.2019,2019,argentina,superliga,Velez Sarsfield,Defensa y Justicia,1.86,3.22,4.84,2.65,1.51,2.26,1.67,https://www.oddsportal.com/soccer/argentina/superliga/velez-sarsfield-defensa-y-justicia-xfmA1yz3/,2,1,0
31.08.2019,2019,argentina,superliga,Argentinos Jrs,Gimnasia L.P.,2.04,3.11,4.19,2.71,1.47,2.37,1.63,https://www.oddsportal.com/soccer/argentina/superliga/argentinos-jrs-gimnasia-l-p-KdPpx0kf/,1,1,0
30.10.2019,2019,argentina,superliga,San Lorenzo,Defensa y Justicia,2.42,3.04,3.23,2.76,1.48,2.17,1.72,https://www.oddsportal.com/soccer/argentina/superliga/san-lorenzo-defensa-y-justicia-KvWgIKGB/,2,4,1
31.01.2020,2020,argentina,superliga,Velez Sarsfield,Aldosivi,1.46,3.96,8.41,2.33,1.62,2.52,1.51,https://www.oddsportal.com/soccer/argentina/superliga/velez-sarsfield-aldosivi-bLg2Tas3/,0,2,1
