date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
20.03.2018,2018,argentina,superliga-2017-2018,Tigre,Independiente,3.13,3.28,2.36,2.06,1.80,1.78,2.02,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/tigre-independiente-dx1vnVY1/,0,2,1
19.09.2017,2017,argentina,superliga-2017-2018,Temperley,Rosario Central,4.24,3.15,2.02,2.58,1.51,2.2,1.69,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/temperley-rosario-central-hIZ89zeg/,0,2,1
24.02.2018,2018,argentina,superliga-2017-2018,Defensa y Justicia,Patronato,1.51,4.21,7.62,2.08,1.85,2.2,1.75,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/defensa-y-justicia-patronato-AHGNYKbo/,1,1,0
04.11.2017,2017,argentina,superliga-2017-2018,Godoy Cruz,Huracan,2.32,3.21,3.25,2.15,1.70,1.86,1.94,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/godoy-cruz-huracan-Cfhlj7eO/,1,3,1
17.02.2018,2018,argentina,superliga-2017-2018,Temperley,Independiente,3.71,3.17,2.24,2.48,1.61,2.09,1.8,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/temperley-independiente-0A70HbCD/,0,0,0
06.11.2017,2017,argentina,superliga-2017-2018,Patronato,Newells Old Boys,2.94,3.01,2.64,2.51,1.54,2.05,1.79,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/patronato-newells-old-boys-fJcqimtI/,0,0,0
17.09.2017,2017,argentina,superliga-2017-2018,San Martin S.J.,River Plate,2.79,3.07,2.7,2.34,1.61,1.94,1.89,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/san-martin-s-j-river-plate-GWYSClpl/,2,4,1
20.11.2017,2017,argentina,superliga-2017-2018,Talleres Cordoba,Rosario Central,1.92,3.27,4.41,2.39,1.58,2.04,1.79,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/talleres-cordoba-rosario-central-Ui0kJ5PA/,2,1,0
01.04.2018,2018,argentina,superliga-2017-2018,Chacarita Juniors,Arsenal Sarandi,2.27,3.15,3.38,2.27,1.65,1.93,1.86,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/chacarita-juniors-arsenal-sarandi-vJNl2sPa/,0,4,1
14.04.2018,2018,argentina,superliga-2017-2018,Olimpo Bahia Blanca,San Martin S.J.,2.87,3.25,2.53,2.02,1.82,1.75,2.03,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/olimpo-bahia-blanca-san-martin-s-j-nJ3yswhb/,2,2,0
09.04.2018,2018,argentina,superliga-2017-2018,Arsenal Sarandi,Patronato,2.8,3.08,2.72,2.36,1.61,1.95,1.86,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/arsenal-sarandi-patronato-KWuEPyNN/,0,2,1
04.11.2017,2017,argentina,superliga-2017-2018,Lanus,Olimpo Bahia Blanca,1.74,3.46,5.44,2.33,1.62,2.13,1.69,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/lanus-olimpo-bahia-blanca-0dKA78Qb/,2,2,0
03.02.2018,2018,argentina,superliga-2017-2018,Banfield,Atl. Tucuman,3.15,3.09,2.45,2.39,1.58,2.0,1.81,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/banfield-atl-tucuman-fBDPbg0H/,0,0,0
30.09.2017,2017,argentina,superliga-2017-2018,Temperley,Estudiantes L.P.,3.68,3.1,2.13,2.51,1.54,2.12,1.72,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/temperley-estudiantes-l-p-CKedypp3/,2,3,0
04.11.2017,2017,argentina,superliga-2017-2018,Rosario Central,Atl. Tucuman,1.62,3.85,5.73,1.87,1.92,1.84,1.91,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/rosario-central-atl-tucuman-GSbuhTQB/,2,1,0
15.05.2018,2018,argentina,superliga-2017-2018,River Plate,San Lorenzo,1.38,4.86,7.6,1.66,2.30,1.9,1.93,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/river-plate-san-lorenzo-rNA1AKZ9/,1,2,0
08.04.2018,2018,argentina,superliga-2017-2018,Racing Club,River Plate,2.59,3.28,2.78,1.96,1.88,1.68,2.09,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/racing-club-river-plate-jiASraNo/,2,2,0
08.04.2018,2018,argentina,superliga-2017-2018,Atl. Tucuman,Newells Old Boys,2.11,3.21,3.76,2.29,1.63,1.96,1.82,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/atl-tucuman-newells-old-boys-C6x6RchB/,0,2,1
31.03.2018,2018,argentina,superliga-2017-2018,Newells Old Boys,Tigre,2.28,3.11,3.42,2.30,1.68,1.91,1.91,https://www.oddsportal.com/soccer/argentina/superliga-2017-2018/newells-old-boys-tigre-riUu43fm/,1,3,1
