date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
12.04.2017,2017,armenia,armenian-cup-2016-2017,Gandzasar,Shirak Gyumri,2.19,3.14,3.37,2.37,1.57,2.14,1.78,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/gandzasar-kapan-shirak-gyumri-CWovT51A/,2,1,0
11.04.2017,2017,armenia,armenian-cup-2016-2017,Pyunik Yerevan,Urartu,1.65,3.48,4.88,2.19,1.63,2.35,1.65,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/pyunik-yerevan-urartu-I9nzUon4/,1,3,1
21.09.2016,2016,armenia,armenian-cup-2016-2017,Alashkert,Pyunik Yerevan,1.85,3.34,4.26,2.15,1.70,1.67,1.91,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/alashkert-pyunik-yerevan-SISxXx4G/,2,3,1
24.05.2017,2017,armenia,armenian-cup-2016-2017,Pyunik Yerevan,Shirak Gyumri,3.54,3.26,2.05,2.42,1.56,2.1,1.74,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/pyunik-yerevan-shirak-gyumri-t83rfsLI/,2,3,0
26.04.2017,2017,armenia,armenian-cup-2016-2017,Shirak Gyumri,Gandzasar,2.35,3.01,3.13,2.72,1.44,2.38,1.64,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/shirak-gyumri-gandzasar-kapan-IqHvRqWM/,0,2,1
18.10.2016,2016,armenia,armenian-cup-2016-2017,Urartu,Ararat Yerevan,1.72,2.73,3.86,1.89,1.91,1.68,2.06,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/urartu-ararat-yerevan-Mwy5zCA8/,2,1,0
21.09.2016,2016,armenia,armenian-cup-2016-2017,Ararat Yerevan,Urartu,2.74,3.17,2.54,2.17,1.69,1.83,1.87,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/ararat-yerevan-urartu-YHfAEUmk/,2,3,1
19.10.2016,2016,armenia,armenian-cup-2016-2017,Pyunik Yerevan,Alashkert,2.8,3.33,2.36,1.95,1.81,1.66,2.09,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/pyunik-yerevan-alashkert-UqlJC8I1/,1,1,0
22.09.2016,2016,armenia,armenian-cup-2016-2017,Kotayk Abovyan,Shirak Gyumri,11.0,8.0,1.17,1.31,3.28,1.95,1.76,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/kotayk-abovyan-shirak-gyumri-vee6FAYr/,0,0,0
25.04.2017,2017,armenia,armenian-cup-2016-2017,Urartu,Pyunik Yerevan,3.0,3.06,2.24,2.44,1.53,2.1,1.81,https://www.oddsportal.com/soccer/armenia/armenian-cup-2016-2017/urartu-pyunik-yerevan-jNprSPGG/,2,1,0
25.10.2017,2017,armenia,armenian-cup-2017-2018,Ararat Yerevan,Shirak Gyumri,4.09,3.36,1.89,2.03,1.78,1.76,1.95,https://www.oddsportal.com/soccer/armenia/armenian-cup-2017-2018/ararat-yerevan-shirak-gyumri-bwktXoBi/,2,2,0
07.03.2018,2018,armenia,armenian-cup-2017-2018,Gandzasar,Shirak Gyumri,2.38,2.96,3.11,2.54,1.48,2.07,1.72,https://www.oddsportal.com/soccer/armenia/armenian-cup-2017-2018/gandzasar-kapan-shirak-gyumri-QkjR0mDf/,0,2,1
