date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
22.04.2017,2017,armenia,premier-league-2016-2017,Urartu,Gandzasar,6.33,3.98,1.46,2.05,1.66,2.43,1.56,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/urartu-gandzasar-kapan-2JH96fI9/,0,0,0
01.10.2016,2016,armenia,premier-league-2016-2017,Gandzasar,Pyunik Yerevan,2.34,3.36,2.87,2.15,1.66,1.81,1.89,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/gandzasar-kapan-pyunik-yerevan-KEM0ElFf/,1,1,0
27.09.2016,2016,armenia,premier-league-2016-2017,Alashkert,Pyunik Yerevan,1.98,3.28,3.74,1.92,1.88,1.76,1.95,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/alashkert-pyunik-yerevan-SGsMLWMK/,0,0,0
23.11.2016,2016,armenia,premier-league-2016-2017,Alashkert,Ararat Yerevan,1.3,4.99,9.67,1.74,2.04,2.11,1.67,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/alashkert-ararat-yerevan-65yIw5r6/,1,5,1
19.11.2016,2016,armenia,premier-league-2016-2017,Urartu,Gandzasar,2.64,3.09,2.29,2.37,1.48,1.85,1.85,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/urartu-gandzasar-kapan-hS29smqs/,0,2,1
30.03.2017,2017,armenia,premier-league-2016-2017,Alashkert,Gandzasar,1.99,3.17,3.88,2.23,1.60,1.94,1.91,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/alashkert-gandzasar-kapan-0jeviFIM/,2,3,1
18.03.2017,2017,armenia,premier-league-2016-2017,Shirak Gyumri,Gandzasar,2.34,3.03,2.95,2.51,1.50,2.26,1.7,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/shirak-gyumri-gandzasar-kapan-vH4Jew4i/,2,3,1
04.03.2017,2017,armenia,premier-league-2016-2017,Urartu,Alashkert,5.04,3.48,1.71,2.08,1.69,2.02,1.87,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/urartu-alashkert-YFycvxZG/,2,3,1
30.10.2016,2016,armenia,premier-league-2016-2017,Gandzasar,Ararat Yerevan,1.58,3.39,5.99,2.22,1.61,2.03,1.7,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/gandzasar-kapan-ararat-yerevan-bPqnQoE6/,1,1,0
12.03.2017,2017,armenia,premier-league-2016-2017,Alashkert,Shirak Gyumri,2.1,3.01,3.77,2.41,1.55,2.1,1.71,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/alashkert-shirak-gyumri-QDGyXgRj/,1,3,0
20.11.2016,2016,armenia,premier-league-2016-2017,Shirak Gyumri,Alashkert,1.93,3.12,3.96,2.20,1.62,1.74,1.97,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/shirak-gyumri-alashkert-0h6HuRDg/,0,0,0
13.05.2017,2017,armenia,premier-league-2016-2017,Ararat Yerevan,Gandzasar,9.21,4.81,1.23,2.04,1.67,2.78,1.46,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/ararat-yerevan-gandzasar-kapan-tOenKDn9/,2,3,1
11.03.2017,2017,armenia,premier-league-2016-2017,Gandzasar,Urartu,1.61,3.36,5.48,2.16,1.65,2.25,1.62,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/gandzasar-kapan-urartu-6TZ4xG3T/,1,1,0
05.11.2016,2016,armenia,premier-league-2016-2017,Alashkert,Urartu,1.76,3.27,4.13,1.91,1.79,1.76,1.91,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/alashkert-urartu-8fRxm9LJ/,1,5,1
29.10.2016,2016,armenia,premier-league-2016-2017,Urartu,Shirak Gyumri,3.51,2.84,2.19,2.34,1.54,1.9,1.81,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/urartu-shirak-gyumri-nktrRRb0/,2,3,1
26.10.2016,2016,armenia,premier-league-2016-2017,Shirak Gyumri,Pyunik Yerevan,1.81,3.28,4.18,2.04,1.71,1.61,2.05,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/shirak-gyumri-pyunik-yerevan-EyrzTmUm/,2,1,0
27.10.2016,2016,armenia,premier-league-2016-2017,Alashkert,Gandzasar,1.55,3.67,5.57,2.08,1.69,2.07,1.67,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/alashkert-gandzasar-kapan-hStvS7qf/,2,4,0
15.10.2016,2016,armenia,premier-league-2016-2017,Pyunik Yerevan,Ararat Yerevan,1.53,4.0,5.2,2.23,1.66,2.6,1.45,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/pyunik-yerevan-ararat-yerevan-6VK8CSq7/,1,4,0
01.04.2017,2017,armenia,premier-league-2016-2017,Shirak Gyumri,Pyunik Yerevan,1.91,3.18,4.25,2.29,1.58,2.16,1.76,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/shirak-gyumri-pyunik-yerevan-Madzhe3G/,2,2,0
27.05.2017,2017,armenia,premier-league-2016-2017,Pyunik Yerevan,Ararat Yerevan,1.42,4.29,6.66,2.04,1.73,2.5,1.5,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/pyunik-yerevan-ararat-yerevan-MceW9TO1/,1,3,1
31.03.2017,2017,armenia,premier-league-2016-2017,Urartu,Ararat Yerevan,1.73,3.39,4.77,2.27,1.59,2.04,1.78,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/urartu-ararat-yerevan-EZdWhylA/,1,3,1
10.03.2017,2017,armenia,premier-league-2016-2017,Pyunik Yerevan,Ararat Yerevan,1.41,3.65,8.24,1.99,1.72,2.57,1.5,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/pyunik-yerevan-ararat-yerevan-nNHXXZBp/,1,3,0
14.04.2017,2017,armenia,premier-league-2016-2017,Alashkert,Urartu,1.24,5.31,9.76,1.74,1.95,2.79,1.44,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/alashkert-urartu-U5J18Gmc/,1,2,0
30.10.2016,2016,armenia,premier-league-2016-2017,Pyunik Yerevan,Alashkert,3.12,3.04,2.24,2.17,1.62,1.82,1.89,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/pyunik-yerevan-alashkert-tlZjP5TC/,1,3,1
23.11.2016,2016,armenia,premier-league-2016-2017,Gandzasar,Shirak Gyumri,2.86,2.92,2.49,2.35,1.54,1.91,1.8,https://www.oddsportal.com/soccer/armenia/premier-league-2016-2017/gandzasar-kapan-shirak-gyumri-pdzMxPcC/,1,1,0
