date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
02.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,Keshla,Lokbatan,1.14,8.12,19.81,2.09,1.73,1.95,1.78,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/gabala-keshla-OjNv6CFi/,1,6,1
21.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,Kapaz,Keshla,2.98,3.02,2.47,2.35,1.60,1.91,1.88,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/kapaz-keshla-vuTyC6FJ/,0,0,0
13.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,Keshla,Kapaz,1.86,3.27,4.49,2.10,1.70,2.0,1.87,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/keshla-kapaz-jJnsjPh0/,1,2,0
03.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,Turan,Zira,5.85,4.1,1.49,1.85,1.89,1.99,1.75,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/turan-zira-fk-Wvwoq6O7/,2,1,0
30.03.2017,2017,azerbaijan,azerbaijan-cup-2016-2017,Keshla,Gabala,3.94,3.14,2.03,2.52,1.50,2.18,1.75,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/keshla-gabala-dpVhr9Np/,2,4,1
05.04.2017,2017,azerbaijan,azerbaijan-cup-2016-2017,Qarabag,Neftci Baku,1.34,4.66,9.77,2.04,1.74,2.91,1.46,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/qarabag-agdam-neftci-baku-AmJz7h0o/,0,0,0
21.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,Shuvalan,Gabala,4.65,3.51,1.75,2.15,1.65,2.1,1.81,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/shuvalan-gabala-S4DB54hm/,2,1,0
02.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,MOIK Baku,Sumqayit,4.88,4.0,1.65,1.55,2.39,1.52,2.4,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/moik-baku-sumqayit-fk-OUBii8MO/,2,2,0
21.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,Neftci Baku,Zira,2.2,3.25,3.17,2.12,1.68,1.92,1.95,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/neftci-baku-zira-fk-IVRuBQUP/,2,3,1
02.12.2016,2016,azerbaijan,azerbaijan-cup-2016-2017,Neftci Baku,Sharurspor PFK,1.12,7.36,18.0,1.29,3.28,2.05,1.7,https://www.oddsportal.com/soccer/azerbaijan/azerbaijan-cup-2016-2017/neftci-baku-sharurspor-S2IrgUiC/,1,2,0
