date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
04.02.2017,2017,azerbaijan,premier-league-2016-2017,Zira,Kapaz,1.95,3.1,4.07,2.48,1.51,2.23,1.72,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/zira-fk-kapaz-pK6U8c6q/,1,1,0
27.11.2016,2016,azerbaijan,premier-league-2016-2017,Kapaz,Neftci Baku,1.99,3.0,4.0,2.26,1.59,1.88,1.84,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/kapaz-neftci-baku-I3D732U3/,1,2,0
19.09.2016,2016,azerbaijan,premier-league-2016-2017,Gabala,Shuvalan,1.35,3.44,16.0,4.40,1.18,6.5,1.1,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/gabala-shuvalan-2LrCwFAs/,1,3,0
17.12.2016,2016,azerbaijan,premier-league-2016-2017,Neftci Baku,Shuvalan,1.84,3.42,4.16,2.26,1.60,2.06,1.84,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/neftci-baku-shuvalan-hM5K00EM/,2,1,0
19.11.2016,2016,azerbaijan,premier-league-2016-2017,Gabala,Zira,1.39,4.25,8.05,2.37,1.52,2.7,1.42,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/gabala-zira-fk-ClVon1aT/,1,1,0
28.01.2017,2017,azerbaijan,premier-league-2016-2017,Keshla,Kapaz,1.91,2.96,4.0,2.52,1.49,2.15,1.69,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/keshla-kapaz-bNYtI1qc/,1,5,1
08.02.2017,2017,azerbaijan,premier-league-2016-2017,Gabala,Shuvalan,1.19,6.4,23.38,2.01,1.87,2.91,1.46,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/gabala-shuvalan-hpAx7yyd/,1,2,0
15.04.2017,2017,azerbaijan,premier-league-2016-2017,Sumqayit,Zira,2.7,2.91,2.78,2.52,1.49,2.11,1.76,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/sumqayit-fk-zira-fk-GKYcXh6b/,0,2,1
19.03.2017,2017,azerbaijan,premier-league-2016-2017,Zira,Qarabag,8.29,3.9,1.43,2.49,1.50,2.41,1.42,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/zira-fk-qarabag-agdam-6kFFKFMh/,0,0,0
03.02.2017,2017,azerbaijan,premier-league-2016-2017,Shuvalan,Qarabag,10.16,4.76,1.32,2.02,1.77,2.7,1.51,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/shuvalan-qarabag-agdam-0nVcEJrM/,2,3,1
18.02.2017,2017,azerbaijan,premier-league-2016-2017,Neftci Baku,Kapaz,1.74,3.15,4.71,2.25,1.60,2.12,1.78,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/neftci-baku-kapaz-67Y58lC0/,0,0,0
19.02.2017,2017,azerbaijan,premier-league-2016-2017,Gabala,Qarabag,2.81,2.87,2.64,2.58,1.46,1.94,1.8,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/gabala-qarabag-agdam-pbX978R6/,1,2,0
29.11.2016,2016,azerbaijan,premier-league-2016-2017,Qarabag,Gabala,1.9,3.09,4.55,2.63,1.46,1.63,1.66,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/qarabag-agdam-gabala-vJ1G1taG/,1,3,1
13.02.2017,2017,azerbaijan,premier-league-2016-2017,Shuvalan,Keshla,6.1,3.7,1.59,2.21,1.62,2.33,1.64,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/shuvalan-keshla-bsVcAAsl/,2,1,0
04.02.2017,2017,azerbaijan,premier-league-2016-2017,Sumqayit,Keshla,4.06,3.05,1.93,2.36,1.49,2.15,1.77,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/sumqayit-fk-keshla-vwU1DwbS/,0,4,1
02.04.2017,2017,azerbaijan,premier-league-2016-2017,Gabala,Zira,1.36,4.47,8.45,2.08,1.68,2.98,1.44,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/gabala-zira-fk-2H8OIgi5/,0,2,1
12.02.2017,2017,azerbaijan,premier-league-2016-2017,Zira,Gabala,4.79,3.3,1.8,2.41,1.54,2.03,1.74,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/zira-fk-gabala-4tDPSIcF/,0,4,1
25.09.2016,2016,azerbaijan,premier-league-2016-2017,Zira,Gabala,4.66,3.82,1.71,2.11,1.74,2.1,1.58,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/zira-fk-gabala-fT0Jyguf/,2,2,0
19.11.2016,2016,azerbaijan,premier-league-2016-2017,Qarabag,Kapaz,1.21,5.21,11.3,1.93,1.77,2.88,1.26,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/qarabag-agdam-kapaz-UTHDsL7p/,1,1,0
30.09.2016,2016,azerbaijan,premier-league-2016-2017,Keshla,Zira,1.57,3.9,5.95,2.38,1.59,1.98,1.75,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/keshla-zira-fk-xjanuSon/,0,2,1
18.02.2017,2017,azerbaijan,premier-league-2016-2017,Keshla,Zira,1.82,3.07,4.42,2.51,1.50,2.19,1.72,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/keshla-zira-fk-xYT19Udf/,0,2,1
27.02.2017,2017,azerbaijan,premier-league-2016-2017,Shuvalan,Neftci Baku,5.51,3.52,1.73,2.59,1.53,2.33,1.62,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/shuvalan-neftci-baku-vBTaUVYJ/,2,1,0
13.03.2017,2017,azerbaijan,premier-league-2016-2017,Keshla,Sumqayit,1.47,3.85,7.16,1.84,1.69,2.1,1.81,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/keshla-sumqayit-fk-6R0iKoBC/,1,1,0
09.04.2017,2017,azerbaijan,premier-league-2016-2017,Qarabag,Gabala,1.79,3.43,4.52,2.48,1.49,2.32,1.67,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/qarabag-agdam-gabala-UTauFBjU/,0,0,0
20.11.2016,2016,azerbaijan,premier-league-2016-2017,Sumqayit,Neftci Baku,2.54,2.91,2.76,2.17,1.64,1.66,2.11,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/sumqayit-fk-neftci-baku-rXLHtuNj/,1,2,0
19.02.2017,2017,azerbaijan,premier-league-2016-2017,Sumqayit,Shuvalan,1.82,3.25,4.12,2.50,1.49,2.23,1.72,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/sumqayit-fk-shuvalan-SMME6StD/,1,1,0
15.04.2017,2017,azerbaijan,premier-league-2016-2017,Neftci Baku,Shuvalan,1.33,4.34,9.54,2.44,1.52,3.36,1.32,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/neftci-baku-shuvalan-AsY1WCL4/,1,4,0
13.03.2017,2017,azerbaijan,premier-league-2016-2017,Kapaz,Zira,2.79,2.87,2.79,2.87,1.41,2.25,1.7,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/kapaz-zira-fk-Ei0eJ5QI/,1,1,0
29.10.2016,2016,azerbaijan,premier-league-2016-2017,Shuvalan,Qarabag,11.25,5.44,1.23,1.83,1.91,2.74,1.41,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/shuvalan-qarabag-agdam-AJoIhoGo/,2,1,0
24.09.2016,2016,azerbaijan,premier-league-2016-2017,Shuvalan,Keshla,6.8,4.44,1.42,2.39,1.59,2.47,1.49,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/shuvalan-keshla-drrGxZPm/,2,4,1
18.03.2017,2017,azerbaijan,premier-league-2016-2017,Kapaz,Sumqayit,1.97,2.99,4.02,2.62,1.44,2.15,1.7,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/kapaz-sumqayit-fk-SbGBLe7n/,1,1,0
06.11.2016,2016,azerbaijan,premier-league-2016-2017,Zira,Qarabag,5.01,3.17,1.75,2.50,1.48,2.01,1.56,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/zira-fk-qarabag-agdam-YcWsmspN/,2,2,0
28.02.2017,2017,azerbaijan,premier-league-2016-2017,Qarabag,Keshla,1.47,4.03,7.6,2.28,1.60,2.6,1.55,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/qarabag-agdam-keshla-beAWO9ds/,2,1,0
10.04.2017,2017,azerbaijan,premier-league-2016-2017,Shuvalan,Sumqayit,2.56,2.93,2.98,2.41,1.55,1.97,1.89,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/shuvalan-sumqayit-fk-KhukZEyn/,2,3,1
27.02.2017,2017,azerbaijan,premier-league-2016-2017,Zira,Sumqayit,1.73,3.36,4.74,2.53,1.54,2.24,1.71,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/zira-fk-sumqayit-fk-Q7uI5ndJ/,1,1,0
08.02.2017,2017,azerbaijan,premier-league-2016-2017,Qarabag,Zira,1.27,4.86,13.95,2.14,1.71,2.94,1.44,https://www.oddsportal.com/soccer/azerbaijan/premier-league-2016-2017/qarabag-agdam-zira-fk-bNAY7HLk/,1,2,0
