date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
19.11.2016,2016,belgium,jupiler-league-2016-2017,Oostende,Westerlo,1.36,5.36,8.65,1.48,2.76,1.69,2.27,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/oostende-westerlo-EckTEF9O/,1,5,0
20.05.2017,2017,belgium,jupiler-league-2016-2017,Lokeren,Genk,3.67,3.75,1.95,1.53,2.52,1.48,2.81,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/lokeren-genk-2aPQImlm/,0,2,1
24.09.2016,2016,belgium,jupiler-league-2016-2017,Gent,St. Truiden,1.39,5.1,9.3,1.79,2.14,1.95,1.8,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/gent-st-truiden-MPcIi9ln/,1,3,1
29.01.2017,2017,belgium,jupiler-league-2016-2017,Anderlecht,St. Liege,1.7,3.97,4.91,1.66,2.27,1.69,2.32,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/anderlecht-st-liege-ptKTRel6/,0,0,0
26.01.2017,2017,belgium,jupiler-league-2016-2017,Eupen,St. Liege,3.92,3.63,1.94,1.80,2.06,1.7,2.29,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/eupen-st-liege-6kafDdZC/,0,4,1
07.05.2017,2017,belgium,jupiler-league-2016-2017,Oostende,Gent,3.04,3.4,2.37,1.85,1.99,1.73,2.24,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/oostende-gent-hhhRz7ir/,1,7,1
18.12.2016,2016,belgium,jupiler-league-2016-2017,Anderlecht,Eupen,1.21,7.06,13.28,1.35,3.24,1.81,2.14,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/anderlecht-eupen-zmSnwPiq/,1,4,0
15.10.2016,2016,belgium,jupiler-league-2016-2017,Mouscron,Genk,3.25,3.5,2.19,1.71,2.15,1.53,2.5,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/royal-excel-mouscron-genk-WxnwI52i/,0,4,1
29.04.2017,2017,belgium,jupiler-league-2016-2017,Lierse,KV Mechelen,2.78,3.34,2.53,1.92,1.89,1.72,2.23,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/lierse-sk-kv-mechelen-0d4F2Gth/,0,0,0
20.11.2016,2016,belgium,jupiler-league-2016-2017,Waregem,Anderlecht,2.94,3.47,2.43,1.83,2.03,1.64,2.34,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/waregem-anderlecht-noKsYxAn/,1,5,1
06.11.2016,2016,belgium,jupiler-league-2016-2017,Anderlecht,Oostende,1.53,4.5,6.06,1.55,2.53,1.64,2.34,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/anderlecht-oostende-K09mKkU6/,0,2,1
05.02.2017,2017,belgium,jupiler-league-2016-2017,Club Brugge KV,Charleroi,1.36,4.96,9.71,1.74,2.16,2.04,1.86,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/club-brugge-charleroi-xfs1SSvH/,1,1,0
18.05.2017,2017,belgium,jupiler-league-2016-2017,Oostende,Club Brugge KV,4.35,3.92,1.75,1.60,2.39,1.57,2.46,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/oostende-club-brugge-xtCjw0Dt/,1,3,1
25.09.2016,2016,belgium,jupiler-league-2016-2017,Kortrijk,Genk,2.89,3.24,2.72,1.85,2.06,1.55,2.45,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/kortrijk-genk-4lmNjT3h/,1,5,1
20.12.2016,2016,belgium,jupiler-league-2016-2017,KV Mechelen,Charleroi,2.34,3.32,3.2,2.06,1.81,1.86,2.05,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/kv-mechelen-charleroi-0AHQlMje/,1,1,0
27.05.2017,2017,belgium,jupiler-league-2016-2017,Genk,St. Truiden,1.54,4.08,6.24,1.83,2.00,1.89,1.99,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/genk-st-truiden-jJp5Za1p/,1,3,0
06.11.2016,2016,belgium,jupiler-league-2016-2017,Club Brugge KV,Genk,1.7,3.91,5.12,1.77,2.11,1.66,2.22,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/club-brugge-genk-QcCeITbJ/,0,2,1
27.10.2016,2016,belgium,jupiler-league-2016-2017,Gent,St. Liege,1.77,3.6,4.47,1.76,2.00,1.69,2.15,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/gent-st-liege-KYYTQ0oM/,1,1,0
24.09.2016,2016,belgium,jupiler-league-2016-2017,Charleroi,Oostende,2.26,3.46,3.44,1.85,2.06,1.6,2.34,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/charleroi-oostende-8MgEhkZu/,1,3,1
25.09.2016,2016,belgium,jupiler-league-2016-2017,St. Liege,Eupen,1.54,4.44,6.4,1.67,2.34,1.67,2.2,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/st-liege-eupen-G6aYmRmB/,1,3,0
24.01.2017,2017,belgium,jupiler-league-2016-2017,Waregem,Mouscron,1.47,4.09,8.03,2.04,1.81,2.19,1.77,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/waregem-royal-excel-mouscron-2HUOSyZa/,1,1,0
29.01.2017,2017,belgium,jupiler-league-2016-2017,Gent,Club Brugge KV,2.67,3.25,2.77,2.10,1.77,1.86,2.07,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/gent-club-brugge-h6NyQZII/,1,2,0
22.01.2017,2017,belgium,jupiler-league-2016-2017,Anderlecht,St. Truiden,1.41,4.87,7.96,1.66,2.27,1.9,1.99,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/anderlecht-st-truiden-pbDaOMsE/,1,4,1
29.04.2017,2017,belgium,jupiler-league-2016-2017,Genk,Kortrijk,1.23,6.71,13.93,1.39,2.80,1.92,1.97,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/genk-kortrijk-Am5DBWtK/,1,3,0
21.10.2016,2016,belgium,jupiler-league-2016-2017,Oostende,Kortrijk,1.87,3.78,3.96,1.55,2.43,1.46,2.72,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/oostende-kortrijk-MTuN7Lvp/,0,4,1
17.02.2017,2017,belgium,jupiler-league-2016-2017,Westerlo,Club Brugge KV,8.18,4.99,1.38,1.62,2.35,1.88,2.03,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/westerlo-club-brugge-fTOsbuna/,2,3,1
22.01.2017,2017,belgium,jupiler-league-2016-2017,St. Liege,Club Brugge KV,2.74,3.35,2.66,1.92,1.93,1.72,2.24,https://www.oddsportal.com/soccer/belgium/jupiler-league-2016-2017/st-liege-club-brugge-AN5oFI40/,2,3,0
