date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
08.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Zrinjski,Siroki Brijeg,1.48,3.98,4.78,2.12,1.74,2.12,1.67,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/zrinjski-siroki-brijeg-l8X0oBPt/,2,2,0
26.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Radnik Bijeljina,Kakanj,1.23,5.49,9.75,1.63,2.17,1.95,1.76,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/radnik-bijeljina-kakanj-zLaFhnTh/,1,6,1
19.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Mladost DK,Slavija,1.17,6.25,13.75,1.42,2.65,2.03,1.7,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/doboj-kakanj-slavija-MkyEzE77/,1,7,1
26.04.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Zeljeznicar,Siroki Brijeg,1.47,3.8,6.5,2.13,1.69,2.11,1.68,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/zeljeznicar-siroki-brijeg-p0xmhJ2h/,2,3,0
08.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,FK Sarajevo,Travnik,1.27,5.9,12.43,1.73,2.14,2.64,1.54,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/fk-sarajevo-travnik-EiGlrubJ/,1,2,0
19.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Zeljeznicar,Gorazde,1.18,5.71,13.5,1.51,2.30,2.12,1.64,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/zeljeznicar-gorazde-UgsUtkUt/,1,6,1
21.09.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Krupa,Travnik,1.66,3.7,4.98,1.84,1.96,1.71,2.02,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/krupa-travnik-UgPNKm7r/,2,4,1
19.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,FK Sarajevo,Kozara,1.18,5.75,13.25,1.51,2.43,2.12,1.64,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/fk-sarajevo-kozara-EqOabHaE/,1,4,1
25.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Travnik,HNK Orasje,1.76,3.44,4.27,2.08,1.69,1.83,1.87,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/travnik-orasje-2717f8bt/,1,4,1
08.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Radnik Bijeljina,Zeljeznicar,2.45,3.01,2.81,2.71,1.48,2.2,1.73,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/radnik-bijeljina-zeljeznicar-hxnVjX1J/,0,4,1
21.09.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Radnicki Lukavac,Drina Zvornik,2.61,3.16,2.67,1.91,1.89,1.75,1.96,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/radnicki-lukavac-zvornik-MNI5V4L0/,1,4,1
15.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Siroki Brijeg,Zrinjski,3.18,2.93,2.15,2.13,1.69,1.94,1.94,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/siroki-brijeg-zrinjski-jXTHsTO5/,1,1,0
19.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Kakanj,Radnik Bijeljina,5.19,3.74,1.58,1.92,1.80,1.8,1.9,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/kakanj-radnik-bijeljina-GAqtvmEa/,2,1,0
15.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Bosna Sema,Mladost DK,7.07,5.32,1.34,1.52,2.46,1.9,1.82,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/bosna-sema-doboj-kakanj-McPDr99a/,2,5,1
15.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Zeljeznicar,Radnik Bijeljina,1.45,4.05,7.26,2.18,1.65,2.3,1.62,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/zeljeznicar-radnik-bijeljina-r7Q9qkfg/,1,2,0
08.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Mladost DK,Bosna Sema,1.21,7.12,13.43,1.65,2.27,3.0,1.35,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/doboj-kakanj-bosna-sema-WSpZkiHP/,1,9,1
26.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Slavija,Mladost DK,3.47,3.48,1.87,1.39,2.82,1.34,2.99,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/slavija-doboj-kakanj-xQXlxRrC/,2,2,0
19.04.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Mladost DK,FK Sarajevo,4.07,3.24,1.91,2.17,1.62,1.96,1.83,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/doboj-kakanj-fk-sarajevo-2ymrgamn/,2,5,1
15.03.2017,2017,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Travnik,FK Sarajevo,7.2,4.42,1.43,1.93,1.85,2.1,1.67,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/travnik-fk-sarajevo-0ry5pVvm/,0,4,1
26.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Gorazde,Zeljeznicar,5.99,4.18,1.45,1.50,2.59,1.49,2.44,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/gorazde-zeljeznicar-QoAualjP/,2,3,0
26.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Kozara,FK Sarajevo,6.04,4.33,1.42,1.72,2.03,1.87,1.84,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/kozara-fk-sarajevo-OtWdz5DO/,2,5,0
19.10.2016,2016,bosnia-and-herzegovina,bosnia-and-herzegovina-cup-2016-2017,Sloboda,Siroki Brijeg,2.07,3.25,3.28,2.03,1.72,1.74,1.98,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup-2016-2017/sloboda-siroki-brijeg-zgPeacp8/,1,1,0
