date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
18.03.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,NK Vitez,Krupa,1.95,3.31,3.76,2.16,1.61,1.95,1.77,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/nk-vitez-krupa-Gb3o0BlU/,0,0,0
20.05.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,FK Sarajevo,Zeljeznicar,2.72,3.08,2.53,2.55,1.45,2.12,1.64,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/fk-sarajevo-zeljeznicar-4UYUqsP1/,1,1,0
15.04.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,Krupa,Sloboda,2.29,2.96,3.2,2.30,1.56,1.91,1.93,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/krupa-sloboda-zDNdsl33/,1,3,0
18.03.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,Zeljeznicar,Radnik Bijeljina,1.44,4.44,7.03,1.98,1.77,2.31,1.62,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/zeljeznicar-radnik-bijeljina-ttBY2D4B/,1,2,0
15.04.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,Siroki Brijeg,Metalleghe,1.93,3.45,3.48,1.78,1.95,1.58,2.2,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/siroki-brijeg-metalleghe-Eu6pn2mO/,2,1,0
05.11.2016,2016,bosnia-and-herzegovina,premier-league-2016-2017,Krupa,FK Sarajevo,5.09,3.62,1.61,2.05,1.73,2.23,1.58,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/krupa-fk-sarajevo-jDgRo0CM/,2,1,0
01.04.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,NK Vitez,Metalleghe,1.82,3.32,4.23,2.21,1.59,2.38,1.58,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/nk-vitez-metalleghe-IDj6YrJO/,0,2,1
23.04.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,FK Sarajevo,Krupa,1.38,4.54,7.17,1.84,1.89,2.28,1.63,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/fk-sarajevo-krupa-4hB9vnmM/,0,2,1
01.04.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,Zrinjski,Krupa,1.29,4.91,9.42,1.88,1.87,2.45,1.55,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/zrinjski-krupa-0IHYfWVe/,1,4,0
25.02.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,Mladost DK,Sloboda,2.66,3.06,2.86,2.22,1.58,1.75,1.96,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/doboj-kakanj-sloboda-6RQU3YX7/,1,4,1
08.04.2017,2017,bosnia-and-herzegovina,premier-league-2016-2017,Zeljeznicar,Krupa,1.25,5.25,8.71,1.89,1.87,2.65,1.42,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/zeljeznicar-krupa-tEt6KQej/,1,1,0
22.10.2016,2016,bosnia-and-herzegovina,premier-league-2016-2017,Krupa,Metalleghe,1.56,3.8,5.51,1.79,1.98,1.65,2.11,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league-2016-2017/krupa-metalleghe-I7DjZMSG/,1,1,0
