date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
20.01.2018,2018,brazil,campeonato-carioca-2018,Portuguesa RJ,Madureira,2.12,3.32,3.43,2.02,1.81,1.73,1.98,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/portuguesa-rj-madureira-vRgdIK4T/,0,0,0
22.02.2018,2018,brazil,campeonato-carioca-2018,Nova Iguacu,Botafogo RJ,4.83,3.48,1.79,2.34,1.61,2.11,1.71,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/nova-iguacu-botafogo-rj-ltNTzAfH/,2,3,1
17.01.2018,2018,brazil,campeonato-carioca-2018,Madureira,Macae,1.93,3.43,3.89,1.92,1.89,1.78,1.94,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/madureira-macae-l4mapZxS/,0,4,1
21.01.2018,2018,brazil,campeonato-carioca-2018,Bangu,Volta Redonda,2.09,3.27,3.53,2.07,1.75,1.83,1.89,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/bangu-volta-redonda-UezE5sLN/,0,4,1
20.01.2018,2018,brazil,campeonato-carioca-2018,Boavista,Macae,1.89,3.39,4.14,2.08,1.75,1.89,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/boavista-macae-foQRugoq/,2,1,0
10.01.2018,2018,brazil,campeonato-carioca-2018,Goytacaz,Resende,2.58,3.19,2.77,2.03,1.80,1.78,2.0,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/goytacaz-resende-IPGdW5zP/,1,3,1
28.12.2017,2017,brazil,campeonato-carioca-2018,Resende,America RJ,2.16,3.28,3.41,2.22,1.67,1.9,1.89,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/resende-america-rj-dYU1sWrQ/,1,5,1
18.03.2018,2018,brazil,campeonato-carioca-2018,Bangu,Madureira,2.06,3.22,3.78,2.13,1.73,1.88,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/bangu-madureira-8OhNtxN7/,2,3,0
23.01.2018,2018,brazil,campeonato-carioca-2018,Madureira,Boavista,2.67,3.01,2.78,2.38,1.57,1.96,1.79,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/madureira-boavista-zcuSCbSj/,2,1,0
27.01.2018,2018,brazil,campeonato-carioca-2018,America RJ,Goytacaz,2.41,3.34,3.03,2.01,1.87,1.79,2.07,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/america-rj-goytacaz-CvIqFr67/,1,5,1
28.01.2018,2018,brazil,campeonato-carioca-2018,Bangu,Nova Iguacu,2.23,3.21,3.22,2.07,1.74,1.81,1.91,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/bangu-nova-iguacu-EJ8WNOzh/,0,0,0
17.01.2018,2018,brazil,campeonato-carioca-2018,Nova Iguacu,Cabofriense,2.3,3.21,3.1,2.09,1.75,1.76,1.92,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/nova-iguacu-cabofriense-SUdvkcOd/,0,2,1
28.01.2018,2018,brazil,campeonato-carioca-2018,Macae,Portuguesa RJ,2.42,2.98,3.02,2.20,1.66,1.85,1.82,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/macae-portuguesa-rj-2BTZwXFe/,2,3,1
06.01.2018,2018,brazil,campeonato-carioca-2018,Cabofriense,Macae,2.39,3.32,2.9,1.91,1.91,1.69,2.13,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/cabofriense-macae-lpPuzly0/,1,1,0
07.03.2018,2018,brazil,campeonato-carioca-2018,Madureira,Cabofriense,2.12,3.21,3.63,2.31,1.63,1.94,1.84,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/madureira-cabofriense-ObF5WOJp/,2,2,0
03.03.2018,2018,brazil,campeonato-carioca-2018,Flamengo RJ,Botafogo RJ,1.95,3.36,4.1,2.14,1.72,1.9,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/flamengo-rj-botafogo-rj-dAI8ysoS/,1,1,0
27.01.2018,2018,brazil,campeonato-carioca-2018,Bonsucesso,Resende,2.86,3.25,2.44,1.97,1.83,1.7,2.02,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2018/bonsucesso-resende-04EuGOj1/,0,2,1
