date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
20.02.2021,2021,brazil,campeonato-carioca,America RJ,Americano FC,1.96,3.62,3.55,1.79,2.02,1.68,2.1,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/america-rj-americano-fc-dQtXw8bc/,1,4,1
07.03.2021,2021,brazil,campeonato-carioca,Fluminense,Portuguesa RJ,2.46,3.15,2.88,2.15,1.71,1.83,1.91,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/fluminense-portuguesa-rj-2mqEBfkL/,2,3,0
03.03.2021,2021,brazil,campeonato-carioca,Macae,Bangu,2.29,3.1,3.2,2.51,1.52,2.08,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/macae-bangu-2iaFjgDe/,2,1,0
30.01.2021,2021,brazil,campeonato-carioca,Americano FC,America RJ,3.08,3.03,2.4,2.28,1.62,1.91,1.83,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/americano-fc-america-rj-xM96NnEG/,1,3,0
27.01.2021,2021,brazil,campeonato-carioca,Friburguense,America RJ,4.14,3.28,1.89,2.17,1.67,1.95,1.79,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/friburguense-america-rj-bVA2OSbA/,2,3,1
23.01.2021,2021,brazil,campeonato-carioca,America RJ,Nova Iguacu,3.33,3.0,2.29,2.35,1.59,1.97,1.79,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/america-rj-nova-iguacu-C8gjdbci/,0,2,1
06.02.2021,2021,brazil,campeonato-carioca,America RJ,Cabofriense,3.16,3.27,2.23,2.08,1.74,1.82,1.92,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/america-rj-cabofriense-jTksHpip/,0,2,1
14.03.2021,2021,brazil,campeonato-carioca,Portuguesa RJ,Volta Redonda,2.79,3.04,2.57,2.32,1.59,1.94,1.81,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/portuguesa-rj-volta-redonda-lMxd3Wd1/,2,1,0
07.03.2021,2021,brazil,campeonato-carioca,Boavista,Bangu,1.63,3.39,5.96,2.24,1.64,2.19,1.63,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/boavista-bangu-dArIAE4R/,1,2,0
07.03.2021,2021,brazil,campeonato-carioca,Botafogo RJ,Resende,1.6,3.81,5.31,2.00,1.81,1.98,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/botafogo-rj-resende-SUj1Ed52/,1,3,0
13.03.2021,2021,brazil,campeonato-carioca,Madureira,Resende,2.38,3.2,2.89,2.19,1.63,1.88,1.85,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/madureira-resende-GfPl5hSl/,0,0,0
27.01.2021,2021,brazil,campeonato-carioca,Nova Iguacu,Americano FC,1.74,3.36,4.92,2.17,1.68,2.01,1.75,https://www.oddsportal.com/soccer/brazil/campeonato-carioca/nova-iguacu-americano-fc-jahfeICc/,1,1,0
