date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
29.03.2017,2017,brazil,campeonato-carioca-2017,Resende,Nova Iguacu,2.9,3.32,2.45,1.87,1.98,1.66,2.33,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/resende-nova-iguacu-SdiknWF4/,2,1,0
30.03.2017,2017,brazil,campeonato-carioca-2017,Volta Redonda,Flamengo RJ,4.69,3.84,1.7,1.79,2.05,1.79,2.09,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/volta-redonda-flamengo-rj-WUctlhoh/,0,2,1
12.02.2017,2017,brazil,campeonato-carioca-2017,Botafogo RJ,Flamengo RJ,5.33,3.7,1.68,2.06,1.78,2.0,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/botafogo-rj-flamengo-rj-bDmgehyB/,2,3,1
09.04.2017,2017,brazil,campeonato-carioca-2017,Botafogo RJ,Fluminense,3.3,3.3,2.2,1.97,1.84,1.84,2.03,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/botafogo-rj-fluminense-rDVrLuzt/,1,4,1
01.02.2017,2017,brazil,campeonato-carioca-2017,Fluminense,Resende,1.44,4.49,7.32,1.83,2.00,2.04,1.87,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/fluminense-resende-UgXCBDLi/,1,1,0
02.04.2017,2017,brazil,campeonato-carioca-2017,Boavista,Portuguesa RJ,1.96,3.33,4.11,2.26,1.66,2.02,1.87,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/boavista-portuguesa-rj-WUZXw8Np/,0,2,1
11.02.2017,2017,brazil,campeonato-carioca-2017,Bonsucesso,Campos AA,2.47,3.15,2.81,2.23,1.66,1.89,2.0,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/bonsucesso-campos-aa-6J0FZx11/,1,1,0
19.02.2017,2017,brazil,campeonato-carioca-2017,Boavista,Botafogo RJ,2.7,3.04,2.4,2.25,1.65,1.95,1.93,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/boavista-botafogo-rj-Cx3bhjLT/,2,5,1
02.02.2017,2017,brazil,campeonato-carioca-2017,Bangu,Vasco,5.07,3.8,1.67,1.93,1.85,1.98,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/bangu-vasco-bTyHAXzb/,2,4,1
19.03.2017,2017,brazil,campeonato-carioca-2017,Vasco,Botafogo RJ,3.56,3.2,2.16,2.28,1.67,1.98,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-carioca-2017/vasco-botafogo-rj-buY1eFyL/,0,0,0
