date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
18.03.2018,2018,brazil,campeonato-gaucho-2018,Veranopolis,EC Sao Jose,2.03,3.09,3.67,2.55,1.45,2.17,1.65,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/veranopolis-ec-sao-jose-pa-hhUwEKtf/,1,1,0
21.02.2018,2018,brazil,campeonato-gaucho-2018,Novo Hamburgo,EC Cruzeiro,1.92,3.17,3.94,2.35,1.54,2.09,1.65,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/novo-hamburgo-ec-cruzeiro-dIQjzRu6/,0,0,0
07.03.2018,2018,brazil,campeonato-gaucho-2018,Veranopolis,Novo Hamburgo,2.07,2.92,3.82,2.85,1.35,2.38,1.52,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/veranopolis-novo-hamburgo-GKnv2zVF/,1,4,1
07.03.2018,2018,brazil,campeonato-gaucho-2018,Brasil de Pelotas,Avenida,1.53,3.66,6.51,2.26,1.60,2.26,1.58,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/brasil-de-pelotas-avenida-xUmz3GF9/,0,2,1
04.03.2018,2018,brazil,campeonato-gaucho-2018,SC Sao Paulo,Veranopolis,2.69,2.87,2.71,2.66,1.42,2.12,1.63,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/sc-sao-paulo-veranopolis-fXhxrFwp/,0,0,0
17.03.2018,2018,brazil,campeonato-gaucho-2018,Avenida,SER Caxias,2.71,3.0,2.66,2.64,1.42,2.21,1.67,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/avenida-ser-caxias-do-sul-MRYsDvd0/,0,2,1
14.02.2018,2018,brazil,campeonato-gaucho-2018,Sao Luiz,SC Sao Paulo,2.19,3.0,3.39,2.51,1.44,2.04,1.65,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/sao-luiz-sc-sao-paulo-z9PfZpeC/,1,2,0
22.03.2018,2018,brazil,campeonato-gaucho-2018,Internacional,Gremio,2.15,3.15,3.34,2.39,1.55,2.09,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/internacional-gremio-nDx6Hgmn/,1,2,0
25.02.2018,2018,brazil,campeonato-gaucho-2018,EC Sao Jose,SC Sao Paulo,1.66,3.42,4.93,2.02,1.68,1.9,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ec-sao-jose-pa-sc-sao-paulo-UqMpha1i/,1,1,0
11.03.2018,2018,brazil,campeonato-gaucho-2018,EC Cruzeiro,SER Caxias,2.55,2.95,2.72,2.18,1.58,1.86,1.87,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ec-cruzeiro-ser-caxias-do-sul-A7kMKotJ/,2,1,0
08.03.2018,2018,brazil,campeonato-gaucho-2018,Gremio,SC Sao Paulo,1.24,5.12,10.84,2.07,1.69,2.77,1.37,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/gremio-sc-sao-paulo-2cdptg8d/,1,1,0
24.02.2018,2018,brazil,campeonato-gaucho-2018,Gremio,Novo Hamburgo,1.43,4.08,7.57,2.16,1.62,2.38,1.52,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/gremio-novo-hamburgo-MuGUoOvI/,1,3,0
17.02.2018,2018,brazil,campeonato-gaucho-2018,EC Cruzeiro,Avenida,1.8,3.52,3.98,1.93,1.84,1.81,1.92,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ec-cruzeiro-avenida-GMcHjnQn/,2,1,0
14.02.2018,2018,brazil,campeonato-gaucho-2018,Veranopolis,SER Caxias,3.27,2.91,2.33,2.67,1.42,2.17,1.61,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/veranopolis-ser-caxias-do-sul-rZS2XOPO/,0,0,0
25.02.2018,2018,brazil,campeonato-gaucho-2018,Juventude,EC Cruzeiro,1.96,3.06,3.52,2.12,1.57,1.84,1.74,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/esporte-clube-juventude-ec-cruzeiro-8xCQn4PB/,1,5,1
11.03.2018,2018,brazil,campeonato-gaucho-2018,SC Sao Paulo,Brasil de Pelotas,3.21,2.97,2.32,2.60,1.44,2.15,1.63,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/sc-sao-paulo-brasil-de-pelotas-21x8rkYP/,2,3,1
01.04.2018,2018,brazil,campeonato-gaucho-2018,Gremio,Brasil de Pelotas,1.29,4.93,11.71,1.99,1.82,2.54,1.52,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/gremio-brasil-de-pelotas-AcSGx3OH/,1,4,0
25.03.2018,2018,brazil,campeonato-gaucho-2018,Avenida,Gremio,7.77,4.0,1.44,2.28,1.62,2.35,1.55,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/avenida-gremio-pQeyZ8r1/,2,3,0
19.02.2018,2018,brazil,campeonato-gaucho-2018,SER Caxias,Juventude,1.81,3.54,4.04,2.06,1.70,1.87,1.85,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ser-caxias-do-sul-esporte-clube-juventude-zPDIlQfa/,0,2,1
11.03.2018,2018,brazil,campeonato-gaucho-2018,Avenida,Novo Hamburgo,2.34,3.17,2.89,2.29,1.56,1.93,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/avenida-novo-hamburgo-reKzv9ts/,0,2,1
04.03.2018,2018,brazil,campeonato-gaucho-2018,Juventude,Gremio,4.27,3.42,1.84,2.00,1.80,1.78,1.93,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/esporte-clube-juventude-gremio-2ZDckcoA/,2,2,0
15.02.2018,2018,brazil,campeonato-gaucho-2018,Internacional,Juventude,1.36,4.45,8.29,2.04,1.75,2.31,1.52,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/internacional-esporte-clube-juventude-Egyny7Qa/,1,4,1
08.03.2018,2018,brazil,campeonato-gaucho-2018,EC Sao Jose,Juventude,2.25,2.98,3.25,2.38,1.51,1.98,1.71,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ec-sao-jose-pa-esporte-clube-juventude-42zT4xoc/,2,3,1
07.02.2018,2018,brazil,campeonato-gaucho-2018,Gremio,Brasil de Pelotas,1.46,4.34,6.52,1.97,1.82,2.13,1.68,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/gremio-brasil-de-pelotas-G8IrxmBg/,1,3,1
25.03.2018,2018,brazil,campeonato-gaucho-2018,EC Sao Jose,Brasil de Pelotas,2.29,3.16,3.02,2.36,1.53,2.07,1.76,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ec-sao-jose-pa-brasil-de-pelotas-6ZdXZlTf/,0,2,1
07.03.2018,2018,brazil,campeonato-gaucho-2018,EC Cruzeiro,Internacional,3.46,3.26,2.08,2.12,1.68,1.83,1.93,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ec-cruzeiro-internacional-lfhtsZhj/,0,0,0
03.03.2018,2018,brazil,campeonato-gaucho-2018,Novo Hamburgo,Brasil de Pelotas,2.72,2.94,2.71,2.46,1.52,1.95,1.78,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/novo-hamburgo-brasil-de-pelotas-hO6AneVS/,1,3,1
25.02.2018,2018,brazil,campeonato-gaucho-2018,Avenida,Veranopolis,2.51,2.95,2.86,2.61,1.41,2.14,1.66,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/avenida-veranopolis-8zLliJGc/,0,0,0
18.02.2018,2018,brazil,campeonato-gaucho-2018,Brasil de Pelotas,EC Sao Jose,2.09,3.17,3.4,2.12,1.66,1.93,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/brasil-de-pelotas-ec-sao-jose-pa-EFCMmpA5/,1,2,0
22.03.2018,2018,brazil,campeonato-gaucho-2018,Brasil de Pelotas,Sao Luiz,1.54,3.77,6.66,2.29,1.62,2.34,1.58,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/brasil-de-pelotas-sao-luiz-rsNjBIQC/,1,3,1
11.03.2018,2018,brazil,campeonato-gaucho-2018,Juventude,Veranopolis,1.65,3.24,5.61,2.40,1.51,2.47,1.5,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/esporte-clube-juventude-veranopolis-OAw4qVIJ/,0,0,0
29.03.2018,2018,brazil,campeonato-gaucho-2018,Gremio,Avenida,1.22,6.22,11.67,1.57,2.27,2.11,1.73,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/gremio-avenida-hjaqXnDD/,0,2,1
18.03.2018,2018,brazil,campeonato-gaucho-2018,Sao Luiz,Brasil de Pelotas,2.93,2.93,2.36,2.36,1.54,1.95,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/sao-luiz-brasil-de-pelotas-E1VZE0Rm/,0,2,1
08.04.2018,2018,brazil,campeonato-gaucho-2018,Brasil de Pelotas,Gremio,3.93,3.58,1.87,1.85,1.96,1.74,2.06,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/brasil-de-pelotas-gremio-4KRKyNwO/,2,3,0
07.03.2018,2018,brazil,campeonato-gaucho-2018,SER Caxias,Sao Luiz,1.86,3.14,4.37,2.30,1.55,1.99,1.68,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ser-caxias-do-sul-sao-luiz-rgZW3d03/,0,2,1
24.02.2018,2018,brazil,campeonato-gaucho-2018,SER Caxias,Brasil de Pelotas,2.23,3.02,3.27,2.32,1.57,1.95,1.79,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ser-caxias-do-sul-brasil-de-pelotas-tUS2TFOj/,0,0,0
14.02.2018,2018,brazil,campeonato-gaucho-2018,EC Sao Jose,Avenida,1.77,3.6,3.97,1.73,2.05,1.64,2.11,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ec-sao-jose-pa-avenida-4rUbY4AI/,0,0,0
25.02.2018,2018,brazil,campeonato-gaucho-2018,Internacional,Sao Luiz,1.56,3.73,5.38,1.86,1.86,1.78,1.79,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/internacional-sao-luiz-2wUbUe9p/,0,0,0
18.03.2018,2018,brazil,campeonato-gaucho-2018,Gremio,Internacional,1.78,3.29,4.57,2.28,1.61,2.12,1.73,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/gremio-internacional-0IXoCbB6/,1,3,0
02.03.2018,2018,brazil,campeonato-gaucho-2018,Sao Luiz,EC Cruzeiro,2.35,2.83,3.08,2.53,1.44,2.13,1.59,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/sao-luiz-ec-cruzeiro-zmC5myGM/,1,5,1
08.02.2018,2018,brazil,campeonato-gaucho-2018,Internacional,EC Sao Jose,1.46,4.1,6.66,1.85,1.95,1.92,1.8,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/internacional-ec-sao-jose-pa-jaAgjwW3/,1,4,0
11.03.2018,2018,brazil,campeonato-gaucho-2018,Internacional,Gremio,2.47,2.95,2.97,2.38,1.53,1.99,1.76,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/internacional-gremio-MoJvwTem/,2,3,1
18.02.2018,2018,brazil,campeonato-gaucho-2018,Novo Hamburgo,Sao Luiz,2.29,2.87,3.44,2.54,1.47,2.04,1.65,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/novo-hamburgo-sao-luiz-fDdLk6ug/,1,2,0
11.03.2018,2018,brazil,campeonato-gaucho-2018,Sao Luiz,EC Sao Jose,2.07,2.85,3.74,2.50,1.43,2.05,1.64,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/sao-luiz-ec-sao-jose-pa-d4oILRQC/,2,3,1
21.03.2018,2018,brazil,campeonato-gaucho-2018,SER Caxias,Avenida,1.62,3.56,5.91,2.26,1.61,2.17,1.64,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/ser-caxias-do-sul-avenida-8Mw2IZXu/,0,4,1
03.03.2018,2018,brazil,campeonato-gaucho-2018,Avenida,SER Caxias,2.9,2.92,2.38,2.21,1.56,1.81,1.76,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/avenida-ser-caxias-do-sul-ddD1lH0G/,1,1,0
17.02.2018,2018,brazil,campeonato-gaucho-2018,Veranopolis,Gremio,3.54,3.08,2.14,2.37,1.55,1.99,1.74,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2018/veranopolis-gremio-MabDiSAt/,1,3,1
