date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
04.03.2021,2021,brazil,campeonato-gaucho,EC Sao Jose,SER Caxias,2.38,2.97,3.12,2.71,1.45,2.15,1.65,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/ec-sao-jose-pa-ser-caxias-do-sul-0CONHrl2/,2,1,0
27.02.2021,2021,brazil,campeonato-gaucho,Esportivo,EC Sao Jose,3.0,3.18,2.32,2.22,1.64,1.88,1.85,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/esportivo-bento-goncalves-ec-sao-jose-pa-AT8oDiTT/,1,1,0
28.02.2021,2021,brazil,campeonato-gaucho,Brasil de Pelotas,Aimore,3.46,2.92,2.23,2.78,1.40,2.32,1.57,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/brasil-de-pelotas-aimore-CxeD8Byo/,2,1,0
04.03.2021,2021,brazil,campeonato-gaucho,Pelotas,Internacional,4.08,3.26,1.91,2.38,1.57,2.09,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/pelotas-internacional-fPKDv6eF/,0,4,1
05.03.2021,2021,brazil,campeonato-gaucho,Juventude,Sao Luiz,1.52,3.82,6.25,2.22,1.64,2.23,1.61,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/esporte-clube-juventude-sao-luiz-02L9unt9/,2,3,1
06.03.2021,2021,brazil,campeonato-gaucho,Esportivo,Brasil de Pelotas,1.99,3.19,3.83,2.29,1.58,2.02,1.74,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/esportivo-bento-goncalves-brasil-de-pelotas-lQxnMcul/,2,1,0
03.03.2021,2021,brazil,campeonato-gaucho,Aimore,Esportivo,2.13,3.04,3.57,2.54,1.50,2.13,1.67,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/aimore-esportivo-bento-goncalves-2H26tSQ2/,1,2,0
09.03.2021,2021,brazil,campeonato-gaucho,SER Caxias,Aimore,1.85,3.09,4.64,2.69,1.45,2.29,1.58,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/ser-caxias-do-sul-aimore-SGyjLHff/,1,5,1
03.03.2021,2021,brazil,campeonato-gaucho,Gremio,Brasil de Pelotas,1.43,3.97,7.75,2.24,1.63,2.46,1.51,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/gremio-brasil-de-pelotas-hnLFJ4Jk/,1,5,1
14.03.2021,2021,brazil,campeonato-gaucho,Internacional,Ypiranga FC,1.41,4.18,7.55,2.03,1.76,2.17,1.63,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/internacional-ypiranga-fc-IeP1xXf8/,1,6,1
09.03.2021,2021,brazil,campeonato-gaucho,Novo Hamburgo,Juventude,4.08,3.26,1.93,2.34,1.58,2.09,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/novo-hamburgo-esporte-clube-juventude-MwyfKyA0/,2,4,1
14.03.2021,2021,brazil,campeonato-gaucho,Aimore,EC Sao Jose,2.2,2.88,3.65,2.86,1.40,2.27,1.56,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/aimore-ec-sao-jose-pa-p69tVlmr/,2,1,0
01.03.2021,2021,brazil,campeonato-gaucho,Internacional,Juventude,3.11,3.27,2.21,2.26,1.61,1.97,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/internacional-esporte-clube-juventude-6yCUGZT4/,1,1,0
03.03.2021,2021,brazil,campeonato-gaucho,Ypiranga FC,Novo Hamburgo,2.01,3.09,3.87,2.48,1.52,2.09,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/ypiranga-fc-novo-hamburgo-MLPJIOYe/,0,6,1
13.03.2021,2021,brazil,campeonato-gaucho,Brasil de Pelotas,SER Caxias,3.2,2.78,2.45,3.00,1.32,2.43,1.52,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/brasil-de-pelotas-ser-caxias-do-sul-Od8pU82l/,0,0,0
14.03.2021,2021,brazil,campeonato-gaucho,Sao Luiz,Novo Hamburgo,2.38,2.91,3.19,2.55,1.48,2.05,1.71,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/sao-luiz-novo-hamburgo-4CRDZUvR/,1,2,0
08.03.2021,2021,brazil,campeonato-gaucho,Pelotas,Ypiranga FC,3.16,2.99,2.34,2.48,1.53,2.01,1.74,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/pelotas-ypiranga-fc-WlrsNwQs/,2,2,0
27.02.2021,2021,brazil,campeonato-gaucho,Novo Hamburgo,Pelotas,2.1,3.07,3.58,2.59,1.45,2.25,1.6,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/novo-hamburgo-pelotas-hhEtEXDN/,0,2,1
13.03.2021,2021,brazil,campeonato-gaucho,Juventude,Pelotas,1.64,3.56,5.26,2.16,1.67,2.02,1.73,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/esporte-clube-juventude-pelotas-QLS9zBPK/,2,5,1
08.03.2021,2021,brazil,campeonato-gaucho,Internacional,Sao Luiz,1.41,4.35,7.14,1.85,1.94,2.07,1.7,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho/internacional-sao-luiz-zsubJeP6/,2,3,1
