date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
26.03.2017,2017,brazil,campeonato-gaucho-2017,EC Sao Jose,Internacional,5.07,3.55,1.73,2.24,1.61,2.12,1.72,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/ec-sao-jose-pa-internacional-2y1fX3Bf/,2,3,1
25.02.2017,2017,brazil,campeonato-gaucho-2017,EC Cruzeiro,Gremio,3.68,3.23,2.14,2.44,1.53,2.09,1.71,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/ec-cruzeiro-gremio-zPFtQRnU/,2,2,0
25.02.2017,2017,brazil,campeonato-gaucho-2017,Ypiranga FC,Veranopolis,2.29,3.24,3.29,2.23,1.71,1.94,1.84,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/ypiranga-fc-veranopolis-t6SlUwao/,1,2,0
26.03.2017,2017,brazil,campeonato-gaucho-2017,EC Cruzeiro,Ypiranga FC,2.07,3.14,3.63,2.24,1.63,1.89,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/ec-cruzeiro-ypiranga-fc-xfg7U1eD/,1,2,0
25.02.2017,2017,brazil,campeonato-gaucho-2017,Juventude,Passo Fundo,1.63,3.86,5.85,2.05,1.82,1.99,1.75,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/esporte-clube-juventude-passo-fundo-f9WhTcEi/,1,1,0
19.03.2017,2017,brazil,campeonato-gaucho-2017,Passo Fundo,EC Cruzeiro,2.22,3.16,3.41,2.10,1.74,1.85,1.99,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/passo-fundo-ec-cruzeiro-EitHJpse/,0,0,0
12.02.2017,2017,brazil,campeonato-gaucho-2017,Juventude,Ypiranga FC,1.6,3.67,5.49,2.06,1.72,2.08,1.73,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/esporte-clube-juventude-ypiranga-fc-htbjFAYB/,1,1,0
04.02.2017,2017,brazil,campeonato-gaucho-2017,Internacional,Novo Hamburgo,1.34,4.59,7.63,1.72,2.06,2.04,1.84,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/internacional-novo-hamburgo-xAyLaVYO/,2,3,1
30.03.2017,2017,brazil,campeonato-gaucho-2017,Ypiranga FC,SER Caxias,2.07,3.39,3.47,2.02,1.77,1.78,2.04,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/ypiranga-fc-ser-caxias-do-sul-ttuXpNuf/,0,0,0
19.02.2017,2017,brazil,campeonato-gaucho-2017,Veranopolis,EC Cruzeiro,2.21,3.15,3.17,2.20,1.63,1.92,1.89,https://www.oddsportal.com/soccer/brazil/campeonato-gaucho-2017/veranopolis-ec-cruzeiro-pzNTST2B/,0,2,1
