date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
29.01.2017,2017,brazil,campeonato-mineiro-2017,Democrata GV,America MG,3.13,3.24,2.17,1.81,1.92,1.67,2.26,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/democrata-gv-america-mg-v9lCkrHn/,2,2,0
29.01.2017,2017,brazil,campeonato-mineiro-2017,URT,Caldense,2.58,3.0,2.71,2.52,1.48,2.09,1.81,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/urt-caldense-QPjOnt15/,1,1,0
19.03.2017,2017,brazil,campeonato-mineiro-2017,Uberlandia,Caldense,3.12,3.0,2.23,2.95,1.39,2.36,1.53,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/uberlandia-caldense-zH3oHrCD/,1,2,0
13.03.2017,2017,brazil,campeonato-mineiro-2017,Democrata GV,Tricordiano,2.52,3.15,2.87,2.28,1.65,1.83,2.0,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/democrata-gv-tricordiano-bVMfRSZK/,0,0,0
05.02.2017,2017,brazil,campeonato-mineiro-2017,America MG,URT,1.68,3.68,4.72,2.12,1.67,2.11,1.8,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-mg-urt-hCEo4sWu/,0,0,0
05.02.2017,2017,brazil,campeonato-mineiro-2017,Cruzeiro,Tricordiano,1.52,4.31,5.31,1.56,2.35,1.67,2.22,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/cruzeiro-tricordiano-Slmuqb0U/,1,3,1
04.03.2017,2017,brazil,campeonato-mineiro-2017,Tricordiano,URT,2.37,3.17,2.91,2.47,1.52,2.3,1.68,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tricordiano-urt-481LCTKR/,0,2,1
19.02.2017,2017,brazil,campeonato-mineiro-2017,America TO,Caldense,2.92,3.1,2.35,2.21,1.62,1.91,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-to-caldense-4WaLGKFo/,0,2,1
12.03.2017,2017,brazil,campeonato-mineiro-2017,URT,America TO,1.55,3.8,5.88,2.15,1.67,2.13,1.71,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/urt-america-to-23ToTl58/,0,2,1
04.03.2017,2017,brazil,campeonato-mineiro-2017,Tombense,Democrata GV,1.56,3.71,5.67,1.83,1.90,1.98,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tombense-democrata-gv-8t8CEkjF/,1,2,0
11.02.2017,2017,brazil,campeonato-mineiro-2017,Tombense,Tricordiano,1.69,3.58,4.6,1.97,1.78,1.91,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tombense-tricordiano-zeA6aJpB/,0,0,0
25.02.2017,2017,brazil,campeonato-mineiro-2017,America MG,Tombense,1.96,3.49,4.07,1.99,1.80,1.81,2.0,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-mg-tombense-KKRHh8Te/,1,2,0
28.01.2017,2017,brazil,campeonato-mineiro-2017,Tricordiano,Uberlandia,2.68,2.96,2.63,2.29,1.58,2.0,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tricordiano-uberlandia-MipXpKVH/,2,1,0
02.04.2017,2017,brazil,campeonato-mineiro-2017,Villa Nova MG,Tombense,2.5,3.14,2.79,2.25,1.62,1.87,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/villa-nova-ac-tombense-MmfLTLeJ/,1,2,0
12.03.2017,2017,brazil,campeonato-mineiro-2017,America MG,Cruzeiro,5.67,3.77,1.59,2.09,1.69,2.0,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-mg-cruzeiro-zcy05oD1/,2,1,0
19.03.2017,2017,brazil,campeonato-mineiro-2017,America TO,America MG,3.58,3.07,2.03,2.41,1.54,2.08,1.82,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-to-america-mg-dQ4sIOd7/,2,2,0
19.03.2017,2017,brazil,campeonato-mineiro-2017,Cruzeiro,Tombense,1.23,5.91,13.45,1.79,2.00,2.56,1.56,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/cruzeiro-tombense-6yCUKQCl/,0,2,1
18.02.2017,2017,brazil,campeonato-mineiro-2017,URT,Cruzeiro,4.49,3.48,1.81,1.98,1.80,1.81,2.01,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/urt-cruzeiro-0bgUEbpb/,0,2,1
27.03.2017,2017,brazil,campeonato-mineiro-2017,Uberlandia,Cruzeiro,12.68,6.54,1.23,1.90,1.91,2.84,1.48,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/uberlandia-cruzeiro-pnoxv6JQ/,0,4,1
09.04.2017,2017,brazil,campeonato-mineiro-2017,America TO,Tricordiano,2.69,3.12,2.59,2.16,1.67,1.85,1.91,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-to-tricordiano-fyPZnqds/,1,5,1
05.03.2017,2017,brazil,campeonato-mineiro-2017,America TO,Cruzeiro,6.46,4.2,1.47,1.63,2.24,1.68,2.16,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-to-cruzeiro-MqCGD95L/,2,1,0
05.02.2017,2017,brazil,campeonato-mineiro-2017,Uberlandia,Democrata GV,1.54,3.78,5.73,2.28,1.58,2.33,1.66,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/uberlandia-democrata-gv-0xIg2L0h/,1,2,0
19.02.2017,2017,brazil,campeonato-mineiro-2017,Uberlandia,Tombense,2.37,3.12,2.89,2.44,1.51,1.99,1.89,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/uberlandia-tombense-nFetCdUG/,2,1,0
04.02.2017,2017,brazil,campeonato-mineiro-2017,Caldense,Villa Nova MG,1.89,3.33,3.83,2.12,1.66,1.83,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/caldense-villa-nova-ac-W2Dk31on/,1,1,0
25.02.2017,2017,brazil,campeonato-mineiro-2017,Villa Nova MG,Tricordiano,2.1,3.08,3.75,2.34,1.60,2.04,1.85,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/villa-nova-ac-tricordiano-bBQLiSr2/,0,2,1
02.03.2017,2017,brazil,campeonato-mineiro-2017,Cruzeiro,Caldense,1.3,5.17,10.36,1.64,2.26,1.96,1.89,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/cruzeiro-caldense-SC9AfUbq/,1,3,1
25.03.2017,2017,brazil,campeonato-mineiro-2017,Tombense,America TO,1.5,3.82,6.65,2.20,1.65,2.29,1.63,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tombense-america-to-h824X3df/,1,2,0
25.03.2017,2017,brazil,campeonato-mineiro-2017,America MG,Tricordiano,1.46,4.15,7.37,1.94,1.84,1.93,1.91,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-mg-tricordiano-jPoYvn4K/,1,3,0
09.04.2017,2017,brazil,campeonato-mineiro-2017,America MG,Villa Nova MG,1.45,4.06,7.15,1.98,1.79,2.14,1.71,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-mg-villa-nova-ac-d0Ljq1e6/,0,2,1
12.03.2017,2017,brazil,campeonato-mineiro-2017,Villa Nova MG,Uberlandia,2.06,3.06,3.82,2.50,1.51,2.14,1.76,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/villa-nova-ac-uberlandia-xMLbQnkR/,1,2,0
01.04.2017,2017,brazil,campeonato-mineiro-2017,Tricordiano,Caldense,3.04,3.16,2.34,2.18,1.65,1.84,1.96,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tricordiano-caldense-rceHU1tD/,2,1,0
20.02.2017,2017,brazil,campeonato-mineiro-2017,Democrata GV,Villa Nova MG,3.03,2.98,2.51,2.18,1.70,1.82,1.95,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/democrata-gv-villa-nova-ac-IZ3PFvVi/,1,1,0
16.04.2017,2017,brazil,campeonato-mineiro-2017,America MG,Cruzeiro,4.55,3.54,1.81,2.32,1.62,2.1,1.75,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-mg-cruzeiro-GvHOW2Kj/,0,2,1
29.01.2017,2017,brazil,campeonato-mineiro-2017,Villa Nova MG,Cruzeiro,8.7,5.1,1.29,1.59,2.26,1.92,1.83,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/villa-nova-ac-cruzeiro-r1oTo0GB/,2,3,1
05.03.2017,2017,brazil,campeonato-mineiro-2017,America MG,Uberlandia,1.76,3.52,4.71,2.20,1.64,2.06,1.73,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/america-mg-uberlandia-6Hmm8mTr/,1,1,0
19.03.2017,2017,brazil,campeonato-mineiro-2017,URT,Villa Nova MG,1.84,3.43,4.12,2.31,1.59,2.08,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/urt-villa-nova-ac-l01ZJpSf/,1,3,1
02.04.2017,2017,brazil,campeonato-mineiro-2017,URT,Uberlandia,2.1,3.19,3.44,2.58,1.49,2.2,1.65,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/urt-uberlandia-lfn7iPmQ/,1,3,1
12.02.2017,2017,brazil,campeonato-mineiro-2017,Villa Nova MG,America TO,1.95,3.2,3.6,2.23,1.60,1.94,1.84,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/villa-nova-ac-america-to-Mi620aV4/,1,2,0
09.04.2017,2017,brazil,campeonato-mineiro-2017,Tombense,URT,2.2,3.22,3.18,2.17,1.67,1.83,1.91,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tombense-urt-ziKfrLAC/,2,3,1
09.04.2017,2017,brazil,campeonato-mineiro-2017,Cruzeiro,Democrata GV,1.28,5.24,10.76,1.67,2.12,2.25,1.7,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/cruzeiro-democrata-gv-6BSwn3Bm/,1,2,0
03.04.2017,2017,brazil,campeonato-mineiro-2017,Democrata GV,America TO,1.63,3.63,5.26,2.46,1.52,2.3,1.68,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/democrata-gv-america-to-0Y5CVsR6/,1,1,0
11.03.2017,2017,brazil,campeonato-mineiro-2017,Tombense,Caldense,2.21,3.13,3.24,2.21,1.64,1.93,1.88,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/tombense-caldense-l0u445S7/,2,3,1
25.02.2017,2017,brazil,campeonato-mineiro-2017,Uberlandia,America TO,1.73,3.72,4.58,2.12,1.74,2.0,1.77,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/uberlandia-america-to-EJ88FVz9/,1,3,0
12.02.2017,2017,brazil,campeonato-mineiro-2017,URT,Democrata GV,1.58,3.7,5.35,2.15,1.65,2.21,1.73,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/urt-democrata-gv-UH9Abw0H/,1,5,1
25.03.2017,2017,brazil,campeonato-mineiro-2017,Caldense,Democrata GV,1.51,4.01,6.08,1.87,1.90,1.98,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/caldense-democrata-gv-neX3ZPRs/,2,4,1
23.04.2017,2017,brazil,campeonato-mineiro-2017,Cruzeiro,America MG,1.42,4.24,8.89,2.27,1.56,2.65,1.5,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro-2017/cruzeiro-america-mg-8Y3Af6Cc/,1,2,0
