date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
04.03.2021,2021,brazil,campeonato-mineiro,Cruzeiro,Caldense,1.4,4.11,8.12,2.25,1.63,2.54,1.48,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/cruzeiro-caldense-tOgQoZ8s/,2,1,0
14.03.2021,2021,brazil,campeonato-mineiro,America MG,Caldense,1.51,3.72,6.6,2.33,1.58,2.32,1.57,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/america-mg-caldense-rVONfUiC/,2,1,0
03.03.2021,2021,brazil,campeonato-mineiro,Coimbra,Patrocinense,1.98,3.04,4.1,2.70,1.45,2.26,1.59,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/coimbra-esporte-clube-patrocinense-zogUpgOm/,2,1,0
07.03.2021,2021,brazil,campeonato-mineiro,Athletic Club,Boa,2.84,2.77,2.73,2.66,1.44,2.11,1.67,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/athletic-club-boa-A3osri86/,1,1,0
06.03.2021,2021,brazil,campeonato-mineiro,Caldense,Patrocinense,1.73,3.35,4.85,2.30,1.59,2.12,1.67,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/caldense-patrocinense-4QposBNC/,0,0,0
12.03.2021,2021,brazil,campeonato-mineiro,Boa,Coimbra,2.13,3.01,3.7,2.65,1.45,2.18,1.62,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/boa-coimbra-esporte-clube-EkX6bChm/,1,3,1
27.02.2021,2021,brazil,campeonato-mineiro,America MG,Boa,1.54,3.87,5.67,2.04,1.75,2.07,1.7,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/america-mg-boa-xjR3UXw7/,1,1,0
07.03.2021,2021,brazil,campeonato-mineiro,URT,Cruzeiro,9.24,4.33,1.34,2.19,1.64,2.67,1.44,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/urt-cruzeiro-4GsX4EFJ/,2,2,0
03.03.2021,2021,brazil,campeonato-mineiro,URT,Uberlandia,2.92,2.89,2.56,2.55,1.50,2.09,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/urt-uberlandia-EyhYqDwf/,1,1,0
14.03.2021,2021,brazil,campeonato-mineiro,Cruzeiro,Athletic Club,1.39,4.23,8.1,2.24,1.61,2.57,1.46,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/cruzeiro-athletic-club-AHQFdjNa/,1,1,0
28.02.2021,2021,brazil,campeonato-mineiro,Pouso Alegre,Coimbra,2.01,3.14,3.77,2.48,1.52,2.13,1.67,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/pouso-alegre-coimbra-esporte-clube-tOXfWg9f/,0,0,0
28.02.2021,2021,brazil,campeonato-mineiro,Patrocinense,Athletic Club,1.62,3.71,4.93,2.28,1.59,2.22,1.62,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/patrocinense-athletic-club-GtQ7TigD/,2,2,0
13.03.2021,2021,brazil,campeonato-mineiro,Tombense,URT,1.55,3.75,5.89,2.19,1.64,2.19,1.62,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/tombense-urt-zaY2ahws/,1,1,0
03.03.2021,2021,brazil,campeonato-mineiro,Athletic Club,America MG,6.48,3.84,1.5,2.23,1.64,2.26,1.59,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/athletic-club-america-mg-rmEkhyWD/,2,1,0
15.03.2021,2021,brazil,campeonato-mineiro,Uberlandia,Pouso Alegre,2.13,2.99,3.64,2.90,1.38,2.3,1.55,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/uberlandia-pouso-alegre-dEMBcW7g/,2,4,1
07.03.2021,2021,brazil,campeonato-mineiro,Coimbra,Tombense,4.16,3.22,1.89,2.40,1.55,2.07,1.71,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/coimbra-esporte-clube-tombense-WCnwqXh0/,0,0,0
03.03.2021,2021,brazil,campeonato-mineiro,Boa,Pouso Alegre,2.19,2.92,3.57,2.88,1.40,2.27,1.59,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/boa-pouso-alegre-422bjF0Q/,0,0,0
27.02.2021,2021,brazil,campeonato-mineiro,Uberlandia,Cruzeiro,5.62,4.08,1.51,1.75,2.05,1.81,1.92,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/uberlandia-cruzeiro-8AZnYFvr/,0,2,1
06.03.2021,2021,brazil,campeonato-mineiro,Pouso Alegre,America MG,7.89,3.45,1.5,2.94,1.38,3.04,1.35,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/pouso-alegre-america-mg-2B3ltVxJ/,2,3,1
27.02.2021,2021,brazil,campeonato-mineiro,Caldense,Tombense,3.78,3.17,2.0,2.33,1.58,1.99,1.76,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/caldense-tombense-n1YjXZgl/,0,2,1
