date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
10.10.2019,2019,brazil,serie-a-2019,Bahia,Sao Paulo,2.48,2.94,3.23,2.78,1.44,2.22,1.69,https://www.oddsportal.com/soccer/brazil/serie-a-2019/bahia-sao-paulo-hhryFidd/,0,0,0
31.08.2019,2019,brazil,serie-a-2019,Bahia,CSA,1.34,4.62,10.77,2.24,1.70,2.88,1.45,https://www.oddsportal.com/soccer/brazil/serie-a-2019/bahia-csa-MJrb2af0/,1,1,0
28.11.2019,2019,brazil,serie-a-2019,Fluminense,Palmeiras,2.79,3.12,2.69,2.38,1.61,1.96,1.82,https://www.oddsportal.com/soccer/brazil/serie-a-2019/fluminense-palmeiras-8IqFZbdT/,1,1,0
07.09.2019,2019,brazil,serie-a-2019,Corinthians,Ceara,1.72,3.34,5.85,2.77,1.48,2.58,1.54,https://www.oddsportal.com/soccer/brazil/serie-a-2019/corinthians-ceara-OrTdN0WP/,0,4,1
19.05.2019,2019,brazil,serie-a-2019,Ceara,Gremio,2.98,3.02,2.62,2.61,1.48,2.18,1.74,https://www.oddsportal.com/soccer/brazil/serie-a-2019/ceara-gremio-nRgJquQD/,1,3,1
12.05.2019,2019,brazil,serie-a-2019,Santos,Vasco,1.41,4.72,7.63,1.74,2.16,1.94,1.93,https://www.oddsportal.com/soccer/brazil/serie-a-2019/santos-vasco-rXBiVuBK/,1,3,0
05.12.2019,2019,brazil,serie-a-2019,Bahia,Vasco,1.86,3.33,4.69,2.39,1.61,2.1,1.72,https://www.oddsportal.com/soccer/brazil/serie-a-2019/bahia-vasco-vsz3ggm2/,0,2,1
20.10.2019,2019,brazil,serie-a-2019,Internacional,Vasco,1.77,3.44,5.05,2.49,1.57,2.21,1.69,https://www.oddsportal.com/soccer/brazil/serie-a-2019/internacional-vasco-feBtkPwQ/,2,1,0
25.08.2019,2019,brazil,serie-a-2019,Goias,Internacional,2.52,3.17,2.95,2.42,1.61,2.02,1.85,https://www.oddsportal.com/soccer/brazil/serie-a-2019/goias-internacional-6sZFkMAf/,1,3,1
05.12.2019,2019,brazil,serie-a-2019,Fluminense,Fortaleza,1.85,3.6,4.27,1.97,1.90,1.88,1.91,https://www.oddsportal.com/soccer/brazil/serie-a-2019/fluminense-fortaleza-YT42eFIk/,0,0,0
28.11.2019,2019,brazil,serie-a-2019,Flamengo RJ,Ceara,1.4,4.63,7.3,1.78,2.09,1.96,1.82,https://www.oddsportal.com/soccer/brazil/serie-a-2019/flamengo-rj-ceara-fFuBzusN/,1,5,1
28.11.2019,2019,brazil,serie-a-2019,Sao Paulo,Vasco,1.64,3.67,5.75,2.42,1.60,2.27,1.61,https://www.oddsportal.com/soccer/brazil/serie-a-2019/sao-paulo-vasco-0ht7yLRG/,1,1,0
26.09.2019,2019,brazil,serie-a-2019,Gremio,Avai,1.34,4.69,10.37,2.16,1.74,2.78,1.47,https://www.oddsportal.com/soccer/brazil/serie-a-2019/gremio-avai-xpEslOit/,1,7,1
12.05.2019,2019,brazil,serie-a-2019,Goias,Ceara,2.13,3.18,3.81,2.58,1.53,2.21,1.72,https://www.oddsportal.com/soccer/brazil/serie-a-2019/goias-ceara-zVjWNc3f/,1,3,1
