date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
16.08.2020,2020,brazil,serie-a,Palmeiras,Goias,1.19,6.73,15.53,1.63,2.29,2.37,1.56,https://www.oddsportal.com/soccer/brazil/serie-a/palmeiras-goias-ARLnSIA6/,0,2,1
17.10.2020,2020,brazil,serie-a,Coritiba,Santos,2.91,3.21,2.52,2.32,1.61,2.0,1.78,https://www.oddsportal.com/soccer/brazil/serie-a/coritiba-santos-OpAIzaGh/,2,3,1
23.08.2020,2020,brazil,serie-a,Vasco,Gremio,3.87,3.19,2.09,2.40,1.59,2.07,1.74,https://www.oddsportal.com/soccer/brazil/serie-a/vasco-gremio-KvA7hFOB/,0,0,0
09.01.2021,2021,brazil,serie-a,Sport Recife,Palmeiras,3.96,3.4,2.0,2.31,1.66,2.03,1.76,https://www.oddsportal.com/soccer/brazil/serie-a/sport-recife-palmeiras-0nLBtOGu/,2,1,0
14.02.2021,2021,brazil,serie-a,Gremio,Sao Paulo,2.22,3.33,3.39,2.17,1.74,1.88,1.89,https://www.oddsportal.com/soccer/brazil/serie-a/gremio-sao-paulo-GYJGj2ut/,2,3,1
10.10.2020,2020,brazil,serie-a,Coritiba,Fortaleza,2.75,2.98,2.87,2.74,1.48,2.2,1.66,https://www.oddsportal.com/soccer/brazil/serie-a/coritiba-fortaleza-IDj1Brms/,0,0,0
07.02.2021,2021,brazil,serie-a,Atletico GO,Santos,2.49,3.26,2.95,2.26,1.69,1.9,1.87,https://www.oddsportal.com/soccer/brazil/serie-a/atletico-go-santos-SlawwqBt/,0,2,1
13.12.2020,2020,brazil,serie-a,Flamengo RJ,Santos,1.29,5.93,10.06,1.58,2.49,1.95,1.82,https://www.oddsportal.com/soccer/brazil/serie-a/flamengo-rj-santos-4t7CNlg3/,1,5,1
23.08.2020,2020,brazil,serie-a,Goias,Atletico GO,2.93,3.02,2.66,2.64,1.51,2.12,1.7,https://www.oddsportal.com/soccer/brazil/serie-a/goias-atletico-go-bocZ6Ew5/,1,2,0
17.02.2021,2021,brazil,serie-a,Coritiba,Palmeiras,5.15,3.64,1.73,2.10,1.79,1.99,1.79,https://www.oddsportal.com/soccer/brazil/serie-a/coritiba-palmeiras-hd8BsP2P/,1,1,0
19.09.2020,2020,brazil,serie-a,Bragantino,Ceara,2.12,3.42,3.52,2.04,1.81,1.83,1.95,https://www.oddsportal.com/soccer/brazil/serie-a/bragantino-ceara-OjVzY2aI/,1,6,1
14.02.2021,2021,brazil,serie-a,Vasco,Internacional,3.34,3.03,2.39,2.75,1.48,2.21,1.64,https://www.oddsportal.com/soccer/brazil/serie-a/vasco-internacional-jiCTm0Pb/,2,2,0
22.11.2020,2020,brazil,serie-a,Sao Paulo,Vasco,1.38,4.88,8.95,1.97,1.89,2.31,1.59,https://www.oddsportal.com/soccer/brazil/serie-a/sao-paulo-vasco-WfN1vvZI/,0,2,1
19.08.2020,2020,brazil,serie-a,Flamengo RJ,Gremio,2.03,3.16,4.18,2.32,1.61,2.04,1.76,https://www.oddsportal.com/soccer/brazil/serie-a/flamengo-rj-gremio-josMtIPa/,0,2,1
06.01.2021,2021,brazil,serie-a,Gremio,Bahia,1.46,4.35,7.38,2.05,1.83,2.19,1.65,https://www.oddsportal.com/soccer/brazil/serie-a/gremio-bahia-QB1mtf5a/,1,3,1
17.02.2021,2021,brazil,serie-a,Santos,Corinthians,2.33,3.27,3.2,2.24,1.69,1.9,1.86,https://www.oddsportal.com/soccer/brazil/serie-a/santos-corinthians-hMi2Gn4Q/,1,1,0
27.12.2020,2020,brazil,serie-a,Fluminense,Sao Paulo,4.42,3.39,1.92,2.36,1.63,2.06,1.73,https://www.oddsportal.com/soccer/brazil/serie-a/fluminense-sao-paulo-CtNPmo78/,2,3,1
15.10.2020,2020,brazil,serie-a,Sport Recife,Internacional,4.4,3.18,1.97,2.76,1.48,2.31,1.6,https://www.oddsportal.com/soccer/brazil/serie-a/sport-recife-internacional-dIUwP1Ht/,2,8,1
06.09.2020,2020,brazil,serie-a,Ceara,Santos,2.09,3.24,3.76,2.19,1.68,1.94,1.82,https://www.oddsportal.com/soccer/brazil/serie-a/ceara-santos-EapwX1cR/,2,1,0
22.11.2020,2020,brazil,serie-a,Botafogo RJ,Fortaleza,2.24,3.09,3.61,2.35,1.63,1.98,1.79,https://www.oddsportal.com/soccer/brazil/serie-a/botafogo-rj-fortaleza-WfqXgJY5/,2,3,1
06.12.2020,2020,brazil,serie-a,Sao Paulo,Sport Recife,1.36,4.9,9.28,1.89,1.98,2.27,1.61,https://www.oddsportal.com/soccer/brazil/serie-a/sao-paulo-sport-recife-Iqos89gG/,1,1,0
19.11.2020,2020,brazil,serie-a,Vasco,Fortaleza,2.36,3.03,3.39,2.58,1.52,2.15,1.67,https://www.oddsportal.com/soccer/brazil/serie-a/vasco-fortaleza-6m2H70n6/,0,0,0
20.09.2020,2020,brazil,serie-a,Botafogo RJ,Santos,2.66,3.44,2.61,1.89,1.94,1.71,2.11,https://www.oddsportal.com/soccer/brazil/serie-a/botafogo-rj-santos-xzXSZOU5/,0,0,0
27.12.2020,2020,brazil,serie-a,Gremio,Atletico GO,2.03,3.23,4.12,2.47,1.58,2.14,1.68,https://www.oddsportal.com/soccer/brazil/serie-a/gremio-atletico-go-je4Gw1q1/,1,3,1
02.11.2020,2020,brazil,serie-a,Gremio,Bragantino,2.02,3.37,3.85,2.18,1.72,1.95,1.83,https://www.oddsportal.com/soccer/brazil/serie-a/gremio-bragantino-z7dqvGxi/,1,3,1
13.10.2020,2020,brazil,serie-a,Flamengo RJ,Goias,1.25,6.38,10.84,1.45,2.82,1.89,1.88,https://www.oddsportal.com/soccer/brazil/serie-a/flamengo-rj-goias-fBsOz5Fa/,1,3,1
11.09.2020,2020,brazil,serie-a,Vasco,Atletico GO,2.17,3.13,3.71,2.69,1.47,2.25,1.63,https://www.oddsportal.com/soccer/brazil/serie-a/vasco-atletico-go-S6QDQaze/,2,3,1
19.12.2020,2020,brazil,serie-a,Sport Recife,Gremio,4.45,3.43,1.89,2.46,1.59,2.2,1.65,https://www.oddsportal.com/soccer/brazil/serie-a/sport-recife-gremio-CQY1Y57L/,0,2,1
23.08.2020,2020,brazil,serie-a,Bragantino,Coritiba,1.6,3.8,6.31,2.24,1.67,2.23,1.64,https://www.oddsportal.com/soccer/brazil/serie-a/bragantino-coritiba-S4DFjggO/,2,3,1
20.02.2021,2021,brazil,serie-a,Sao Paulo,Palmeiras,2.2,3.19,3.57,2.45,1.59,2.08,1.72,https://www.oddsportal.com/soccer/brazil/serie-a/sao-paulo-palmeiras-6PHyVoJJ/,0,2,1
14.11.2020,2020,brazil,serie-a,Gremio,Ceara,1.75,3.58,5.06,2.28,1.66,2.14,1.69,https://www.oddsportal.com/soccer/brazil/serie-a/gremio-ceara-dxVlstk0/,1,6,1
