date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
09.10.2016,2016,brazil,serie-a-2016,Cruzeiro,Ponte Preta,1.68,3.84,5.26,1.89,1.96,1.76,2.06,https://www.oddsportal.com/soccer/brazil/serie-a-2016/cruzeiro-ponte-preta-bB67y703/,1,2,0
14.10.2016,2016,brazil,serie-a-2016,Sao Paulo,Santos,2.57,3.02,3.1,2.26,1.68,1.75,2.08,https://www.oddsportal.com/soccer/brazil/serie-a-2016/sao-paulo-santos-Yiw3Qth2/,2,1,0
09.10.2016,2016,brazil,serie-a-2016,America MG,Palmeiras,7.51,4.47,1.46,1.92,1.94,1.99,1.82,https://www.oddsportal.com/soccer/brazil/serie-a-2016/america-mg-palmeiras-SjbOXOaS/,2,2,0
25.09.2016,2016,brazil,serie-a-2016,Corinthians,Fluminense,1.78,3.58,5.3,2.40,1.64,2.1,1.71,https://www.oddsportal.com/soccer/brazil/serie-a-2016/corinthians-fluminense-AF93lmuo/,2,1,0
13.10.2016,2016,brazil,serie-a-2016,Botafogo RJ,Internacional,1.88,3.26,4.39,2.37,1.62,1.9,1.86,https://www.oddsportal.com/soccer/brazil/serie-a-2016/botafogo-rj-internacional-xQqfS2Nk/,1,1,0
11.12.2016,2016,brazil,serie-a-2016,Vitoria,Palmeiras,1.93,3.55,4.23,1.91,1.96,1.79,2.16,https://www.oddsportal.com/soccer/brazil/serie-a-2016/vitoria-palmeiras-jPZuMtJ6/,2,3,1
11.12.2016,2016,brazil,serie-a-2016,Cruzeiro,Corinthians,2.47,3.41,2.96,1.95,1.92,1.76,2.2,https://www.oddsportal.com/soccer/brazil/serie-a-2016/cruzeiro-corinthians-voGzrOuQ/,1,5,1
05.11.2016,2016,brazil,serie-a-2016,Sao Paulo,Corinthians,2.17,3.19,3.84,2.35,1.65,1.94,1.92,https://www.oddsportal.com/soccer/brazil/serie-a-2016/sao-paulo-corinthians-rmt7rzVp/,1,4,0
01.10.2016,2016,brazil,serie-a-2016,Sao Paulo,Flamengo RJ,2.5,3.26,3.05,2.17,1.74,1.8,2.01,https://www.oddsportal.com/soccer/brazil/serie-a-2016/sao-paulo-flamengo-rj-Ayov1QOj/,0,0,0
23.10.2016,2016,brazil,serie-a-2016,Gremio,Internacional,2.19,3.13,3.68,2.70,1.50,2.15,1.7,https://www.oddsportal.com/soccer/brazil/serie-a-2016/gremio-internacional-GCpYus9n/,0,0,0
23.10.2016,2016,brazil,serie-a-2016,Coritiba,Fluminense,2.29,3.24,3.44,2.32,1.65,1.91,1.89,https://www.oddsportal.com/soccer/brazil/serie-a-2016/coritiba-fluminense-Snlxu1Oh/,0,2,1
17.11.2016,2016,brazil,serie-a-2016,Sao Paulo,Gremio,1.96,3.3,4.43,2.52,1.57,2.15,1.76,https://www.oddsportal.com/soccer/brazil/serie-a-2016/sao-paulo-gremio-jVfkrRz2/,0,2,1
06.11.2016,2016,brazil,serie-a-2016,Ponte Preta,Santos,2.41,3.26,3.13,2.12,1.76,1.83,2.04,https://www.oddsportal.com/soccer/brazil/serie-a-2016/ponte-preta-santos-OGv92eMG/,2,3,1
20.11.2016,2016,brazil,serie-a-2016,Vitoria,Figueirense,1.59,4.16,6.12,1.90,1.98,1.96,1.92,https://www.oddsportal.com/soccer/brazil/serie-a-2016/vitoria-figueirense-UyrHdQke/,1,4,0
16.10.2016,2016,brazil,serie-a-2016,Ponte Preta,Santa Cruz,1.6,4.06,5.86,1.93,1.93,1.85,1.94,https://www.oddsportal.com/soccer/brazil/serie-a-2016/ponte-preta-santa-cruz-EqO2Q19a/,1,3,0
12.10.2016,2016,brazil,serie-a-2016,Coritiba,Figueirense,1.51,3.92,7.23,2.17,1.74,2.09,1.74,https://www.oddsportal.com/soccer/brazil/serie-a-2016/coritiba-figueirense-KnrNVyUs/,0,0,0
01.10.2016,2016,brazil,serie-a-2016,Botafogo RJ,Corinthians,2.39,3.18,3.31,2.37,1.63,1.83,1.89,https://www.oddsportal.com/soccer/brazil/serie-a-2016/botafogo-rj-corinthians-SGsF6n1T/,1,2,0
25.09.2016,2016,brazil,serie-a-2016,America MG,Botafogo RJ,2.69,3.2,2.94,2.20,1.75,1.78,2.04,https://www.oddsportal.com/soccer/brazil/serie-a-2016/america-mg-botafogo-rj-f3q788WG/,1,1,0
06.10.2016,2016,brazil,serie-a-2016,Internacional,Coritiba,1.82,3.4,4.96,2.54,1.56,2.2,1.66,https://www.oddsportal.com/soccer/brazil/serie-a-2016/internacional-coritiba-hY5BzRF9/,1,1,0
29.10.2016,2016,brazil,serie-a-2016,Santos,Palmeiras,2.36,3.32,3.18,2.01,1.85,1.7,2.1,https://www.oddsportal.com/soccer/brazil/serie-a-2016/santos-palmeiras-UFA7ftOu/,1,1,0
27.11.2016,2016,brazil,serie-a-2016,Santa Cruz,Gremio,2.39,3.51,3.04,1.97,1.90,1.75,2.14,https://www.oddsportal.com/soccer/brazil/serie-a-2016/santa-cruz-gremio-vkWyNM30/,1,6,1
11.12.2016,2016,brazil,serie-a-2016,Ponte Preta,Coritiba,1.67,3.85,5.34,1.94,1.89,1.94,1.94,https://www.oddsportal.com/soccer/brazil/serie-a-2016/ponte-preta-coritiba-WreFztYa/,1,2,0
