date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
08.11.2016,2016,brazil,serie-b-2016,Criciuma,Ceara,2.28,3.39,3.14,1.88,1.96,1.69,2.21,https://www.oddsportal.com/soccer/brazil/serie-b-2016/criciuma-ceara-tlTGQt0T/,2,5,1
15.10.2016,2016,brazil,serie-b-2016,Nautico,Ceara,1.96,3.39,3.81,2.01,1.80,1.77,2.03,https://www.oddsportal.com/soccer/brazil/serie-b-2016/nautico-ceara-IZLeywDe/,1,1,0
22.10.2016,2016,brazil,serie-b-2016,Criciuma,Atletico GO,2.2,3.25,3.3,2.07,1.75,1.79,2.0,https://www.oddsportal.com/soccer/brazil/serie-b-2016/criciuma-atletico-go-OEJF1ZQ0/,2,3,1
07.10.2016,2016,brazil,serie-b-2016,Goias,Bragantino,1.58,3.71,5.58,2.05,1.77,1.95,1.83,https://www.oddsportal.com/soccer/brazil/serie-b-2016/goias-bragantino-WIkEcTTc/,1,3,1
22.10.2016,2016,brazil,serie-b-2016,CRB,Joinville,1.76,3.54,4.64,1.98,1.83,1.81,1.98,https://www.oddsportal.com/soccer/brazil/serie-b-2016/crb-joinville-rsqsmzC7/,1,3,1
08.11.2016,2016,brazil,serie-b-2016,Nautico,Goias,1.52,4.29,5.91,1.73,2.15,1.8,2.04,https://www.oddsportal.com/soccer/brazil/serie-b-2016/nautico-goias-SSDxQ99I/,1,1,0
01.11.2016,2016,brazil,serie-b-2016,Luverdense,Criciuma,1.85,3.47,4.1,1.98,1.82,1.8,1.99,https://www.oddsportal.com/soccer/brazil/serie-b-2016/luverdense-criciuma-Iy5OUXfm/,1,3,1
05.11.2016,2016,brazil,serie-b-2016,Brasil de Pelotas,Vasco,3.27,3.07,2.3,2.24,1.65,1.82,1.97,https://www.oddsportal.com/soccer/brazil/serie-b-2016/brasil-de-pelotas-vasco-xvLPSBPa/,1,3,1
28.10.2016,2016,brazil,serie-b-2016,Joinville,Brasil de Pelotas,2.01,3.12,4.06,2.55,1.52,2.16,1.68,https://www.oddsportal.com/soccer/brazil/serie-b-2016/joinville-brasil-de-pelotas-xIqkGYuf/,0,2,1
04.10.2016,2016,brazil,serie-b-2016,CRB,Atletico GO,1.9,3.43,4.03,1.94,1.85,1.71,2.1,https://www.oddsportal.com/soccer/brazil/serie-b-2016/crb-atletico-go-AXfLsKIU/,2,3,1
05.11.2016,2016,brazil,serie-b-2016,Sampaio Correa,Joinville,2.15,3.18,3.63,2.37,1.61,2.03,1.83,https://www.oddsportal.com/soccer/brazil/serie-b-2016/sampaio-correa-joinville-82FlyzIJ/,2,3,1
28.10.2016,2016,brazil,serie-b-2016,Parana,Bragantino,1.89,3.26,4.19,2.19,1.68,1.9,1.88,https://www.oddsportal.com/soccer/brazil/serie-b-2016/parana-bragantino-KtZgFhe0/,1,5,1
15.10.2016,2016,brazil,serie-b-2016,Vasco,CRB,1.44,4.38,6.8,1.69,2.16,1.79,2.0,https://www.oddsportal.com/soccer/brazil/serie-b-2016/vasco-crb-pn1fdvkL/,2,3,1
22.10.2016,2016,brazil,serie-b-2016,Oeste,Bahia,3.45,3.21,2.17,2.29,1.63,1.95,1.83,https://www.oddsportal.com/soccer/brazil/serie-b-2016/oeste-bahia-bkRTAw4E/,0,2,1
12.11.2016,2016,brazil,serie-b-2016,Brasil de Pelotas,Oeste,2.38,3.12,3.2,2.26,1.66,1.91,1.93,https://www.oddsportal.com/soccer/brazil/serie-b-2016/brasil-de-pelotas-oeste-zBljutFM/,0,2,1
11.10.2016,2016,brazil,serie-b-2016,Sampaio Correa,Oeste,2.09,3.21,3.51,2.07,1.77,1.82,1.97,https://www.oddsportal.com/soccer/brazil/serie-b-2016/sampaio-correa-oeste-AT8sat52/,0,2,1
14.10.2016,2016,brazil,serie-b-2016,Atletico GO,Paysandu PA,1.57,3.69,5.73,2.08,1.74,2.03,1.77,https://www.oddsportal.com/soccer/brazil/serie-b-2016/atletico-go-paysandu-pa-EL5beb4R/,1,3,1
21.10.2016,2016,brazil,serie-b-2016,Ceara,Bragantino,1.64,3.65,5.43,2.16,1.70,2.0,1.72,https://www.oddsportal.com/soccer/brazil/serie-b-2016/ceara-bragantino-4jpwlGd1/,1,2,0
28.10.2016,2016,brazil,serie-b-2016,Criciuma,Londrina,2.18,3.11,3.5,2.37,1.59,1.97,1.82,https://www.oddsportal.com/soccer/brazil/serie-b-2016/criciuma-londrina-bXXcECA6/,0,2,1
08.11.2016,2016,brazil,serie-b-2016,Oeste,Avai,2.28,3.12,3.41,2.54,1.55,1.99,1.8,https://www.oddsportal.com/soccer/brazil/serie-b-2016/oeste-avai-WbTiWpWi/,0,0,0
