date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
04.08.2019,2019,brazil,serie-c-2019,Botafogo PB,Confianca,1.75,3.63,4.52,1.96,1.83,1.87,1.9,https://www.oddsportal.com/soccer/brazil/serie-c-2019/botafogo-pb-confianca-WfkFPIeH/,1,2,0
17.08.2019,2019,brazil,serie-c-2019,ABC,Sampaio Correa,1.92,3.28,3.83,2.13,1.67,1.96,1.84,https://www.oddsportal.com/soccer/brazil/serie-c-2019/abc-sampaio-correa-UkLqube4/,0,2,1
18.08.2019,2019,brazil,serie-c-2019,Ypiranga FC,Boa,1.44,3.96,7.76,2.32,1.59,2.6,1.5,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ypiranga-fc-boa-WWjkSQZ5/,2,1,0
08.06.2019,2019,brazil,serie-c-2019,Acreano,Paysandu PA,3.06,3.08,2.33,2.26,1.61,1.89,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2019/acreano-paysandu-pa-MajkDr7m/,0,2,1
03.08.2019,2019,brazil,serie-c-2019,Acreano,Juventude,3.63,3.0,2.18,2.50,1.51,2.1,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2019/acreano-esporte-clube-juventude-rkBVYyiL/,2,2,0
25.08.2019,2019,brazil,serie-c-2019,Acreano,Luverdense,3.05,3.16,2.33,2.12,1.69,1.88,1.92,https://www.oddsportal.com/soccer/brazil/serie-c-2019/acreano-luverdense-vcfcQ44I/,1,5,1
24.08.2019,2019,brazil,serie-c-2019,Globo,ABC,1.71,3.65,4.7,1.96,1.82,1.96,1.85,https://www.oddsportal.com/soccer/brazil/serie-c-2019/globo-fc-abc-CCVUJmPe/,2,2,0
23.06.2019,2019,brazil,serie-c-2019,Volta Redonda,EC Sao Jose,2.38,3.05,3.1,2.45,1.57,1.85,1.95,https://www.oddsportal.com/soccer/brazil/serie-c-2019/volta-redonda-ec-sao-jose-pa-GpYk9iCT/,0,4,1
01.06.2019,2019,brazil,serie-c-2019,Imperatriz,Santa Cruz,2.02,3.37,3.48,1.95,1.84,1.75,2.08,https://www.oddsportal.com/soccer/brazil/serie-c-2019/imperatriz-santa-cruz-0KWBlpCd/,2,1,0
10.06.2019,2019,brazil,serie-c-2019,Ferroviario,Treze PB,1.55,3.79,5.86,2.04,1.74,2.11,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ferroviario-treze-pb-ENdo3qRk/,1,5,1
02.06.2019,2019,brazil,serie-c-2019,Confianca,Botafogo PB,2.83,2.96,2.57,2.52,1.48,2.07,1.76,https://www.oddsportal.com/soccer/brazil/serie-c-2019/confianca-botafogo-pb-8MD2B7J9/,1,3,0
25.08.2019,2019,brazil,serie-c-2019,Juventude,Ypiranga FC,1.75,3.24,5.16,2.62,1.47,2.4,1.58,https://www.oddsportal.com/soccer/brazil/serie-c-2019/esporte-clube-juventude-ypiranga-fc-dEOBqS4t/,2,1,0
25.08.2019,2019,brazil,serie-c-2019,EC Sao Jose,Volta Redonda,1.72,3.38,5.18,2.41,1.50,2.42,1.57,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ec-sao-jose-pa-volta-redonda-jyOFrnKn/,1,6,1
06.10.2019,2019,brazil,serie-c-2019,Sampaio Correa,Nautico,2.05,3.21,3.68,2.32,1.58,1.99,1.82,https://www.oddsportal.com/soccer/brazil/serie-c-2019/sampaio-correa-nautico-vZDWGCSe/,0,4,1
12.08.2019,2019,brazil,serie-c-2019,Nautico,Sampaio Correa,1.96,3.26,3.97,2.28,1.65,1.94,1.94,https://www.oddsportal.com/soccer/brazil/serie-c-2019/nautico-sampaio-correa-rZIXs0Bo/,1,3,1
26.05.2019,2019,brazil,serie-c-2019,Remo,Acreano,1.5,3.65,6.92,2.38,1.49,2.7,1.47,https://www.oddsportal.com/soccer/brazil/serie-c-2019/remo-acreano-reCCaPxl/,1,2,0
24.08.2019,2019,brazil,serie-c-2019,Sampaio Correa,Imperatriz,2.4,3.29,2.84,1.95,1.83,1.78,1.97,https://www.oddsportal.com/soccer/brazil/serie-c-2019/sampaio-correa-imperatriz-j3UYI7v2/,2,1,0
16.06.2019,2019,brazil,serie-c-2019,Acreano,Tombense,2.5,3.0,2.89,2.32,1.56,1.94,1.86,https://www.oddsportal.com/soccer/brazil/serie-c-2019/acreano-tombense-8GxB8KLI/,1,3,1
01.06.2019,2019,brazil,serie-c-2019,Juventude,Acreano,1.4,3.81,9.4,2.50,1.49,2.88,1.42,https://www.oddsportal.com/soccer/brazil/serie-c-2019/esporte-clube-juventude-acreano-QT4JI4qQ/,1,3,0
24.08.2019,2019,brazil,serie-c-2019,Treze PB,Botafogo PB,2.4,3.2,2.91,2.08,1.73,1.83,1.99,https://www.oddsportal.com/soccer/brazil/serie-c-2019/treze-pb-botafogo-pb-I9MKtBW8/,0,4,1
18.08.2019,2019,brazil,serie-c-2019,Confianca,Treze PB,1.7,3.62,4.72,1.99,1.79,1.94,1.86,https://www.oddsportal.com/soccer/brazil/serie-c-2019/confianca-treze-pb-fyyQKT9k/,2,1,0
24.08.2019,2019,brazil,serie-c-2019,Nautico,Santa Cruz,2.74,3.24,2.5,2.01,1.78,1.81,1.96,https://www.oddsportal.com/soccer/brazil/serie-c-2019/nautico-santa-cruz-46IGsiH2/,1,4,1
05.08.2019,2019,brazil,serie-c-2019,Boa,Luverdense,2.07,2.97,4.03,2.71,1.44,2.24,1.65,https://www.oddsportal.com/soccer/brazil/serie-c-2019/boa-luverdense-SMn2TFEr/,0,0,0
21.06.2019,2019,brazil,serie-c-2019,ABC,Globo,1.86,3.46,3.93,1.89,1.89,1.71,2.13,https://www.oddsportal.com/soccer/brazil/serie-c-2019/abc-globo-fc-KdT2jRbs/,0,2,1
13.06.2019,2019,brazil,serie-c-2019,EC Sao Jose,Remo,2.13,3.02,3.6,2.32,1.56,2.01,1.81,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ec-sao-jose-pa-remo-Y1xVDFcb/,1,1,0
19.08.2019,2019,brazil,serie-c-2019,Volta Redonda,Juventude,2.26,2.96,3.42,2.50,1.47,2.21,1.67,https://www.oddsportal.com/soccer/brazil/serie-c-2019/volta-redonda-esporte-clube-juventude-ANkgRpkC/,0,4,1
09.09.2019,2019,brazil,serie-c-2019,Juventude,Imperatriz,1.75,3.21,5.29,2.73,1.40,2.52,1.53,https://www.oddsportal.com/soccer/brazil/serie-c-2019/esporte-clube-juventude-imperatriz-ENKYGcPH/,1,4,0
05.08.2019,2019,brazil,serie-c-2019,Ferroviario,ABC,1.87,3.43,3.97,1.97,1.81,1.83,1.94,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ferroviario-abc-AolJOxBN/,2,3,1
22.08.2019,2019,brazil,serie-c-2019,Boa,Tombense,2.26,3.01,3.34,2.50,1.51,2.14,1.71,https://www.oddsportal.com/soccer/brazil/serie-c-2019/boa-tombense-KhXql8dP/,2,1,0
26.05.2019,2019,brazil,serie-c-2019,Botafogo PB,Imperatriz,1.61,3.57,5.61,2.17,1.65,2.18,1.68,https://www.oddsportal.com/soccer/brazil/serie-c-2019/botafogo-pb-imperatriz-2qiyenZS/,1,3,1
08.06.2019,2019,brazil,serie-c-2019,ABC,Imperatriz,1.76,3.53,4.42,2.01,1.77,1.89,1.92,https://www.oddsportal.com/soccer/brazil/serie-c-2019/abc-imperatriz-nDC6ARYF/,2,6,1
14.06.2019,2019,brazil,serie-c-2019,Juventude,Volta Redonda,1.83,3.11,4.69,2.65,1.42,2.38,1.59,https://www.oddsportal.com/soccer/brazil/serie-c-2019/esporte-clube-juventude-volta-redonda-jwmQEerh/,1,1,0
08.06.2019,2019,brazil,serie-c-2019,EC Sao Jose,Boa,1.74,3.37,4.79,2.37,1.54,2.17,1.69,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ec-sao-jose-pa-boa-Qim6906C/,1,2,0
09.06.2019,2019,brazil,serie-c-2019,Ypiranga FC,Luverdense,1.91,3.1,4.29,2.60,1.40,2.42,1.56,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ypiranga-fc-luverdense-Clq2Ati6/,0,0,0
15.08.2019,2019,brazil,serie-c-2019,Luverdense,Paysandu PA,2.94,2.85,2.5,2.51,1.50,2.14,1.77,https://www.oddsportal.com/soccer/brazil/serie-c-2019/luverdense-paysandu-pa-d0qwVSkm/,2,4,1
28.06.2019,2019,brazil,serie-c-2019,Paysandu PA,Ypiranga FC,1.89,3.09,4.39,2.54,1.46,2.29,1.62,https://www.oddsportal.com/soccer/brazil/serie-c-2019/paysandu-pa-ypiranga-fc-p0OL3VZj/,0,0,0
17.08.2019,2019,brazil,serie-c-2019,Imperatriz,Ferroviario,1.96,3.44,3.66,1.86,1.92,1.75,2.08,https://www.oddsportal.com/soccer/brazil/serie-c-2019/imperatriz-ferroviario-CEAlvIAA/,0,0,0
03.06.2019,2019,brazil,serie-c-2019,Tombense,Remo,2.88,2.75,2.71,2.65,1.38,2.21,1.67,https://www.oddsportal.com/soccer/brazil/serie-c-2019/tombense-remo-SrnGJpUJ/,0,4,1
02.06.2019,2019,brazil,serie-c-2019,ABC,Ferroviario,2.06,3.28,3.45,2.10,1.69,1.86,1.94,https://www.oddsportal.com/soccer/brazil/serie-c-2019/abc-ferroviario-MTX7kQdj/,2,6,1
22.06.2019,2019,brazil,serie-c-2019,Tombense,Boa,2.11,2.99,3.67,2.61,1.43,2.24,1.65,https://www.oddsportal.com/soccer/brazil/serie-c-2019/tombense-boa-KIvsBDsH/,1,4,1
17.08.2019,2019,brazil,serie-c-2019,Botafogo PB,Nautico,2.18,3.16,3.35,2.26,1.62,1.96,1.85,https://www.oddsportal.com/soccer/brazil/serie-c-2019/botafogo-pb-nautico-GpxML9fq/,2,1,0
23.06.2019,2019,brazil,serie-c-2019,Remo,Paysandu PA,2.12,3.11,3.48,2.32,1.56,2.0,1.81,https://www.oddsportal.com/soccer/brazil/serie-c-2019/remo-paysandu-pa-tSuwCgSA/,2,1,0
02.06.2019,2019,brazil,serie-c-2019,Luverdense,Boa,2.12,2.97,3.67,2.40,1.48,2.15,1.71,https://www.oddsportal.com/soccer/brazil/serie-c-2019/luverdense-boa-nm9TesxD/,0,2,1
29.06.2019,2019,brazil,serie-c-2019,EC Sao Jose,Tombense,1.83,3.3,4.32,2.25,1.54,2.13,1.72,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ec-sao-jose-pa-tombense-dbhAA183/,1,2,0
17.06.2019,2019,brazil,serie-c-2019,Globo,Santa Cruz,2.87,3.24,2.36,1.97,1.82,1.71,2.13,https://www.oddsportal.com/soccer/brazil/serie-c-2019/globo-fc-santa-cruz-8pdk23td/,0,6,1
15.09.2019,2019,brazil,serie-c-2019,Juventude,Nautico,2.15,3.19,3.43,2.22,1.63,1.9,1.9,https://www.oddsportal.com/soccer/brazil/serie-c-2019/esporte-clube-juventude-nautico-hrgw6aK0/,1,3,1
25.08.2019,2019,brazil,serie-c-2019,Paysandu PA,Remo,2.56,2.86,3.0,2.56,1.44,2.21,1.65,https://www.oddsportal.com/soccer/brazil/serie-c-2019/paysandu-pa-remo-Img1POJO/,0,2,1
09.06.2019,2019,brazil,serie-c-2019,Botafogo PB,Globo,1.55,3.71,6.03,2.09,1.69,2.14,1.71,https://www.oddsportal.com/soccer/brazil/serie-c-2019/botafogo-pb-globo-fc-0Khs4PBq/,1,4,1
21.09.2019,2019,brazil,serie-c-2019,Sampaio Correa,Confianca,2.08,3.19,3.64,2.35,1.57,1.99,1.82,https://www.oddsportal.com/soccer/brazil/serie-c-2019/sampaio-correa-confianca-2DzUSMRD/,1,1,0
22.06.2019,2019,brazil,serie-c-2019,Santa Cruz,Nautico,2.38,3.11,2.96,1.96,1.82,1.71,2.08,https://www.oddsportal.com/soccer/brazil/serie-c-2019/santa-cruz-nautico-tCHBl5Tg/,1,1,0
02.06.2019,2019,brazil,serie-c-2019,Treze PB,Sampaio Correa,2.4,3.1,2.93,2.25,1.61,1.92,1.89,https://www.oddsportal.com/soccer/brazil/serie-c-2019/treze-pb-sampaio-correa-QcOcCm43/,1,3,0
31.08.2019,2019,brazil,serie-c-2019,Confianca,Ypiranga FC,1.96,3.08,4.27,2.43,1.50,2.17,1.69,https://www.oddsportal.com/soccer/brazil/serie-c-2019/confianca-ypiranga-fc-8AkYIJf5/,1,1,0
27.06.2019,2019,brazil,serie-c-2019,Treze PB,Santa Cruz,3.61,3.27,1.97,1.98,1.81,1.81,2.0,https://www.oddsportal.com/soccer/brazil/serie-c-2019/treze-pb-santa-cruz-zV0E8QKP/,1,2,0
20.06.2019,2019,brazil,serie-c-2019,Ypiranga FC,Juventude,3.15,2.78,2.48,2.87,1.36,2.32,1.61,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ypiranga-fc-esporte-clube-juventude-xfZoAXdN/,1,5,1
29.06.2019,2019,brazil,serie-c-2019,Nautico,ABC,1.56,3.81,5.6,1.99,1.80,2.02,1.8,https://www.oddsportal.com/soccer/brazil/serie-c-2019/nautico-abc-dv2A965J/,0,2,1
23.06.2019,2019,brazil,serie-c-2019,Luverdense,Acreano,1.99,3.14,3.86,2.32,1.56,2.05,1.78,https://www.oddsportal.com/soccer/brazil/serie-c-2019/luverdense-acreano-n5tZCZC4/,1,4,0
16.06.2019,2019,brazil,serie-c-2019,Boa,Ypiranga FC,2.29,2.69,3.7,2.57,1.41,2.31,1.61,https://www.oddsportal.com/soccer/brazil/serie-c-2019/boa-ypiranga-fc-CnlMFyTo/,1,3,1
26.05.2019,2019,brazil,serie-c-2019,Luverdense,Volta Redonda,2.3,3.0,3.2,2.34,1.51,2.11,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2019/luverdense-volta-redonda-lYC805Ns/,0,2,1
24.08.2019,2019,brazil,serie-c-2019,Ferroviario,Confianca,1.91,3.38,3.93,2.06,1.74,1.9,1.9,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ferroviario-confianca-0YBPuVoF/,0,4,1
01.09.2019,2019,brazil,serie-c-2019,Paysandu PA,Nautico,2.16,2.82,3.93,2.94,1.35,2.34,1.55,https://www.oddsportal.com/soccer/brazil/serie-c-2019/paysandu-pa-nautico-MgmMLLAn/,0,0,0
02.09.2019,2019,brazil,serie-c-2019,Imperatriz,Juventude,2.54,2.96,2.94,2.67,1.46,2.14,1.71,https://www.oddsportal.com/soccer/brazil/serie-c-2019/imperatriz-esporte-clube-juventude-zciQKuQh/,0,0,0
05.08.2019,2019,brazil,serie-c-2019,Globo,Nautico,3.13,3.13,2.33,2.25,1.62,1.92,1.87,https://www.oddsportal.com/soccer/brazil/serie-c-2019/globo-fc-nautico-IVZ9SKBb/,1,2,0
17.08.2019,2019,brazil,serie-c-2019,Tombense,Acreano,1.29,4.86,10.67,1.96,1.82,2.72,1.46,https://www.oddsportal.com/soccer/brazil/serie-c-2019/tombense-acreano-l81pT6Ka/,1,5,1
11.08.2019,2019,brazil,serie-c-2019,Treze PB,Ferroviario,2.25,3.29,3.11,1.98,1.85,1.77,2.06,https://www.oddsportal.com/soccer/brazil/serie-c-2019/treze-pb-ferroviario-MPHysKQi/,1,2,0
07.09.2019,2019,brazil,serie-c-2019,Sampaio Correa,EC Sao Jose,2.15,2.94,3.74,2.75,1.40,2.34,1.6,https://www.oddsportal.com/soccer/brazil/serie-c-2019/sampaio-correa-ec-sao-jose-pa-6Jr2aVgp/,1,5,1
07.09.2019,2019,brazil,serie-c-2019,Ypiranga FC,Confianca,2.26,2.85,3.6,2.64,1.42,2.24,1.65,https://www.oddsportal.com/soccer/brazil/serie-c-2019/ypiranga-fc-confianca-KMn6bk9j/,0,2,1
