date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
15.08.2020,2020,brazil,serie-c,Vila Nova FC,Paysandu PA,2.69,2.75,2.86,2.69,1.42,2.24,1.6,https://www.oddsportal.com/soccer/brazil/serie-c/vila-nova-fc-paysandu-pa-tjfSREIc/,1,2,0
03.10.2020,2020,brazil,serie-c,Paysandu PA,Remo,2.1,3.01,3.61,2.48,1.48,2.15,1.66,https://www.oddsportal.com/soccer/brazil/serie-c/paysandu-pa-remo-0GU9S6Q5/,2,5,1
20.12.2020,2020,brazil,serie-c,Ypiranga FC,Londrina,1.93,3.09,4.09,2.60,1.46,2.17,1.63,https://www.oddsportal.com/soccer/brazil/serie-c/ypiranga-fc-londrina-xEgXDWU2/,2,5,1
22.08.2020,2020,brazil,serie-c,Volta Redonda,Tombense,2.35,3.26,2.86,2.03,1.76,1.8,1.94,https://www.oddsportal.com/soccer/brazil/serie-c/volta-redonda-tombense-YwvAwRZa/,1,2,0
03.01.2021,2021,brazil,serie-c,Santa Cruz,Ituano,1.93,3.31,3.75,2.11,1.69,1.87,1.86,https://www.oddsportal.com/soccer/brazil/serie-c/santa-cruz-ituano-QwSK4Sik/,0,2,1
04.10.2020,2020,brazil,serie-c,Ferroviario,Santa Cruz,2.41,2.91,3.08,2.37,1.55,1.97,1.78,https://www.oddsportal.com/soccer/brazil/serie-c/ferroviario-santa-cruz-hjR1USeg/,2,4,1
28.09.2020,2020,brazil,serie-c,Santa Cruz,Jacuipense,1.66,3.52,5.51,2.45,1.56,2.33,1.61,https://www.oddsportal.com/soccer/brazil/serie-c/santa-cruz-jacuipense-S4BLlcs8/,0,6,1
05.09.2020,2020,brazil,serie-c,Vila Nova FC,Santa Cruz,2.33,2.99,3.1,2.36,1.55,1.94,1.8,https://www.oddsportal.com/soccer/brazil/serie-c/vila-nova-fc-santa-cruz-nRTpWT9q/,1,1,0
08.10.2020,2020,brazil,serie-c,Treze PB,Imperatriz,1.33,4.81,7.61,1.55,2.36,1.84,1.9,https://www.oddsportal.com/soccer/brazil/serie-c/treze-pb-imperatriz-SnUhDF34/,1,5,1
08.08.2020,2020,brazil,serie-c,EC Sao Jose,Sao Bento,1.63,3.61,5.27,2.27,1.59,2.19,1.62,https://www.oddsportal.com/soccer/brazil/serie-c/ec-sao-jose-pa-sao-bento-fBLlYVcK/,1,1,0
05.12.2020,2020,brazil,serie-c,Ypiranga FC,EC Sao Jose,1.59,3.67,5.31,2.14,1.67,2.12,1.67,https://www.oddsportal.com/soccer/brazil/serie-c/ypiranga-fc-ec-sao-jose-pa-zkoJJo1H/,1,4,1
20.09.2020,2020,brazil,serie-c,Boa,Ituano,2.91,2.9,2.55,2.37,1.54,1.99,1.76,https://www.oddsportal.com/soccer/brazil/serie-c/boa-ituano-2iVOjyAG/,2,3,1
23.11.2020,2020,brazil,serie-c,Botafogo PB,Remo,2.09,3.03,3.61,2.37,1.54,2.0,1.75,https://www.oddsportal.com/soccer/brazil/serie-c/botafogo-pb-remo-KOquav1p/,0,0,0
27.09.2020,2020,brazil,serie-c,Volta Redonda,Brusque,2.35,2.94,3.13,2.57,1.47,2.15,1.66,https://www.oddsportal.com/soccer/brazil/serie-c/volta-redonda-brusque-CQvli5Ld/,0,4,1
28.11.2020,2020,brazil,serie-c,Boa,Sao Bento,2.44,2.91,3.0,2.38,1.49,2.06,1.72,https://www.oddsportal.com/soccer/brazil/serie-c/boa-sao-bento-2ymBL7W4/,2,1,0
16.08.2020,2020,brazil,serie-c,Ypiranga FC,Londrina,2.32,2.82,3.39,2.72,1.40,2.26,1.59,https://www.oddsportal.com/soccer/brazil/serie-c/ypiranga-fc-londrina-tpFWP750/,1,3,1
19.09.2020,2020,brazil,serie-c,Manaus,Santa Cruz,3.07,2.85,2.44,2.60,1.46,2.06,1.71,https://www.oddsportal.com/soccer/brazil/serie-c/manaus-fc-santa-cruz-IV1dlTVR/,0,0,0
