date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
29.10.2016,2016,brazil,serie-c-2016,Guarani,Boa,1.85,3.21,3.92,1.98,1.75,1.8,1.9,https://www.oddsportal.com/soccer/brazil/serie-c-2016/guarani-boa-OEuBvM48/,0,2,1
09.10.2016,2016,brazil,serie-c-2016,Fortaleza,Juventude,1.83,3.01,4.4,2.62,1.44,2.48,1.51,https://www.oddsportal.com/soccer/brazil/serie-c-2016/fortaleza-esporte-clube-juventude-UTsi07pd/,0,2,1
07.10.2016,2016,brazil,serie-c-2016,ABC,Botafogo SP,2.08,3.02,3.61,2.36,1.52,1.95,1.76,https://www.oddsportal.com/soccer/brazil/serie-c-2016/abc-botafogo-sp-dzzwOAx3/,1,1,0
01.10.2016,2016,brazil,serie-c-2016,ASA,Guarani,2.01,3.18,3.38,2.16,1.63,2.1,1.67,https://www.oddsportal.com/soccer/brazil/serie-c-2016/asa-guarani-jwqm1mVk/,1,4,1
09.10.2016,2016,brazil,serie-c-2016,Boa,Botafogo PB,2.02,2.97,3.63,2.31,1.55,2.1,1.67,https://www.oddsportal.com/soccer/brazil/serie-c-2016/boa-botafogo-pb-rXVYOjNd/,1,1,0
05.11.2016,2016,brazil,serie-c-2016,Boa,Guarani,1.89,3.13,3.87,2.15,1.62,1.94,1.77,https://www.oddsportal.com/soccer/brazil/serie-c-2016/boa-guarani-25vFwtKE/,1,3,0
30.09.2016,2016,brazil,serie-c-2016,Botafogo SP,ABC,1.81,3.6,3.82,2.23,1.63,1.94,1.78,https://www.oddsportal.com/soccer/brazil/serie-c-2016/botafogo-sp-abc-ARRk2TFq/,0,0,0
15.10.2016,2016,brazil,serie-c-2016,Juventude,Boa,2.06,2.97,3.51,2.21,1.60,2.0,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2016/esporte-clube-juventude-boa-neg1lfJF/,2,3,1
23.10.2016,2016,brazil,serie-c-2016,Guarani,ABC,1.73,3.81,3.82,1.79,1.96,1.7,2.03,https://www.oddsportal.com/soccer/brazil/serie-c-2016/guarani-abc-zJAwV5If/,1,6,0
22.10.2016,2016,brazil,serie-c-2016,Boa,Juventude,1.97,3.18,3.18,2.17,1.61,1.83,1.87,https://www.oddsportal.com/soccer/brazil/serie-c-2016/boa-esporte-clube-juventude-6q6ZVo3l/,1,3,1
16.10.2016,2016,brazil,serie-c-2016,ABC,Guarani,2.05,3.17,3.8,2.28,1.61,1.81,1.89,https://www.oddsportal.com/soccer/brazil/serie-c-2016/abc-guarani-Sh7VWRmr/,1,4,0
03.10.2016,2016,brazil,serie-c-2016,Juventude,Fortaleza,1.88,3.19,3.81,2.18,1.61,1.8,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2016/esporte-clube-juventude-fortaleza-EetK7khM/,0,0,0
11.06.2017,2017,brazil,serie-c-2017,Cuiaba Esporte,Fortaleza,2.86,3.05,2.53,2.32,1.58,2.0,1.78,https://www.oddsportal.com/soccer/brazil/serie-c-2017/cuiaba-fortaleza-G8KEomHu/,0,4,1
25.09.2017,2017,brazil,serie-c-2017,CSA,Tombense,1.82,3.39,4.29,2.56,1.47,2.33,1.58,https://www.oddsportal.com/soccer/brazil/serie-c-2017/csa-tombense-bPsziCSO/,1,1,0
20.08.2017,2017,brazil,serie-c-2017,Remo,Botafogo PB,2.11,3.19,3.5,2.21,1.65,1.88,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2017/remo-botafogo-pb-WK2AUlss/,1,3,1
26.08.2017,2017,brazil,serie-c-2017,Tombense,Ypiranga FC,2.01,3.11,3.76,2.21,1.61,1.91,1.85,https://www.oddsportal.com/soccer/brazil/serie-c-2017/tombense-ypiranga-fc-UVf8HHLr/,1,3,0
20.08.2017,2017,brazil,serie-c-2017,ASA,Moto Club,2.12,3.01,3.13,2.14,1.69,1.84,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2017/asa-moto-club-bXXeBRtJ/,2,1,0
20.08.2017,2017,brazil,serie-c-2017,Cuiaba Esporte,Salgueiro,2.45,2.92,3.15,2.46,1.53,1.94,1.84,https://www.oddsportal.com/soccer/brazil/serie-c-2017/cuiaba-salgueiro-nmRwzBJJ/,1,1,0
24.06.2017,2017,brazil,serie-c-2017,Remo,Moto Club,1.99,3.22,3.82,2.13,1.64,1.99,1.89,https://www.oddsportal.com/soccer/brazil/serie-c-2017/remo-moto-club-Ohn4d4Vc/,1,5,1
09.07.2017,2017,brazil,serie-c-2017,Remo,Salgueiro,1.92,3.2,4.13,2.30,1.58,2.08,1.75,https://www.oddsportal.com/soccer/brazil/serie-c-2017/remo-salgueiro-AT8udeyF/,2,1,0
18.06.2017,2017,brazil,serie-c-2017,Salgueiro,Cuiaba Esporte,2.03,2.97,3.94,2.45,1.48,2.25,1.67,https://www.oddsportal.com/soccer/brazil/serie-c-2017/salgueiro-cuiaba-W4AwtqoH/,0,2,1
09.09.2017,2017,brazil,serie-c-2017,Fortaleza,Moto Club,1.64,3.48,5.44,2.12,1.67,2.11,1.76,https://www.oddsportal.com/soccer/brazil/serie-c-2017/fortaleza-moto-club-pMZ5PH1T/,1,1,0
25.06.2017,2017,brazil,serie-c-2017,Cuiaba Esporte,ASA,1.85,3.25,4.37,2.24,1.62,2.0,1.82,https://www.oddsportal.com/soccer/brazil/serie-c-2017/cuiaba-asa-rqvdbQ0o/,0,2,1
13.06.2017,2017,brazil,serie-c-2017,Sao Bento,Botafogo SP,2.29,2.93,3.37,2.65,1.44,2.25,1.65,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sao-bento-botafogo-sp-Y5tl7Fp9/,0,0,0
09.09.2017,2017,brazil,serie-c-2017,Sampaio Correa,Botafogo PB,1.89,3.42,3.5,2.04,1.66,1.8,1.95,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sampaio-correa-botafogo-pb-WbTkTa24/,2,5,1
14.10.2017,2017,brazil,serie-c-2017,Fortaleza,CSA,2.04,2.86,3.34,2.64,1.48,2.04,1.71,https://www.oddsportal.com/soccer/brazil/serie-c-2017/fortaleza-csa-SSNEbSOo/,2,3,1
17.09.2017,2017,brazil,serie-c-2017,Confianca,Sao Bento,2.28,3.07,3.14,2.37,1.55,1.99,1.79,https://www.oddsportal.com/soccer/brazil/serie-c-2017/confianca-sao-bento-C8uOgEr6/,2,2,0
24.06.2017,2017,brazil,serie-c-2017,Confianca,Botafogo PB,2.34,3.13,2.97,2.11,1.68,1.94,1.94,https://www.oddsportal.com/soccer/brazil/serie-c-2017/confianca-botafogo-pb-tUdacpGi/,2,1,0
01.10.2017,2017,brazil,serie-c-2017,Sao Bento,CSA,1.96,3.06,4.32,2.67,1.44,2.24,1.48,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sao-bento-csa-ANg92LxA/,2,1,0
02.07.2017,2017,brazil,serie-c-2017,Joinville,Bragantino,2.02,3.34,3.41,1.83,1.91,1.67,2.1,https://www.oddsportal.com/soccer/brazil/serie-c-2017/joinville-bragantino-UTsAsBvC/,1,2,0
24.06.2017,2017,brazil,serie-c-2017,Bragantino,Sao Bento,1.95,3.25,3.98,2.31,1.56,2.22,1.72,https://www.oddsportal.com/soccer/brazil/serie-c-2017/bragantino-sao-bento-0jeXdVM1/,2,3,0
02.07.2017,2017,brazil,serie-c-2017,Cuiaba Esporte,Moto Club,1.81,3.38,4.26,2.22,1.60,2.0,1.74,https://www.oddsportal.com/soccer/brazil/serie-c-2017/cuiaba-moto-club-A9lGg2FG/,1,1,0
27.08.2017,2017,brazil,serie-c-2017,ASA,Cuiaba Esporte,2.61,2.92,2.85,2.23,1.58,2.0,1.78,https://www.oddsportal.com/soccer/brazil/serie-c-2017/asa-cuiaba-vo6ISSBg/,2,5,1
07.10.2017,2017,brazil,serie-c-2017,Sampaio Correa,Fortaleza,2.04,3.22,3.74,2.33,1.59,1.95,1.79,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sampaio-correa-fortaleza-SblE1uhG/,0,4,1
19.08.2017,2017,brazil,serie-c-2017,Confianca,CSA,3.03,2.96,2.31,2.25,1.58,1.84,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2017/confianca-csa-QwQsZUYP/,1,2,0
17.06.2017,2017,brazil,serie-c-2017,Volta Redonda,Ypiranga FC,1.85,3.28,4.53,2.12,1.67,2.14,1.78,https://www.oddsportal.com/soccer/brazil/serie-c-2017/volta-redonda-ypiranga-fc-YuBh4DUR/,0,0,0
01.09.2017,2017,brazil,serie-c-2017,Ypiranga FC,Sao Bento,2.05,3.06,3.45,2.42,1.47,2.35,1.65,https://www.oddsportal.com/soccer/brazil/serie-c-2017/ypiranga-fc-sao-bento-8fqFzcSK/,0,0,0
12.06.2017,2017,brazil,serie-c-2017,Confianca,Sampaio Correa,1.9,3.41,4.0,2.13,1.67,1.97,1.88,https://www.oddsportal.com/soccer/brazil/serie-c-2017/confianca-sampaio-correa-faJIp7Wo/,0,4,1
02.10.2017,2017,brazil,serie-c-2017,Fortaleza,Sampaio Correa,1.74,3.42,5.03,2.41,1.54,2.24,1.62,https://www.oddsportal.com/soccer/brazil/serie-c-2017/fortaleza-sampaio-correa-WWf531N3/,1,1,0
08.07.2017,2017,brazil,serie-c-2017,Moto Club,Fortaleza,2.83,2.89,2.37,2.10,1.69,2.0,1.87,https://www.oddsportal.com/soccer/brazil/serie-c-2017/moto-club-fortaleza-bX5hzEEe/,1,1,0
27.08.2017,2017,brazil,serie-c-2017,Volta Redonda,Mogi Mirim,1.44,3.89,6.55,2.01,1.75,2.0,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2017/volta-redonda-mogi-mirim-h6XvZqiG/,1,4,0
09.07.2017,2017,brazil,serie-c-2017,CSA,Cuiaba Esporte,1.81,3.22,4.75,2.16,1.67,2.0,1.78,https://www.oddsportal.com/soccer/brazil/serie-c-2017/csa-cuiaba-xO4dZXT1/,0,0,0
01.07.2017,2017,brazil,serie-c-2017,Macae,Mogi Mirim,1.92,3.23,4.09,2.15,1.66,1.99,1.83,https://www.oddsportal.com/soccer/brazil/serie-c-2017/macae-mogi-mirim-rDubpDfg/,1,1,0
11.07.2017,2017,brazil,serie-c-2017,Mogi Mirim,Joinville,2.67,3.24,2.45,1.86,1.88,1.69,2.22,https://www.oddsportal.com/soccer/brazil/serie-c-2017/mogi-mirim-joinville-Kb6Sahft/,0,2,1
24.06.2017,2017,brazil,serie-c-2017,Mogi Mirim,Volta Redonda,2.81,3.12,2.49,2.17,1.67,2.0,1.89,https://www.oddsportal.com/soccer/brazil/serie-c-2017/mogi-mirim-volta-redonda-fkOL31eE/,1,3,1
09.09.2017,2017,brazil,serie-c-2017,Botafogo SP,Ypiranga FC,1.83,3.43,4.31,2.40,1.55,2.25,1.65,https://www.oddsportal.com/soccer/brazil/serie-c-2017/botafogo-sp-ypiranga-fc-norJZGsR/,1,8,1
27.08.2017,2017,brazil,serie-c-2017,Joinville,Macae,1.65,3.54,5.4,2.14,1.69,2.08,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2017/joinville-macae-2c8FFeje/,2,6,1
20.06.2017,2017,brazil,serie-c-2017,Botafogo PB,Remo,1.74,3.0,4.79,2.62,1.44,2.59,1.55,https://www.oddsportal.com/soccer/brazil/serie-c-2017/botafogo-pb-remo-xrBZtPVA/,1,5,1
17.06.2017,2017,brazil,serie-c-2017,Moto Club,ASA,1.85,3.34,4.35,2.05,1.73,1.91,1.95,https://www.oddsportal.com/soccer/brazil/serie-c-2017/moto-club-asa-tGHQro1b/,0,2,1
03.09.2017,2017,brazil,serie-c-2017,Bragantino,Joinville,2.23,2.96,3.35,2.40,1.52,1.92,1.97,https://www.oddsportal.com/soccer/brazil/serie-c-2017/bragantino-joinville-pMcKEF51/,0,2,1
02.07.2017,2017,brazil,serie-c-2017,Salgueiro,CSA,2.68,3.02,2.62,2.30,1.58,1.86,1.84,https://www.oddsportal.com/soccer/brazil/serie-c-2017/salgueiro-csa-j72pxzpq/,2,1,0
09.07.2017,2017,brazil,serie-c-2017,Volta Redonda,Sao Bento,2.05,2.94,3.65,1.98,1.81,1.78,2.1,https://www.oddsportal.com/soccer/brazil/serie-c-2017/volta-redonda-sao-bento-jqWIuk9O/,0,0,0
24.09.2017,2017,brazil,serie-c-2017,Sao Bento,Confianca,2.24,3.11,3.51,2.41,1.55,1.98,1.77,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sao-bento-confianca-zsRIFe5P/,0,0,0
26.08.2017,2017,brazil,serie-c-2017,Moto Club,Remo,2.12,3.17,3.46,2.07,1.74,1.67,2.07,https://www.oddsportal.com/soccer/brazil/serie-c-2017/moto-club-remo-pO6ET8dm/,0,2,1
15.07.2017,2017,brazil,serie-c-2017,Sao Bento,Mogi Mirim,1.66,3.29,5.43,2.23,1.61,2.15,1.67,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sao-bento-mogi-mirim-6FhleU8B/,1,1,0
23.09.2017,2017,brazil,serie-c-2017,Sampaio Correa,Volta Redonda,1.8,3.49,4.11,2.14,1.63,1.99,1.76,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sampaio-correa-volta-redonda-QBqShYcC/,0,2,1
04.07.2017,2017,brazil,serie-c-2017,Sampaio Correa,Remo,1.88,3.39,3.98,1.93,1.88,1.92,1.99,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sampaio-correa-remo-2qo8eOp4/,0,2,1
24.06.2017,2017,brazil,serie-c-2017,Macae,Joinville,2.99,3.22,2.25,1.94,1.79,1.85,2.04,https://www.oddsportal.com/soccer/brazil/serie-c-2017/macae-joinville-vsfydkx8/,1,1,0
17.06.2017,2017,brazil,serie-c-2017,Tombense,Bragantino,2.37,3.05,3.01,2.08,1.65,1.98,1.9,https://www.oddsportal.com/soccer/brazil/serie-c-2017/tombense-bragantino-A12KaXxq/,0,0,0
21.10.2017,2017,brazil,serie-c-2017,CSA,Fortaleza,2.12,3.26,3.05,2.10,1.65,1.8,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2017/csa-fortaleza-tWRIcnvh/,0,0,0
19.08.2017,2017,brazil,serie-c-2017,Sampaio Correa,Fortaleza,1.98,3.28,3.69,2.20,1.63,2.0,1.74,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sampaio-correa-fortaleza-KtZiC7RC/,1,2,0
18.06.2017,2017,brazil,serie-c-2017,Joinville,Sao Bento,1.64,3.37,5.86,2.31,1.58,2.41,1.63,https://www.oddsportal.com/soccer/brazil/serie-c-2017/joinville-sao-bento-WGjTcB7e/,0,2,1
02.09.2017,2017,brazil,serie-c-2017,Remo,Sampaio Correa,2.04,2.98,3.41,2.17,1.59,1.92,1.79,https://www.oddsportal.com/soccer/brazil/serie-c-2017/remo-sampaio-correa-h8UoUumb/,2,3,1
25.06.2017,2017,brazil,serie-c-2017,Sampaio Correa,Salgueiro,1.67,3.52,5.46,2.06,1.72,2.0,1.8,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sampaio-correa-salgueiro-SW3nvNFT/,1,1,0
18.09.2017,2017,brazil,serie-c-2017,Tombense,CSA,2.15,2.88,3.45,2.46,1.50,2.08,1.7,https://www.oddsportal.com/soccer/brazil/serie-c-2017/tombense-csa-UqjJffTa/,2,2,0
09.09.2017,2017,brazil,serie-c-2017,ASA,Confianca,4.57,3.17,1.6,1.91,1.78,1.93,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2017/asa-confianca-ENIfSJHA/,2,3,1
16.09.2017,2017,brazil,serie-c-2017,Volta Redonda,Sampaio Correa,2.01,3.29,3.67,2.14,1.69,1.92,1.84,https://www.oddsportal.com/soccer/brazil/serie-c-2017/volta-redonda-sampaio-correa-rTiBdGbm/,2,1,0
26.08.2017,2017,brazil,serie-c-2017,Sao Bento,Bragantino,1.91,3.17,4.24,2.23,1.63,2.0,1.8,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sao-bento-bragantino-O69BGyyk/,0,2,1
02.07.2017,2017,brazil,serie-c-2017,Fortaleza,Confianca,1.33,4.64,9.19,1.74,2.05,2.17,1.67,https://www.oddsportal.com/soccer/brazil/serie-c-2017/fortaleza-confianca-4A6lyfak/,0,2,1
09.09.2017,2017,brazil,serie-c-2017,Macae,Tombense,2.67,2.99,2.52,2.10,1.65,1.8,1.97,https://www.oddsportal.com/soccer/brazil/serie-c-2017/macae-tombense-4QUpVzjr/,0,0,0
25.06.2017,2017,brazil,serie-c-2017,Ypiranga FC,Tombense,1.78,3.29,4.56,2.34,1.53,2.1,1.69,https://www.oddsportal.com/soccer/brazil/serie-c-2017/ypiranga-fc-tombense-nonknZPt/,2,1,0
27.06.2017,2017,brazil,serie-c-2017,CSA,Fortaleza,2.13,3.25,3.21,1.73,2.03,1.6,2.25,https://www.oddsportal.com/soccer/brazil/serie-c-2017/csa-fortaleza-UujEZtOp/,1,1,0
15.07.2017,2017,brazil,serie-c-2017,Sampaio Correa,Moto Club,2.04,2.98,3.4,2.17,1.65,1.95,1.84,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sampaio-correa-moto-club-OWCqeFjL/,2,1,0
18.06.2017,2017,brazil,serie-c-2017,Fortaleza,Sampaio Correa,1.62,3.8,5.18,1.89,1.87,1.94,1.94,https://www.oddsportal.com/soccer/brazil/serie-c-2017/fortaleza-sampaio-correa-Ae9su30N/,1,3,0
08.07.2017,2017,brazil,serie-c-2017,Tombense,Macae,1.66,3.49,5.18,2.21,1.58,2.1,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2017/tombense-macae-IkK04YoP/,1,3,1
09.09.2017,2017,brazil,serie-c-2017,Joinville,Mogi Mirim,1.28,4.72,10.29,1.89,1.86,2.34,1.57,https://www.oddsportal.com/soccer/brazil/serie-c-2017/joinville-mogi-mirim-xGMcSYZ0/,1,9,1
02.09.2017,2017,brazil,serie-c-2017,Tombense,Botafogo SP,1.98,2.98,3.77,2.30,1.43,2.24,1.71,https://www.oddsportal.com/soccer/brazil/serie-c-2017/tombense-botafogo-sp-CSk6xJc8/,1,3,1
01.07.2017,2017,brazil,serie-c-2017,Sao Bento,Ypiranga FC,2.31,2.97,3.15,2.41,1.53,2.1,1.8,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sao-bento-ypiranga-fc-GQw6riP5/,2,3,1
03.09.2017,2017,brazil,serie-c-2017,Confianca,Fortaleza,2.71,2.96,2.63,2.35,1.54,1.83,2.0,https://www.oddsportal.com/soccer/brazil/serie-c-2017/confianca-fortaleza-OYPsVLXi/,1,2,0
11.06.2017,2017,brazil,serie-c-2017,ASA,Salgueiro,2.1,3.16,3.56,2.40,1.53,2.1,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2017/asa-salgueiro-lI6AteKU/,0,2,1
04.09.2017,2017,brazil,serie-c-2017,CSA,Salgueiro,1.87,3.15,4.48,2.46,1.51,2.09,1.81,https://www.oddsportal.com/soccer/brazil/serie-c-2017/csa-salgueiro-rwme7Iuo/,1,2,0
09.09.2017,2017,brazil,serie-c-2017,Sao Bento,Volta Redonda,2.34,2.78,3.16,2.45,1.46,2.0,1.73,https://www.oddsportal.com/soccer/brazil/serie-c-2017/sao-bento-volta-redonda-bPNgTEKf/,1,1,0
02.09.2017,2017,brazil,serie-c-2017,Moto Club,Cuiaba Esporte,2.18,2.85,3.44,2.29,1.57,1.87,1.83,https://www.oddsportal.com/soccer/brazil/serie-c-2017/moto-club-cuiaba-W0KROpBI/,1,1,0
27.08.2017,2017,brazil,serie-c-2017,Fortaleza,CSA,1.9,3.14,4.45,2.19,1.66,2.0,1.78,https://www.oddsportal.com/soccer/brazil/serie-c-2017/fortaleza-csa-xvLNPQeC/,0,2,1
26.08.2017,2017,brazil,serie-c-2017,Salgueiro,Sampaio Correa,2.87,3.05,2.46,2.15,1.64,1.84,1.91,https://www.oddsportal.com/soccer/brazil/serie-c-2017/salgueiro-sampaio-correa-bmMJQ6t6/,0,2,1
16.06.2017,2017,brazil,serie-c-2017,CSA,Confianca,1.88,3.43,4.0,1.87,1.90,1.79,2.07,https://www.oddsportal.com/soccer/brazil/serie-c-2017/csa-confianca-Ov7Vs5G4/,0,2,1
09.09.2017,2017,brazil,serie-c-2017,Cuiaba Esporte,CSA,1.73,3.15,5.31,2.41,1.51,2.25,1.58,https://www.oddsportal.com/soccer/brazil/serie-c-2017/cuiaba-csa-C8ybRwXG/,0,2,1
09.07.2017,2017,brazil,serie-c-2017,Botafogo PB,Sampaio Correa,2.03,3.29,3.49,2.12,1.68,1.78,2.0,https://www.oddsportal.com/soccer/brazil/serie-c-2017/botafogo-pb-sampaio-correa-xGAXcH62/,2,3,1
10.06.2017,2017,brazil,serie-c-2017,Remo,CSA,2.53,3.12,2.86,2.25,1.63,1.86,1.84,https://www.oddsportal.com/soccer/brazil/serie-c-2017/remo-csa-2PIMqRoh/,0,2,1
15.07.2017,2017,brazil,serie-c-2017,Macae,Volta Redonda,2.81,2.88,2.71,2.26,1.62,1.95,1.86,https://www.oddsportal.com/soccer/brazil/serie-c-2017/macae-volta-redonda-Amaucjva/,2,3,0
09.07.2017,2017,brazil,serie-c-2017,Ypiranga FC,Botafogo SP,2.57,2.97,2.81,2.41,1.53,2.19,1.74,https://www.oddsportal.com/soccer/brazil/serie-c-2017/ypiranga-fc-botafogo-sp-2NeXbC9n/,0,2,1
02.09.2017,2017,brazil,serie-c-2017,Botafogo PB,ASA,2.0,3.32,3.32,1.96,1.75,1.9,1.98,https://www.oddsportal.com/soccer/brazil/serie-c-2017/botafogo-pb-asa-prRwW1Io/,0,0,0
20.08.2017,2017,brazil,serie-c-2017,Ypiranga FC,Volta Redonda,2.27,3.13,2.86,2.26,1.57,1.92,1.8,https://www.oddsportal.com/soccer/brazil/serie-c-2017/ypiranga-fc-volta-redonda-dvvWz6M3/,0,6,1
10.07.2017,2017,brazil,serie-c-2017,Confianca,ASA,2.24,3.02,3.37,2.23,1.62,1.92,1.92,https://www.oddsportal.com/soccer/brazil/serie-c-2017/confianca-asa-G69ycyM8/,0,2,1
