date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
05.05.2019,2019,brazil,serie-d-2019,Academica Vitoria,Campinense,3.08,3.18,2.19,2.05,1.65,1.8,1.94,https://www.oddsportal.com/soccer/brazil/serie-d-2019/academica-vitoria-campinense-UsBvbKKF/,2,1,0
07.07.2019,2019,brazil,serie-d-2019,Jacuipense,America RN,2.92,3.12,2.34,2.10,1.65,1.84,1.95,https://www.oddsportal.com/soccer/brazil/serie-d-2019/jacuipense-america-rn-tW3P5BdC/,1,1,0
18.05.2019,2019,brazil,serie-d-2019,Anapolina,Operario MS,1.42,3.73,5.99,2.11,1.64,2.26,1.64,https://www.oddsportal.com/soccer/brazil/serie-d-2019/anapolina-operario-ms-hG8MRAdA/,2,1,0
13.05.2019,2019,brazil,serie-d-2019,URT,Brasiliense,2.19,2.9,3.38,2.43,1.43,2.16,1.65,https://www.oddsportal.com/soccer/brazil/serie-d-2019/urt-brasiliense-C2nHo5mq/,2,1,0
05.05.2019,2019,brazil,serie-d-2019,Jacuipense,ASA,2.16,3.09,3.22,2.21,1.57,1.91,1.82,https://www.oddsportal.com/soccer/brazil/serie-d-2019/jacuipense-asa-jiCza059/,1,2,0
11.05.2019,2019,brazil,serie-d-2019,Palmas,Ipora,2.42,3.13,2.74,2.12,1.61,1.85,1.89,https://www.oddsportal.com/soccer/brazil/serie-d-2019/palmas-ipora-2iZXY6nt/,0,0,0
02.06.2019,2019,brazil,serie-d-2019,Hercilio Luz,Novorizontino,2.97,2.83,2.5,2.41,1.46,2.09,1.74,https://www.oddsportal.com/soccer/brazil/serie-d-2019/hercilio-luz-novorizontino-bTsWbFNa/,2,3,1
26.05.2019,2019,brazil,serie-d-2019,Cianorte,SER Caxias,2.57,2.88,2.83,2.58,1.42,2.05,1.76,https://www.oddsportal.com/soccer/brazil/serie-d-2019/cianorte-ser-caxias-do-sul-UeKaNk6H/,1,1,0
19.05.2019,2019,brazil,serie-d-2019,Central SC,AE Altos,1.69,3.46,4.79,2.13,1.63,2.05,1.77,https://www.oddsportal.com/soccer/brazil/serie-d-2019/central-sc-ae-altos-hKrAnWFn/,1,2,0
11.05.2019,2019,brazil,serie-d-2019,Sao Caetano,Cianorte,2.01,3.13,3.65,2.20,1.57,1.93,1.8,https://www.oddsportal.com/soccer/brazil/serie-d-2019/sao-caetano-cianorte-SWNrRX6h/,2,1,0
