date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
21.10.2020,2020,brazil,serie-d,Bahia De Feira,Gama,4.22,3.87,1.69,1.71,2.09,1.68,2.1,https://www.oddsportal.com/soccer/brazil/serie-d/bahia-de-feira-gama-plv3ztv7/,2,1,0
13.11.2020,2020,brazil,serie-d,Central SC,Potiguar,1.59,4.29,4.44,1.40,2.80,1.54,2.4,https://www.oddsportal.com/soccer/brazil/serie-d/central-sc-potiguar-hYcyj6L3/,0,4,1
13.11.2020,2020,brazil,serie-d,Gama,Villa Nova MG,1.47,4.17,5.91,1.72,2.07,1.8,1.94,https://www.oddsportal.com/soccer/brazil/serie-d/gama-villa-nova-ac-SC77qD25/,1,3,0
03.10.2020,2020,brazil,serie-d,America RN,Afogados da Ingazeira,1.57,3.89,5.15,1.83,1.95,1.88,1.86,https://www.oddsportal.com/soccer/brazil/serie-d/america-rn-afogados-da-ingazeira-63hxkBIJ/,1,4,1
14.10.2020,2020,brazil,serie-d,Palmas,Gama,25.93,11.49,1.05,1.21,4.02,2.25,1.59,https://www.oddsportal.com/soccer/brazil/serie-d/palmas-gama-AR9Jr4WQ/,2,3,0
14.10.2020,2020,brazil,serie-d,Goianesia,Uniao Rondonopolis,1.61,3.68,5.07,1.98,1.79,1.98,1.76,https://www.oddsportal.com/soccer/brazil/serie-d/goianesia-uniao-rondonopolis-Yk8XFguQ/,1,3,1
22.11.2020,2020,brazil,serie-d,Guarany,Globo,2.34,3.17,2.89,2.20,1.62,1.9,1.85,https://www.oddsportal.com/soccer/brazil/serie-d/guarany-globo-fc-nwz0bCi2/,0,0,0
27.09.2020,2020,brazil,serie-d,Toledo,Nacional PR,1.78,3.46,4.23,1.99,1.79,1.89,1.85,https://www.oddsportal.com/soccer/brazil/serie-d/toledo-nacional-pr-vmwb2kTG/,2,5,1
07.11.2020,2020,brazil,serie-d,Cabofriense,Bangu,2.22,3.21,3.07,1.97,1.81,1.74,2.02,https://www.oddsportal.com/soccer/brazil/serie-d/cabofriense-bangu-tAvKepB8/,1,3,1
02.01.2021,2021,brazil,serie-d,Mirassol,Aparecidense,1.6,3.69,5.16,2.02,1.76,2.01,1.74,https://www.oddsportal.com/soccer/brazil/serie-d/mirassol-aparecidense-ltaxYrnb/,1,3,1
13.12.2020,2020,brazil,serie-d,Aparecidense,Tupynambas,1.65,3.72,4.62,1.82,1.95,1.78,1.97,https://www.oddsportal.com/soccer/brazil/serie-d/aparecidense-tupynambas-YHfyGDd1/,1,4,0
13.12.2020,2020,brazil,serie-d,Salgueiro,Vitoria da Conquista,1.94,3.54,3.45,1.79,1.97,1.66,2.13,https://www.oddsportal.com/soccer/brazil/serie-d/salgueiro-vitoria-da-conquista-QwCf3zDe/,1,4,0
20.09.2020,2020,brazil,serie-d,AE Altos,Sao Raimundo RR,1.88,3.65,3.53,1.69,2.10,1.65,2.14,https://www.oddsportal.com/soccer/brazil/serie-d/ae-altos-sao-raimundo-rr-GI1yA9wm/,2,1,0
25.10.2020,2020,brazil,serie-d,Cabofriense,Ferroviaria,2.9,3.28,2.27,1.87,1.90,1.67,2.12,https://www.oddsportal.com/soccer/brazil/serie-d/cabofriense-ferroviaria-M57guPQR/,1,1,0
21.10.2020,2020,brazil,serie-d,Pelotas,Tubarao,1.42,4.16,7.01,1.93,1.85,2.15,1.65,https://www.oddsportal.com/soccer/brazil/serie-d/pelotas-tubarao-hnF4Z8Cd/,0,2,1
17.10.2020,2020,brazil,serie-d,Jacyoba,Vitoria da Conquista,8.55,5.15,1.3,1.44,2.65,1.66,2.1,https://www.oddsportal.com/soccer/brazil/serie-d/jacyoba-vitoria-da-conquista-ze68RVxn/,2,5,1
17.10.2020,2020,brazil,serie-d,Salgueiro,Floresta EC,2.16,3.01,3.4,2.49,1.51,2.12,1.67,https://www.oddsportal.com/soccer/brazil/serie-d/salgueiro-floresta-ec-IP6genug/,2,1,0
20.09.2020,2020,brazil,serie-d,Cascavel,Cabofriense,1.56,3.74,5.56,1.99,1.79,2.05,1.71,https://www.oddsportal.com/soccer/brazil/serie-d/fc-cascavel-cabofriense-hWzn5iqb/,0,6,1
19.12.2020,2020,brazil,serie-d,Goiania,Novorizontino,3.31,2.94,2.25,1.78,1.99,1.74,2.01,https://www.oddsportal.com/soccer/brazil/serie-d/bare-ypiranga-ap-thZYMjul/,0,2,1
01.11.2020,2020,brazil,serie-d,Villa Nova MG,Caldense,2.86,3.18,2.4,2.14,1.66,1.87,1.86,https://www.oddsportal.com/soccer/brazil/serie-d/villa-nova-ac-caldense-MF4aoZXh/,0,2,1
26.09.2020,2020,brazil,serie-d,Santos AP,AE Altos,4.71,3.83,1.63,1.78,2.00,1.78,1.97,https://www.oddsportal.com/soccer/brazil/serie-d/santos-ap-ae-altos-MLid5ohI/,2,4,0
30.09.2020,2020,brazil,serie-d,Portuguesa RJ,Bangu,2.01,3.28,3.5,2.12,1.68,1.92,1.81,https://www.oddsportal.com/soccer/brazil/serie-d/portuguesa-rj-bangu-bkga0TcT/,2,2,0
13.11.2020,2020,brazil,serie-d,Vitoria ES,Uniao Rondonopolis,1.69,3.69,4.45,1.69,2.11,1.64,2.16,https://www.oddsportal.com/soccer/brazil/serie-d/vitoria-es-uniao-rondonopolis-Ic0DyA1n/,1,3,0
07.11.2020,2020,brazil,serie-d,Tupynambas,Villa Nova MG,1.38,4.9,6.18,1.39,2.71,1.54,2.23,https://www.oddsportal.com/soccer/brazil/serie-d/tupynambas-villa-nova-ac-Gx43pgma/,0,2,1
13.11.2020,2020,brazil,serie-d,Caldense,Tupynambas,1.7,3.72,4.33,1.99,1.80,1.93,1.82,https://www.oddsportal.com/soccer/brazil/serie-d/caldense-tupynambas-v7qyAtVP/,2,3,1
27.09.2020,2020,brazil,serie-d,Central SC,Itabaiana,2.03,3.37,3.34,1.99,1.77,1.83,1.9,https://www.oddsportal.com/soccer/brazil/serie-d/central-sc-itabaiana-rT32CaXs/,0,4,1
20.12.2020,2020,brazil,serie-d,Sao Luiz,Aparecidense,2.45,3.19,2.72,2.04,1.73,1.78,1.97,https://www.oddsportal.com/soccer/brazil/serie-d/sao-luiz-aparecidense-dEIxNeaF/,2,4,0
08.11.2020,2020,brazil,serie-d,Sinop,Bare,1.57,3.93,5.21,1.73,2.05,1.78,1.96,https://www.oddsportal.com/soccer/brazil/serie-d/sinop-bare-0MJri1DO/,2,5,1
11.10.2020,2020,brazil,serie-d,Tubarao,Marcilio Dias,3.99,3.09,1.95,2.54,1.47,2.32,1.56,https://www.oddsportal.com/soccer/brazil/serie-d/tubarao-marcilio-dias-xdnJNBDp/,2,1,0
12.12.2020,2020,brazil,serie-d,Goiania,Alagoinhas,1.98,3.34,3.52,1.92,1.85,1.75,2.01,https://www.oddsportal.com/soccer/brazil/serie-d/goiania-alagoinhas-MPecNe4R/,1,5,1
04.10.2020,2020,brazil,serie-d,Vitoria da Conquista,Potiguar,1.76,3.86,4.0,1.75,2.04,1.71,2.05,https://www.oddsportal.com/soccer/brazil/serie-d/vitoria-da-conquista-potiguar-QBaN7ynD/,2,6,1
10.10.2020,2020,brazil,serie-d,Tupynambas,Gama,3.64,3.32,1.95,1.98,1.80,1.81,1.93,https://www.oddsportal.com/soccer/brazil/serie-d/tupynambas-gama-OA77o6n8/,0,2,1
14.10.2020,2020,brazil,serie-d,Moto Club,Sao Raimundo RR,1.67,3.79,4.46,2.05,1.74,1.98,1.77,https://www.oddsportal.com/soccer/brazil/serie-d/moto-club-sao-raimundo-rr-jZfuf3aN/,0,2,1
15.10.2020,2020,brazil,serie-d,Fast Clube,Vilhenense,1.38,4.58,7.02,1.65,2.17,1.9,1.83,https://www.oddsportal.com/soccer/brazil/serie-d/fast-clube-vilhenense-n5lisK3q/,0,2,1
26.10.2020,2020,brazil,serie-d,Itabaiana,Vitoria da Conquista,1.77,3.61,4.04,1.79,2.00,1.77,1.98,https://www.oddsportal.com/soccer/brazil/serie-d/itabaiana-vitoria-da-conquista-dYx4G5Up/,1,5,1
08.11.2020,2020,brazil,serie-d,Potiguar,Vitoria da Conquista,2.31,3.38,2.78,1.53,2.38,1.45,2.47,https://www.oddsportal.com/soccer/brazil/serie-d/potiguar-vitoria-da-conquista-SxBFY4jT/,0,2,1
17.10.2020,2020,brazil,serie-d,Gama,Bahia De Feira,1.53,3.98,5.42,1.79,1.99,1.86,1.88,https://www.oddsportal.com/soccer/brazil/serie-d/gama-bahia-de-feira-faojwrfl/,1,3,0
19.09.2020,2020,brazil,serie-d,Jacyoba,Central SC,5.17,4.4,1.52,1.48,2.55,1.6,2.25,https://www.oddsportal.com/soccer/brazil/serie-d/jacyoba-central-sc-hbPNJsu8/,0,4,1
01.11.2020,2020,brazil,serie-d,Coruripe,Jacyoba,1.11,8.47,16.75,1.08,6.61,1.44,2.58,https://www.oddsportal.com/soccer/brazil/serie-d/coruripe-jacyoba-WAH6zRLG/,1,4,1
18.10.2020,2020,brazil,serie-d,Sao Luiz,Marcilio Dias,2.18,3.0,3.38,2.79,1.40,2.37,1.54,https://www.oddsportal.com/soccer/brazil/serie-d/sao-luiz-marcilio-dias-dKLeyVsp/,0,2,1
26.09.2020,2020,brazil,serie-d,Acreano,Bragantino,2.99,3.41,2.17,1.82,1.97,1.67,2.13,https://www.oddsportal.com/soccer/brazil/serie-d/acreano-bragantino-pa-KfrsZMBM/,0,4,1
19.09.2020,2020,brazil,serie-d,America RN,Campinense,1.61,3.84,4.85,1.78,2.00,1.8,1.94,https://www.oddsportal.com/soccer/brazil/serie-d/america-rn-campinense-t4PFEUt7/,0,0,0
26.09.2020,2020,brazil,serie-d,Gama,Brasiliense,2.88,3.28,2.29,2.00,1.78,1.79,1.95,https://www.oddsportal.com/soccer/brazil/serie-d/gama-brasiliense-6TN90N34/,1,3,1
13.11.2020,2020,brazil,serie-d,Sao Raimundo RR,Bare,1.63,3.75,4.9,1.77,2.05,1.97,1.8,https://www.oddsportal.com/soccer/brazil/serie-d/sao-raimundo-rr-bare-2RcRFpjP/,1,6,0
31.10.2020,2020,brazil,serie-d,Vitoria ES,Real Noroeste,3.44,3.55,1.94,1.63,2.18,1.55,2.28,https://www.oddsportal.com/soccer/brazil/serie-d/vitoria-es-real-noroeste-lId5Y4KB/,0,2,1
07.12.2020,2020,brazil,serie-d,Rio Branco,AE Altos,2.87,3.3,2.29,1.92,1.85,1.7,2.07,https://www.oddsportal.com/soccer/brazil/serie-d/rio-branco-ac-ae-altos-rT1OIFCr/,2,2,0
26.09.2020,2020,brazil,serie-d,Goiania,Uniao Rondonopolis,2.19,3.3,3.05,2.07,1.72,1.87,1.87,https://www.oddsportal.com/soccer/brazil/serie-d/goiania-uniao-rondonopolis-6caoHrK2/,1,4,1
01.10.2020,2020,brazil,serie-d,Bahia De Feira,Brasiliense,2.19,3.4,2.96,1.83,1.92,1.69,2.07,https://www.oddsportal.com/soccer/brazil/serie-d/bahia-de-feira-brasiliense-lhDEasJA/,0,2,1
01.10.2020,2020,brazil,serie-d,Bare,Sao Raimundo RR,3.4,3.65,1.92,1.60,2.26,1.56,2.32,https://www.oddsportal.com/soccer/brazil/serie-d/bare-sao-raimundo-rr-nwbNcoUt/,1,1,0
30.09.2020,2020,brazil,serie-d,Sinop,Santos AP,1.57,4.03,4.99,1.53,2.38,1.6,2.23,https://www.oddsportal.com/soccer/brazil/serie-d/sinop-santos-ap-00MdzBEU/,2,3,1
25.10.2020,2020,brazil,serie-d,Cascavel,Nacional PR,1.1,7.99,17.42,1.27,3.22,2.04,1.72,https://www.oddsportal.com/soccer/brazil/serie-d/fc-cascavel-nacional-pr-vsIlt5BL/,1,2,0
14.11.2020,2020,brazil,serie-d,Toledo,Mirassol,12.28,7.48,1.15,1.30,3.08,1.96,1.78,https://www.oddsportal.com/soccer/brazil/serie-d/toledo-mirassol-p2Ldzzu0/,2,4,0
21.11.2020,2020,brazil,serie-d,Tupynambas,Palmas,1.03,12.17,53.67,1.17,4.22,3.1,1.35,https://www.oddsportal.com/soccer/brazil/serie-d/tupynambas-palmas-hEPB3v8g/,1,1,0
30.09.2020,2020,brazil,serie-d,Novorizontino,Tubarao,1.36,4.38,7.94,1.95,1.83,2.32,1.56,https://www.oddsportal.com/soccer/brazil/serie-d/novorizontino-tubarao-MLwQprFt/,1,1,0
18.10.2020,2020,brazil,serie-d,ABC,Frei Paulistano,1.51,3.84,6.14,2.14,1.68,2.29,1.57,https://www.oddsportal.com/soccer/brazil/serie-d/abc-frei-paulistano-UH5CQkhh/,1,1,0
04.10.2020,2020,brazil,serie-d,Villa Nova MG,Tupynambas,1.89,3.58,3.66,1.90,1.86,1.8,1.94,https://www.oddsportal.com/soccer/brazil/serie-d/villa-nova-ac-tupynambas-MHeysKt7/,0,4,1
26.09.2020,2020,brazil,serie-d,Salgueiro,Atl. Cajazeirense,1.57,3.77,5.47,2.02,1.77,2.09,1.69,https://www.oddsportal.com/soccer/brazil/serie-d/salgueiro-atletico-cajazeirense-ULJUVVBs/,1,1,0
