date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
25.10.2016,2016,bulgaria,bulgarian-cup-2016-2017,Montana,Ludogorets,18.0,9.0,1.12,1.32,3.26,2.07,1.69,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/montana-ludogorets-xKt8c4u9/,2,4,0
18.04.2017,2017,bulgaria,bulgarian-cup-2016-2017,Ludogorets,Litex Lovech,1.12,8.58,18.93,1.38,3.02,2.47,1.47,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/ludogorets-litex-lovech-8vk4ulsJ/,1,4,0
26.04.2017,2017,bulgaria,bulgarian-cup-2016-2017,Botev Plovdiv,Vereya,1.57,3.94,5.78,1.87,1.95,1.88,2.03,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/botev-plovdiv-vereya-42tBbBss/,0,2,1
06.04.2017,2017,bulgaria,bulgarian-cup-2016-2017,Vereya,Dunav Ruse,2.44,3.11,3.0,2.35,1.58,2.0,1.88,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/vereya-dunav-ruse-8bTrv6BQ/,1,2,0
20.09.2016,2016,bulgaria,bulgarian-cup-2016-2017,Chernomorets Balchik,Lok. Plovdiv,14.5,8.7,1.14,2.37,1.59,1.91,1.91,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/vereya-botev-plovdiv-Mswn4XJJ/,2,7,1
04.04.2017,2017,bulgaria,bulgarian-cup-2016-2017,Pirin Blagoevgrad,Botev Plovdiv,2.31,3.18,3.17,2.38,1.60,2.11,1.77,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/pirin-blagoevgrad-botev-plovdiv-vPOvundK/,2,1,0
20.09.2016,2016,bulgaria,bulgarian-cup-2016-2017,Botev Galabovo,Montana,5.3,2.6,1.91,1.88,1.93,1.96,1.84,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/litex-lovech-cherno-more-0YPztStE/,2,5,1
20.09.2016,2016,bulgaria,bulgarian-cup-2016-2017,Botev Vratsa,Ludogorets,11.5,3.96,1.32,1.65,2.19,1.76,1.98,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/sozopol-pirin-blagoevgrad-CtBiktmk/,2,4,0
21.09.2016,2016,bulgaria,bulgarian-cup-2016-2017,Rozova Dolina,Cherno More,19.0,9.6,1.11,1.41,2.70,2.1,1.67,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/lok-plovdiv-oborishte-panagyurishte-bZUGerAL/,2,3,1
27.10.2016,2016,bulgaria,bulgarian-cup-2016-2017,Botev Plovdiv,Neftochimic Burgas,1.44,4.3,6.65,1.87,1.90,1.91,1.81,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup-2016-2017/botev-plovdiv-neftochimic-burgas-KrWCdOfF/,1,3,0
