date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
23.09.2016,2016,bulgaria,parva-liga-2016-2017,Vereya,Ludogorets,8.8,6.0,1.28,1.82,2.01,2.26,1.58,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/vereya-ludogorets-4KZFwHh5/,2,6,1
15.12.2016,2016,bulgaria,parva-liga-2016-2017,Botev Plovdiv,Pirin Blagoevgrad,1.88,3.42,4.26,1.96,1.86,1.84,2.04,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/botev-plovdiv-pirin-blagoevgrad-bFS8n6xT/,1,5,1
25.09.2016,2016,bulgaria,parva-liga-2016-2017,Cherno More,Slavia Sofia,1.62,3.84,5.45,1.91,1.91,1.83,1.89,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cherno-more-slavia-sofia-YaRWZYiU/,0,0,0
22.04.2017,2017,bulgaria,parva-liga-2016-2017,Vereya,Montana,1.23,5.69,12.92,1.91,1.87,3.1,1.4,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/vereya-montana-bB8mCC60/,1,1,0
11.12.2016,2016,bulgaria,parva-liga-2016-2017,Cherno More,Dunav Ruse,1.79,3.45,4.81,2.32,1.62,2.2,1.73,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cherno-more-dunav-ruse-ULaNz9wH/,1,1,0
10.12.2016,2016,bulgaria,parva-liga-2016-2017,Slavia Sofia,Montana,1.49,4.0,7.25,2.04,1.75,2.21,1.73,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/slavia-sofia-montana-jV0JykOA/,1,2,0
05.03.2017,2017,bulgaria,parva-liga-2016-2017,Slavia Sofia,Neftochimic Burgas,2.15,3.21,3.4,2.05,1.76,1.83,2.0,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/slavia-sofia-neftochimic-burgas-IHOckT97/,2,3,0
28.10.2016,2016,bulgaria,parva-liga-2016-2017,Lok. Gorna,Slavia Sofia,2.38,3.06,3.02,2.04,1.75,1.74,2.0,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/gorna-slavia-sofia-nyi45QsF/,1,1,0
02.03.2017,2017,bulgaria,parva-liga-2016-2017,Vereya,Slavia Sofia,2.11,3.19,3.68,2.36,1.61,2.0,1.86,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/vereya-slavia-sofia-xpY20gI8/,1,3,0
04.12.2016,2016,bulgaria,parva-liga-2016-2017,Beroe,Neftochimic Burgas,1.56,3.7,6.86,2.30,1.61,2.32,1.62,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/beroe-neftochimic-burgas-2Barzxm6/,1,2,0
19.11.2016,2016,bulgaria,parva-liga-2016-2017,Ludogorets,Beroe,1.16,7.46,14.6,1.67,2.23,2.68,1.4,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/ludogorets-beroe-tIvPVMeK/,1,1,0
15.10.2016,2016,bulgaria,parva-liga-2016-2017,Neftochimic Burgas,Slavia Sofia,2.51,3.17,2.74,2.14,1.68,1.76,1.97,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/neftochimic-burgas-slavia-sofia-Q3iL5Zyb/,1,2,0
26.11.2016,2016,bulgaria,parva-liga-2016-2017,Botev Plovdiv,Ludogorets,8.66,5.54,1.31,1.80,1.96,2.1,1.57,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/botev-plovdiv-ludogorets-AiqTUtBQ/,2,4,1
01.04.2017,2017,bulgaria,parva-liga-2016-2017,Beroe,Lok. Plovdiv,2.11,3.14,3.73,2.35,1.58,2.0,1.85,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/beroe-lok-plovdiv-tU4Pfb5T/,1,5,1
25.09.2016,2016,bulgaria,parva-liga-2016-2017,CSKA Sofia,Beroe,1.65,3.84,5.15,2.37,1.60,2.11,1.66,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cska-sofia-beroe-nqPKxy8B/,1,4,0
12.05.2017,2017,bulgaria,parva-liga-2016-2017,Dunav Ruse,Ludogorets,5.85,4.34,1.52,1.56,2.51,1.7,2.26,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/dunav-ruse-ludogorets-rPynwnAN/,0,4,1
15.04.2017,2017,bulgaria,parva-liga-2016-2017,Dunav Ruse,Cherno More,2.34,2.99,3.17,2.16,1.64,1.9,1.98,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/dunav-ruse-cherno-more-QPrfuHZg/,1,1,0
14.10.2016,2016,bulgaria,parva-liga-2016-2017,Cherno More,Vereya,1.43,4.18,7.22,1.98,1.73,2.1,1.67,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cherno-more-vereya-6mYxqCUp/,1,3,1
10.12.2016,2016,bulgaria,parva-liga-2016-2017,Vereya,Levski Sofia,5.56,3.47,1.7,2.44,1.56,2.42,1.62,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/vereya-levski-sofia-8UkcU6Gp/,2,1,0
18.11.2016,2016,bulgaria,parva-liga-2016-2017,Cherno More,Pirin Blagoevgrad,1.4,4.18,9.02,2.20,1.67,2.3,1.5,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cherno-more-pirin-blagoevgrad-CnjMB14l/,0,0,0
22.05.2017,2017,bulgaria,parva-liga-2016-2017,Neftochimic Burgas,Montana,1.48,4.46,6.35,1.70,2.15,1.8,2.1,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/neftochimic-burgas-montana-2sbTUOur/,1,3,1
20.11.2016,2016,bulgaria,parva-liga-2016-2017,Montana,Levski Sofia,11.46,4.69,1.32,2.10,1.71,2.48,1.49,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/montana-levski-sofia-UNpRALJf/,2,4,1
27.11.2016,2016,bulgaria,parva-liga-2016-2017,CSKA Sofia,Vereya,1.2,6.4,15.27,1.93,1.88,3.15,1.37,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cska-sofia-vereya-fPKaPKYm/,0,2,1
15.05.2017,2017,bulgaria,parva-liga-2016-2017,Botev Plovdiv,Beroe,2.28,3.11,3.22,2.23,1.65,1.99,1.89,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/botev-plovdiv-beroe-Gpt2E3e1/,1,3,0
31.10.2016,2016,bulgaria,parva-liga-2016-2017,Pirin Blagoevgrad,Vereya,1.72,3.63,4.5,2.10,1.70,2.0,1.73,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/pirin-blagoevgrad-vereya-pCWvaOKr/,0,2,1
12.03.2017,2017,bulgaria,parva-liga-2016-2017,Pirin Blagoevgrad,Slavia Sofia,1.92,3.4,3.96,1.98,1.80,1.8,2.0,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/pirin-blagoevgrad-slavia-sofia-vVHQh2Ga/,1,4,0
13.12.2016,2016,bulgaria,parva-liga-2016-2017,Montana,Vereya,2.51,3.09,2.91,2.23,1.66,1.91,1.97,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/montana-vereya-4GZalS7G/,0,2,1
02.12.2016,2016,bulgaria,parva-liga-2016-2017,Lok. Plovdiv,Cherno More,2.43,3.03,3.12,2.08,1.75,1.59,2.1,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/lok-plovdiv-cherno-more-882jYFHI/,1,1,0
02.03.2017,2017,bulgaria,parva-liga-2016-2017,Cherno More,Beroe,1.92,2.84,4.03,2.77,1.46,2.38,1.65,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cherno-more-beroe-EPRtgBAr/,1,1,0
15.10.2016,2016,bulgaria,parva-liga-2016-2017,CSKA Sofia,Levski Sofia,2.66,2.95,2.57,2.61,1.42,1.93,1.73,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/cska-sofia-levski-sofia-n3i6lY6N/,0,2,1
23.09.2016,2016,bulgaria,parva-liga-2016-2017,Pirin Blagoevgrad,Montana,1.95,3.03,4.52,2.39,1.59,2.13,1.65,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/pirin-blagoevgrad-montana-f9SSzFxO/,1,1,0
30.11.2016,2016,bulgaria,parva-liga-2016-2017,Pirin Blagoevgrad,Dunav Ruse,2.36,3.02,2.83,2.28,1.64,1.74,2.0,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/pirin-blagoevgrad-dunav-ruse-KnAwyIXa/,1,5,1
06.05.2017,2017,bulgaria,parva-liga-2016-2017,Pirin Blagoevgrad,Beroe,2.4,2.95,3.09,2.43,1.52,2.1,1.8,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/pirin-blagoevgrad-beroe-pSh0vVkg/,0,2,1
30.09.2016,2016,bulgaria,parva-liga-2016-2017,Beroe,Cherno More,2.38,3.06,3.2,2.48,1.55,2.41,1.52,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/beroe-cherno-more-CQdsfxwn/,2,1,0
29.04.2017,2017,bulgaria,parva-liga-2016-2017,Lok. Gorna,Beroe,2.85,2.98,2.54,2.24,1.60,2.0,1.88,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/gorna-beroe-niDPpXCP/,2,1,0
02.10.2016,2016,bulgaria,parva-liga-2016-2017,Levski Sofia,Dunav Ruse,1.38,4.42,7.82,2.00,1.78,2.19,1.62,https://www.oddsportal.com/soccer/bulgaria/parva-liga-2016-2017/levski-sofia-dunav-ruse-6mdogdhh/,1,2,0
