date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
24.10.2016,2016,colombia,liga-aguila-2016,Cortulua,Millonarios,4.59,3.76,1.68,1.85,1.88,1.87,1.89,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/cortulua-millonarios-ltVa7pN4/,2,5,1
04.12.2016,2016,colombia,liga-aguila-2016,Atl. Nacional,Millonarios,1.43,4.69,7.67,1.81,2.03,1.97,1.82,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/atl-nacional-millonarios-AonJEguc/,1,3,0
25.09.2016,2016,colombia,liga-aguila-2016,Dep. Cali,Dep. Pasto,1.46,4.54,7.5,1.88,1.97,1.9,1.86,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/dep-cali-dep-pasto-8UX4clxq/,0,2,1
10.11.2016,2016,colombia,liga-aguila-2016,Atl. Nacional,Junior,1.73,3.65,4.82,1.81,1.95,1.66,2.17,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/atl-nacional-junior-Q9OgZvfO/,0,4,1
20.11.2016,2016,colombia,liga-aguila-2016,Bucaramanga,Huila,1.42,4.21,7.96,2.03,1.79,2.24,1.67,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/bucaramanga-huila-6LNaOxbd/,0,0,0
18.10.2016,2016,colombia,liga-aguila-2016,Once Caldas,La Equidad,1.44,3.94,8.12,2.43,1.55,2.39,1.55,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/once-caldas-la-equidad-l8V1jhnD/,2,2,0
15.12.2016,2016,colombia,liga-aguila-2016,Deportes Tolima,Santa Fe,2.74,3.13,2.74,2.23,1.68,1.96,1.94,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/deportes-tolima-santa-fe-fsn6pyuK/,0,0,0
08.12.2016,2016,colombia,liga-aguila-2016,Santa Fe,Atl. Nacional,1.86,3.36,4.77,2.52,1.55,2.29,1.67,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/santa-fe-atl-nacional-vNZ5FuMB/,0,2,1
27.11.2016,2016,colombia,liga-aguila-2016,Ind. Medellin,Santa Fe,2.07,3.28,4.19,2.42,1.65,2.0,1.84,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/ind-medellin-santa-fe-2uPibYfG/,2,3,1
23.10.2016,2016,colombia,liga-aguila-2016,Ind. Medellin,Atl. Nacional,2.08,3.21,3.64,2.28,1.62,1.95,1.81,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/ind-medellin-atl-nacional-bixmAnwn/,0,4,1
20.11.2016,2016,colombia,liga-aguila-2016,Millonarios,Ind. Medellin,1.96,3.29,3.91,2.06,1.76,1.81,2.01,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/millonarios-ind-medellin-KOBsmMzc/,1,4,1
20.11.2016,2016,colombia,liga-aguila-2016,Atl. Nacional,Dep. Pasto,1.59,3.95,5.36,1.77,2.05,1.59,2.21,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/atl-nacional-dep-pasto-fs4fpKKF/,1,4,1
16.10.2016,2016,colombia,liga-aguila-2016,Deportes Tolima,Patriotas,1.9,3.34,4.14,2.15,1.69,1.83,1.93,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/deportes-tolima-patriotas-MDZpDFgQ/,1,1,0
06.11.2016,2016,colombia,liga-aguila-2016,Cortulua,Junior,3.18,3.26,2.32,2.05,1.78,1.72,2.07,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/cortulua-junior-4x7TVK5M/,2,3,1
16.10.2016,2016,colombia,liga-aguila-2016,Jaguares de Cordoba,Dep. Pasto,2.24,3.13,3.33,2.25,1.63,1.83,1.92,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/jaguares-de-cordoba-dep-pasto-IqLG7gHm/,1,4,1
27.11.2016,2016,colombia,liga-aguila-2016,Patriotas,Deportes Tolima,2.4,3.15,3.23,2.17,1.71,1.74,2.07,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/patriotas-deportes-tolima-tWNechAM/,2,3,1
06.11.2016,2016,colombia,liga-aguila-2016,Ind. Medellin,Chico,1.28,5.52,10.89,1.75,2.11,2.21,1.64,https://www.oddsportal.com/soccer/colombia/liga-aguila-2016/ind-medellin-chico-UJEGYML3/,1,5,1
