date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
01.02.2021,2021,colombia,primera-a,Millonarios,Once Caldas,1.54,3.7,6.19,2.19,1.66,2.19,1.63,https://www.oddsportal.com/soccer/colombia/primera-a/millonarios-once-caldas-UVM7gmFo/,1,7,1
25.02.2021,2021,colombia,primera-a,Santa Fe,Chico,1.45,3.89,7.68,2.28,1.61,2.44,1.51,https://www.oddsportal.com/soccer/colombia/primera-a/santa-fe-chico-rwoAKyya/,1,2,0
14.03.2021,2021,colombia,primera-a,Patriotas,Millonarios,3.98,3.1,2.03,2.42,1.55,2.07,1.71,https://www.oddsportal.com/soccer/colombia/primera-a/patriotas-millonarios-lYWi0Dli/,2,2,0
28.02.2021,2021,colombia,primera-a,Dep. Pasto,America De Cali,2.52,2.98,2.93,2.57,1.50,2.07,1.7,https://www.oddsportal.com/soccer/colombia/primera-a/dep-pasto-america-de-cali-UgmMHZKH/,0,2,1
24.02.2021,2021,colombia,primera-a,Junior,Millonarios,1.96,3.07,4.17,2.47,1.52,2.12,1.67,https://www.oddsportal.com/soccer/colombia/primera-a/junior-millonarios-lMMoK7PI/,1,2,0
28.02.2021,2021,colombia,primera-a,Patriotas,Junior,2.93,3.02,2.49,2.50,1.53,2.02,1.74,https://www.oddsportal.com/soccer/colombia/primera-a/patriotas-junior-vLrXZGzn/,1,1,0
19.02.2021,2021,colombia,primera-a,America De Cali,Santa Fe,2.88,2.8,2.7,2.81,1.43,2.21,1.63,https://www.oddsportal.com/soccer/colombia/primera-a/america-de-cali-santa-fe-dtZkNIZr/,0,0,0
07.03.2021,2021,colombia,primera-a,Jaguares de Cordoba,Patriotas,1.83,3.28,4.45,2.15,1.71,1.96,1.78,https://www.oddsportal.com/soccer/colombia/primera-a/jaguares-de-cordoba-patriotas-U9ypXEK4/,1,5,1
12.03.2021,2021,colombia,primera-a,La Equidad,Envigado,1.83,3.16,4.84,2.66,1.47,2.34,1.56,https://www.oddsportal.com/soccer/colombia/primera-a/la-equidad-envigado-MRv6xAdp/,1,4,1
20.02.2021,2021,colombia,primera-a,Pereira,Aguilas,3.27,3.01,2.3,2.17,1.67,1.85,1.88,https://www.oddsportal.com/soccer/colombia/primera-a/dep-pereira-rionegro-aguilas-hSElrKB8/,0,0,0
21.02.2021,2021,colombia,primera-a,Dep. Pasto,Jaguares de Cordoba,1.45,3.98,7.58,2.25,1.63,2.39,1.53,https://www.oddsportal.com/soccer/colombia/primera-a/dep-pasto-jaguares-de-cordoba-QLQ6JzZ7/,0,4,1
30.01.2021,2021,colombia,primera-a,Aguilas,Santa Fe,3.21,2.79,2.49,2.62,1.48,2.09,1.69,https://www.oddsportal.com/soccer/colombia/primera-a/rionegro-aguilas-santa-fe-ryImlhw6/,2,2,0
03.02.2021,2021,colombia,primera-a,La Equidad,Junior,3.01,2.62,2.78,2.86,1.40,2.25,1.6,https://www.oddsportal.com/soccer/colombia/primera-a/la-equidad-junior-j5DSlPTG/,1,1,0
02.02.2021,2021,colombia,primera-a,Chico,Dep. Cali,5.02,3.05,1.81,2.41,1.56,2.11,1.68,https://www.oddsportal.com/soccer/colombia/primera-a/chico-dep-cali-nX6ym3bT/,2,1,0
14.02.2021,2021,colombia,primera-a,Santa Fe,Bucaramanga,1.42,3.87,8.87,2.25,1.63,2.49,1.5,https://www.oddsportal.com/soccer/colombia/primera-a/santa-fe-bucaramanga-rw9G8JKk/,1,2,0
20.02.2021,2021,colombia,primera-a,Deportes Tolima,Patriotas,1.37,4.24,8.15,2.09,1.73,2.38,1.54,https://www.oddsportal.com/soccer/colombia/primera-a/deportes-tolima-patriotas-46xbLd4e/,1,4,1
10.02.2021,2021,colombia,primera-a,Aguilas,Dep. Pasto,2.51,2.8,3.15,2.49,1.51,2.04,1.72,https://www.oddsportal.com/soccer/colombia/primera-a/rionegro-aguilas-dep-pasto-QNRA12DM/,0,2,1
13.03.2021,2021,colombia,primera-a,Dep. Pasto,Petrolera,1.46,4.1,7.05,2.11,1.74,2.15,1.66,https://www.oddsportal.com/soccer/colombia/primera-a/dep-pasto-petrolera-rJlWrCJG/,1,1,0
01.02.2021,2021,colombia,primera-a,Bucaramanga,Ind. Medellin,2.5,2.92,3.03,2.41,1.55,1.99,1.76,https://www.oddsportal.com/soccer/colombia/primera-a/bucaramanga-ind-medellin-lEIqkYNa/,2,1,0
24.02.2021,2021,colombia,primera-a,America De Cali,Envigado,1.59,3.43,6.47,2.39,1.56,2.34,1.55,https://www.oddsportal.com/soccer/colombia/primera-a/america-de-cali-envigado-0Ee5LHLh/,0,0,0
07.02.2021,2021,colombia,primera-a,Atl. Nacional,Chico,1.3,4.68,10.51,1.94,1.85,2.5,1.5,https://www.oddsportal.com/soccer/colombia/primera-a/atl-nacional-chico-fcWE0MSS/,1,2,0
