date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
10.12.2020,2020,colombia,primera-a-2020,Envigado,Pereira,2.99,2.97,2.49,2.34,1.58,1.93,1.8,https://www.oddsportal.com/soccer/colombia/primera-a-2020/envigado-dep-pereira-jRpQ6B3o/,2,1,0
27.11.2020,2020,colombia,primera-a-2020,Bucaramanga,Petrolera,2.67,2.74,3.01,2.60,1.49,2.1,1.69,https://www.oddsportal.com/soccer/colombia/primera-a-2020/bucaramanga-petrolera-voYUi69o/,1,5,1
02.11.2020,2020,colombia,primera-a-2020,Ind. Medellin,Once Caldas,2.49,3.12,2.84,2.12,1.68,1.83,1.9,https://www.oddsportal.com/soccer/colombia/primera-a-2020/ind-medellin-once-caldas-tYKfqVJk/,0,2,1
19.09.2020,2020,colombia,primera-a-2020,Pereira,Santa Fe,3.27,2.96,2.32,2.61,1.45,2.13,1.66,https://www.oddsportal.com/soccer/colombia/primera-a-2020/dep-pereira-santa-fe-xIH0esCi/,2,3,1
05.12.2020,2020,colombia,primera-a-2020,Patriotas,Millonarios,5.24,3.58,1.64,2.17,1.68,2.14,1.66,https://www.oddsportal.com/soccer/colombia/primera-a-2020/patriotas-millonarios-K6xs3T2A/,2,5,1
18.10.2020,2020,colombia,primera-a-2020,Atl. Nacional,America De Cali,2.04,3.37,3.51,1.88,1.93,1.72,2.04,https://www.oddsportal.com/soccer/colombia/primera-a-2020/atl-nacional-america-de-cali-zXFtxECM/,0,4,1
07.11.2020,2020,colombia,primera-a-2020,Deportes Tolima,Chico,1.46,4.07,6.91,2.13,1.71,2.3,1.58,https://www.oddsportal.com/soccer/colombia/primera-a-2020/deportes-tolima-chico-CjYvGTfR/,1,2,0
19.09.2020,2020,colombia,primera-a-2020,Petrolera,Ind. Medellin,2.03,3.1,3.84,2.54,1.50,2.17,1.64,https://www.oddsportal.com/soccer/colombia/primera-a-2020/petrolera-ind-medellin-bRIddNdo/,1,1,0
11.11.2020,2020,colombia,primera-a-2020,Dep. Cali,Envigado,1.43,4.11,7.33,2.03,1.78,2.2,1.62,https://www.oddsportal.com/soccer/colombia/primera-a-2020/dep-cali-envigado-zkwK6PHD/,1,3,0
01.03.2020,2020,colombia,primera-a-2020,Aguilas,Envigado,2.02,3.06,4.01,2.56,1.51,2.17,1.64,https://www.oddsportal.com/soccer/colombia/primera-a-2020/rionegro-aguilas-envigado-4f6AtEoI/,0,2,1
07.03.2020,2020,colombia,primera-a-2020,Once Caldas,America De Cali,1.4,4.23,8.36,2.26,1.63,2.6,1.46,https://www.oddsportal.com/soccer/colombia/primera-a-2020/once-caldas-america-de-cali-p0M0Lql4/,0,2,1
11.11.2020,2020,colombia,primera-a-2020,Jaguares de Cordoba,Junior,4.16,3.02,1.98,2.38,1.57,2.05,1.71,https://www.oddsportal.com/soccer/colombia/primera-a-2020/jaguares-de-cordoba-junior-GnRTckjt/,0,4,1
01.03.2020,2020,colombia,primera-a-2020,Petrolera,Deportes Tolima,2.4,2.89,3.25,2.62,1.47,2.13,1.66,https://www.oddsportal.com/soccer/colombia/primera-a-2020/petrolera-deportes-tolima-Iw4bqG1a/,2,1,0
04.11.2020,2020,colombia,primera-a-2020,Petrolera,Patriotas,1.57,3.63,6.0,2.35,1.56,2.37,1.54,https://www.oddsportal.com/soccer/colombia/primera-a-2020/petrolera-patriotas-2LEd3jBL/,0,0,0
04.03.2020,2020,colombia,primera-a-2020,Millonarios,Santa Fe,2.88,2.89,2.65,2.62,1.48,2.06,1.69,https://www.oddsportal.com/soccer/colombia/primera-a-2020/millonarios-santa-fe-dOFkoxXn/,0,0,0
11.11.2020,2020,colombia,primera-a-2020,Santa Fe,Deportes Tolima,2.66,2.71,3.01,2.82,1.42,2.23,1.59,https://www.oddsportal.com/soccer/colombia/primera-a-2020/santa-fe-deportes-tolima-SOZB8om1/,1,1,0
15.11.2020,2020,colombia,primera-a-2020,Bucaramanga,Santa Fe,2.83,3.08,2.5,2.01,1.81,1.76,1.99,https://www.oddsportal.com/soccer/colombia/primera-a-2020/bucaramanga-santa-fe-h6cN7QJ4/,2,3,1
07.11.2020,2020,colombia,primera-a-2020,Aguilas,Cucuta,1.41,4.04,8.1,2.16,1.70,2.4,1.53,https://www.oddsportal.com/soccer/colombia/primera-a-2020/rionegro-aguilas-cucuta-xYuSIVA8/,1,3,1
01.03.2020,2020,colombia,primera-a-2020,Cucuta,Bucaramanga,3.32,3.07,2.26,2.40,1.55,2.05,1.71,https://www.oddsportal.com/soccer/colombia/primera-a-2020/cucuta-bucaramanga-Wt82rzH5/,2,1,0
31.10.2020,2020,colombia,primera-a-2020,Jaguares de Cordoba,Envigado,2.19,2.91,3.65,2.70,1.44,2.21,1.61,https://www.oddsportal.com/soccer/colombia/primera-a-2020/jaguares-de-cordoba-envigado-G4Cp6hR2/,0,0,0
08.03.2020,2020,colombia,primera-a-2020,Envigado,Aguilas,2.27,3.04,3.43,2.61,1.51,2.12,1.69,https://www.oddsportal.com/soccer/colombia/primera-a-2020/envigado-rionegro-aguilas-QPrsfXFH/,0,4,1
01.11.2020,2020,colombia,primera-a-2020,La Equidad,Aguilas,2.06,2.98,4.0,2.43,1.55,2.06,1.71,https://www.oddsportal.com/soccer/colombia/primera-a-2020/la-equidad-rionegro-aguilas-U7Gl5Ct9/,0,0,0
10.12.2020,2020,colombia,primera-a-2020,Once Caldas,Patriotas,1.72,3.6,4.64,1.90,1.85,1.88,1.86,https://www.oddsportal.com/soccer/colombia/primera-a-2020/once-caldas-patriotas-bilY4kYc/,1,2,0
01.11.2020,2020,colombia,primera-a-2020,Dep. Pasto,Santa Fe,2.54,2.63,3.34,2.82,1.41,2.28,1.58,https://www.oddsportal.com/soccer/colombia/primera-a-2020/dep-pasto-santa-fe-2sMjpB4q/,0,2,1
27.12.2020,2020,colombia,primera-a-2020,Santa Fe,America De Cali,1.75,3.35,4.98,2.34,1.59,2.17,1.65,https://www.oddsportal.com/soccer/colombia/primera-a-2020/santa-fe-america-de-cali-A3ZL5k3b/,1,2,0
17.10.2020,2020,colombia,primera-a-2020,Cucuta,Envigado,3.2,2.8,2.48,2.67,1.46,2.16,1.65,https://www.oddsportal.com/soccer/colombia/primera-a-2020/cucuta-envigado-6iOPudDc/,1,1,0
01.11.2020,2020,colombia,primera-a-2020,Cucuta,Junior,5.51,3.53,1.65,2.20,1.67,2.14,1.67,https://www.oddsportal.com/soccer/colombia/primera-a-2020/cucuta-junior-OUFh4WeF/,2,5,1
29.11.2020,2020,colombia,primera-a-2020,Santa Fe,Dep. Pasto,1.67,3.32,5.75,2.66,1.47,2.52,1.48,https://www.oddsportal.com/soccer/colombia/primera-a-2020/santa-fe-dep-pasto-r9NhK7eH/,1,2,0
08.11.2020,2020,colombia,primera-a-2020,America De Cali,Millonarios,2.13,3.03,3.65,2.64,1.48,2.13,1.63,https://www.oddsportal.com/soccer/colombia/primera-a-2020/america-de-cali-millonarios-S2byd83e/,2,2,0
13.12.2020,2020,colombia,primera-a-2020,Santa Fe,La Equidad,1.71,3.27,5.36,2.59,1.48,2.34,1.55,https://www.oddsportal.com/soccer/colombia/primera-a-2020/santa-fe-la-equidad-QHp4QU2h/,1,3,1
08.11.2020,2020,colombia,primera-a-2020,Once Caldas,Dep. Cali,4.08,2.96,1.95,2.21,1.70,1.98,1.77,https://www.oddsportal.com/soccer/colombia/primera-a-2020/once-caldas-dep-cali-UVK6Bm3r/,0,2,1
10.12.2020,2020,colombia,primera-a-2020,Aguilas,Ind. Medellin,2.01,3.32,3.67,1.93,1.85,1.78,1.97,https://www.oddsportal.com/soccer/colombia/primera-a-2020/rionegro-aguilas-ind-medellin-lM6srSQp/,1,3,1
07.11.2020,2020,colombia,primera-a-2020,Bucaramanga,Jaguares de Cordoba,2.13,3.02,3.7,2.36,1.58,2.03,1.73,https://www.oddsportal.com/soccer/colombia/primera-a-2020/bucaramanga-jaguares-de-cordoba-bmUzH9uL/,0,4,1
25.10.2020,2020,colombia,primera-a-2020,Junior,Millonarios,1.94,3.02,4.39,2.73,1.42,2.31,1.57,https://www.oddsportal.com/soccer/colombia/primera-a-2020/junior-millonarios-lvdHVBkj/,0,2,1
09.11.2020,2020,colombia,primera-a-2020,Atl. Nacional,Dep. Pasto,1.8,3.39,4.49,2.02,1.80,1.9,1.84,https://www.oddsportal.com/soccer/colombia/primera-a-2020/atl-nacional-dep-pasto-GSfXdllk/,1,1,0
19.10.2020,2020,colombia,primera-a-2020,Petrolera,Aguilas,2.11,2.95,3.89,2.59,1.50,2.19,1.64,https://www.oddsportal.com/soccer/colombia/primera-a-2020/petrolera-rionegro-aguilas-0ENTvGS3/,2,1,0
15.02.2020,2020,colombia,primera-a-2020,Millonarios,Chico,1.6,3.68,5.77,2.13,1.71,2.11,1.67,https://www.oddsportal.com/soccer/colombia/primera-a-2020/millonarios-chico-EPc5yS3L/,1,3,1
