date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
16.05.2017,2017,croatia,1-hnl-2016-2017,Cibalia,Osijek,2.75,3.44,2.44,1.96,1.86,1.76,2.11,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/cibalia-osijek-KM2e0nN9/,0,2,1
27.05.2017,2017,croatia,1-hnl-2016-2017,Zapresic,Istra 1961,2.2,3.26,3.17,1.96,1.83,1.73,2.1,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/zapresic-istra-1961-lIrzCqML/,2,3,0
26.04.2017,2017,croatia,1-hnl-2016-2017,Lok. Zagreb,Istra 1961,2.1,3.41,3.35,1.91,1.91,1.73,2.22,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/lok-zagreb-istra-1961-Gltt2my0/,1,1,0
09.04.2017,2017,croatia,1-hnl-2016-2017,Istra 1961,Zapresic,2.07,3.18,3.83,2.54,1.52,2.23,1.72,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/istra-1961-zapresic-CtJuZl7D/,1,1,0
31.10.2016,2016,croatia,1-hnl-2016-2017,Cibalia,RNK Split,1.97,3.09,4.24,2.57,1.50,2.1,1.7,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/cibalia-rnk-split-6scHbKTE/,1,1,0
26.11.2016,2016,croatia,1-hnl-2016-2017,Istra 1961,RNK Split,1.54,3.62,7.87,2.63,1.49,2.46,1.52,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/istra-1961-rnk-split-fqqilRBO/,1,1,0
23.10.2016,2016,croatia,1-hnl-2016-2017,Osijek,Lok. Zagreb,2.12,3.19,2.96,1.95,1.84,1.73,2.02,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/osijek-lok-zagreb-YTb90ta2/,1,1,0
21.05.2017,2017,croatia,1-hnl-2016-2017,Rijeka,Cibalia,1.08,11.08,26.42,1.32,3.29,2.8,1.48,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/rijeka-cibalia-hWbXiOUk/,1,4,0
21.10.2016,2016,croatia,1-hnl-2016-2017,RNK Split,Slaven Belupo,3.36,2.82,2.4,2.82,1.42,2.08,1.72,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/rnk-split-slaven-belupo-CKcDa0E8/,1,3,0
07.05.2017,2017,croatia,1-hnl-2016-2017,Cibalia,RNK Split,2.16,2.93,3.72,2.83,1.43,2.48,1.59,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/cibalia-rnk-split-WOYC4tcb/,1,1,0
22.10.2016,2016,croatia,1-hnl-2016-2017,Istra 1961,Hajduk Split,4.41,3.39,1.83,2.00,1.80,1.83,1.86,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/istra-1961-hajduk-split-W86zhle2/,0,0,0
14.04.2017,2017,croatia,1-hnl-2016-2017,Lok. Zagreb,D. Zagreb,26.78,8.04,1.12,1.66,2.23,3.0,1.41,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/lok-zagreb-din-zagreb-tWRckAif/,2,3,1
22.10.2016,2016,croatia,1-hnl-2016-2017,D. Zagreb,Cibalia,1.11,8.35,22.0,1.44,2.67,2.32,1.58,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/din-zagreb-cibalia-be8SgAQk/,1,3,0
13.05.2017,2017,croatia,1-hnl-2016-2017,Rijeka,Hajduk Split,1.57,3.76,5.77,2.07,1.75,2.16,1.77,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/rijeka-hajduk-split-WnHaexKp/,1,2,0
21.04.2017,2017,croatia,1-hnl-2016-2017,Osijek,Zapresic,1.32,4.97,10.73,2.03,1.76,2.74,1.5,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/osijek-zapresic-CGccABTJ/,1,3,1
26.05.2017,2017,croatia,1-hnl-2016-2017,RNK Split,Osijek,2.36,3.08,2.95,2.27,1.63,2.0,1.84,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/rnk-split-osijek-YkK66Nqq/,2,1,0
15.04.2017,2017,croatia,1-hnl-2016-2017,Zapresic,Slaven Belupo,3.42,2.93,2.36,2.64,1.50,2.17,1.76,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/zapresic-slaven-belupo-SSNgjjxl/,0,2,1
29.04.2017,2017,croatia,1-hnl-2016-2017,Rijeka,Zapresic,1.13,7.79,22.45,1.62,2.29,3.0,1.4,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/rijeka-zapresic-6wZhaoLI/,1,2,0
20.05.2017,2017,croatia,1-hnl-2016-2017,Hajduk Split,Zapresic,1.21,6.65,14.54,1.48,2.61,2.31,1.67,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/hajduk-split-zapresic-CKszg4Fq/,1,6,0
06.05.2017,2017,croatia,1-hnl-2016-2017,Lok. Zagreb,Rijeka,7.49,4.14,1.44,2.09,1.73,2.43,1.62,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/lok-zagreb-rijeka-IuyP1vsH/,1,1,0
06.05.2017,2017,croatia,1-hnl-2016-2017,Hajduk Split,Osijek,1.63,3.73,5.63,1.96,1.82,2.06,1.84,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/hajduk-split-osijek-pSxH30C4/,1,6,1
16.05.2017,2017,croatia,1-hnl-2016-2017,Hajduk Split,Lok. Zagreb,1.31,5.4,9.05,1.66,2.21,2.06,1.83,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/hajduk-split-lok-zagreb-2oh0a6xG/,0,2,1
01.05.2017,2017,croatia,1-hnl-2016-2017,Osijek,Lok. Zagreb,1.74,3.43,4.73,2.10,1.72,2.0,1.81,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/osijek-lok-zagreb-A9p462So/,1,1,0
04.11.2016,2016,croatia,1-hnl-2016-2017,Lok. Zagreb,Zapresic,1.66,3.94,5.09,1.58,2.38,1.5,2.53,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/lok-zagreb-zapresic-tbAAylSI/,2,1,0
08.04.2017,2017,croatia,1-hnl-2016-2017,Rijeka,D. Zagreb,2.68,3.05,2.8,2.34,1.62,1.93,1.94,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/rijeka-din-zagreb-bwFyzVi7/,0,2,1
24.09.2016,2016,croatia,1-hnl-2016-2017,Hajduk Split,Cibalia,1.21,6.95,14.5,1.54,2.48,2.28,1.6,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/hajduk-split-cibalia-WQe2keZ3/,1,7,1
26.05.2017,2017,croatia,1-hnl-2016-2017,Cibalia,Lok. Zagreb,1.7,3.55,4.37,1.71,2.15,1.7,2.1,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/cibalia-lok-zagreb-KrvWCP6F/,0,2,1
21.05.2017,2017,croatia,1-hnl-2016-2017,Osijek,D. Zagreb,4.8,3.68,1.75,2.14,1.70,2.11,1.78,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/osijek-din-zagreb-bTkNEox3/,2,1,0
20.05.2017,2017,croatia,1-hnl-2016-2017,Lok. Zagreb,Slaven Belupo,2.15,3.21,3.41,2.05,1.77,1.9,1.98,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/lok-zagreb-slaven-belupo-pQoJFRMd/,1,3,1
17.05.2017,2017,croatia,1-hnl-2016-2017,D. Zagreb,Istra 1961,1.08,9.41,37.02,1.50,2.54,3.54,1.35,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/din-zagreb-istra-1961-tW3i1S73/,1,3,1
25.11.2016,2016,croatia,1-hnl-2016-2017,Lok. Zagreb,Slaven Belupo,1.96,3.38,4.02,1.99,1.85,1.65,2.19,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/lok-zagreb-slaven-belupo-dlNZCAlP/,2,2,0
17.05.2017,2017,croatia,1-hnl-2016-2017,Zapresic,RNK Split,2.23,3.15,3.41,2.58,1.51,2.2,1.72,https://www.oddsportal.com/soccer/croatia/1-hnl-2016-2017/zapresic-rnk-split-Gld4bQiM/,1,1,0
