date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
21.09.2016,2016,croatia,croatian-cup-2016-2017,Vukovar 1991,Osijek,12.0,8.0,1.17,1.93,1.84,2.3,1.53,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/zapresic-din-zagreb-8hW6q0Bn/,2,5,1
25.10.2016,2016,croatia,croatian-cup-2016-2017,Novigrad,Slaven Belupo,4.2,3.62,1.76,1.77,1.99,1.77,1.98,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/novigrad-slaven-belupo-Sr4aE17l/,2,1,0
26.10.2016,2016,croatia,croatian-cup-2016-2017,Sibenik,Osijek,6.59,4.85,1.38,1.47,2.51,1.65,2.16,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/sibenik-osijek-M533DLMf/,2,3,1
21.09.2016,2016,croatia,croatian-cup-2016-2017,Bjelovar,NK Zagreb,8.4,4.94,1.35,1.76,2.06,2.21,1.76,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/rijeka-osijek-UTFiavaM/,1,4,0
25.10.2016,2016,croatia,croatian-cup-2016-2017,Bjelovar,D. Zagreb,18.0,12.5,1.07,1.12,5.30,1.76,1.96,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/bjelovar-din-zagreb-fimNXk89/,2,3,1
01.03.2017,2017,croatia,croatian-cup-2016-2017,D. Zagreb,RNK Split,1.14,7.91,19.93,1.48,2.62,2.61,1.53,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/din-zagreb-rnk-split-jwHm0KqG/,1,6,0
26.10.2016,2016,croatia,croatian-cup-2016-2017,Zapresic,Cibalia,1.69,2.46,4.46,1.88,1.96,1.76,2.0,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/zapresic-cibalia-IXdCBai7/,1,1,0
20.09.2016,2016,croatia,croatian-cup-2016-2017,Krk,Lok. Zagreb,8.7,2.94,1.56,2.07,1.71,1.91,1.82,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/osijek-slaven-belupo-f9YItbe5/,2,3,1
21.09.2016,2016,croatia,croatian-cup-2016-2017,Pleternica,RNK Split,5.2,4.52,1.54,1.36,2.88,1.88,1.71,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/solin-hajduk-split-YsnRW9NF/,2,3,1
21.09.2016,2016,croatia,croatian-cup-2016-2017,Jalzabet,Hajduk Split,26.0,15.0,1.05,1.60,2.26,2.31,1.57,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/vinogradar-lok-zagreb-z977Cux1/,2,6,0
29.11.2016,2016,croatia,croatian-cup-2016-2017,Lok. Zagreb,Rijeka,5.57,3.73,1.64,2.01,1.80,1.82,1.94,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/lok-zagreb-rijeka-t6UEsvta/,2,4,1
21.09.2016,2016,croatia,croatian-cup-2016-2017,Rudes,GOSK Dubrovnik,1.27,6.7,8.2,2.13,1.73,1.88,1.97,https://www.oddsportal.com/soccer/croatia/croatian-cup-2016-2017/din-zagreb-rijeka-SQM6r4cb/,1,3,0
