date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
01.02.2017,2017,cyprus,cyprus-cup-2016-2017,Apollon,Zakakiou,1.08,9.41,24.5,1.29,3.43,2.5,1.58,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/apollon-limassol-ae-zakakiou-ETLBZecm/,1,2,0
11.01.2017,2017,cyprus,cyprus-cup-2016-2017,Ol. Nicosia,Ethn. Assias,1.21,5.73,11.0,1.60,2.29,2.28,1.69,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/ol-nicosia-ethn-assias-r3QFYFCg/,1,2,0
18.01.2017,2017,cyprus,cyprus-cup-2016-2017,Achnas,Omonia,4.57,4.02,1.63,1.69,2.13,1.71,2.2,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/achnas-omonia-4xw6qXQB/,0,2,1
08.03.2017,2017,cyprus,cyprus-cup-2016-2017,Anorthosis,AEK Larnaca,2.86,3.4,2.52,1.98,1.88,1.76,2.02,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/anorthosis-aek-larnaca-SSk9Y54h/,0,4,1
30.11.2016,2016,cyprus,cyprus-cup-2016-2017,Nea Salamis,Paeek,1.17,7.21,11.5,1.44,2.72,2.2,1.51,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/nea-salamis-paeek-newEQChb/,1,2,0
18.01.2017,2017,cyprus,cyprus-cup-2016-2017,APOEL,Nea Salamis,1.15,7.13,13.25,1.52,2.49,2.72,1.51,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/apoel-nea-salamis-UepuuIZP/,1,3,1
05.04.2017,2017,cyprus,cyprus-cup-2016-2017,APOEL,AEL Limassol,1.44,4.38,6.71,2.05,1.76,2.22,1.72,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/apoel-ael-limassol-W0d0zSZu/,0,0,0
24.05.2017,2017,cyprus,cyprus-cup-2016-2017,APOEL,Apollon,2.03,3.29,3.66,2.12,1.73,1.95,1.91,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/apoel-apollon-limassol-rav1BxED/,2,1,0
26.10.2016,2016,cyprus,cyprus-cup-2016-2017,Paralimni,Zakakiou,2.76,3.31,2.46,1.94,1.83,1.72,2.03,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/paralimni-ae-zakakiou-K8Fj9BNN/,2,6,1
08.02.2017,2017,cyprus,cyprus-cup-2016-2017,Anagennisi Derynia,Doxa,2.97,3.09,2.42,2.17,1.67,1.87,2.02,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/anagennisi-derynia-doxa-ILvbogda/,2,3,0
11.01.2017,2017,cyprus,cyprus-cup-2016-2017,Aris,AEL Limassol,7.26,5.12,1.35,1.88,1.89,2.29,1.68,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/aris-ael-limassol-zwN7zxrs/,2,2,0
26.10.2016,2016,cyprus,cyprus-cup-2016-2017,Aris,Chloraka,1.29,5.27,9.66,1.56,2.38,1.82,1.9,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/aris-akritas-chloraka-YiDvCDw5/,1,6,0
01.02.2017,2017,cyprus,cyprus-cup-2016-2017,Doxa,Anagennisi Derynia,1.82,3.23,4.45,1.97,1.81,1.86,2.0,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/doxa-anagennisi-derynia-4IEOWgs6/,1,3,1
15.02.2017,2017,cyprus,cyprus-cup-2016-2017,Omonia,Apollon,3.32,2.9,2.17,1.94,1.68,1.87,2.02,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/omonia-apollon-limassol-p404Zokn/,0,4,1
25.01.2017,2017,cyprus,cyprus-cup-2016-2017,ASIL Lysi,Anorthosis,9.37,6.1,1.23,1.29,3.39,1.63,2.41,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/asil-lysi-anorthosis-zckgnZtg/,2,5,0
22.02.2017,2017,cyprus,cyprus-cup-2016-2017,Ol. Nicosia,Doxa,4.05,3.53,1.65,1.86,1.93,1.8,2.01,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/ol-nicosia-doxa-fuLfFr4U/,0,2,1
25.01.2017,2017,cyprus,cyprus-cup-2016-2017,Nea Salamis,APOEL,7.79,5.05,1.32,1.59,2.32,1.84,1.95,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/nea-salamis-apoel-l6GzUiRO/,2,3,1
11.01.2017,2017,cyprus,cyprus-cup-2016-2017,Omonia,Achnas,1.3,5.32,8.13,1.39,2.92,1.65,2.36,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/omonia-achnas-AFHWUXBI/,0,0,0
11.01.2017,2017,cyprus,cyprus-cup-2016-2017,AEK Larnaca,Karmiotissa,1.15,7.28,12.25,1.48,2.53,2.6,1.54,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/aek-larnaca-karmiotissa-GhISVDdC/,1,3,1
18.01.2017,2017,cyprus,cyprus-cup-2016-2017,Karmiotissa,AEK Larnaca,10.5,5.71,1.21,1.47,2.55,2.11,1.8,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/karmiotissa-aek-larnaca-dCw2pDB5/,2,7,1
22.02.2017,2017,cyprus,cyprus-cup-2016-2017,AEK Larnaca,Anorthosis,2.01,3.4,3.64,1.98,1.81,1.8,2.03,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/aek-larnaca-anorthosis-GlMjGOlO/,2,4,1
18.01.2017,2017,cyprus,cyprus-cup-2016-2017,Ethn. Assias,Ol. Nicosia,6.35,4.78,1.44,1.80,2.03,1.98,1.84,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/ethn-assias-ol-nicosia-MgokmFRn/,2,3,0
26.10.2016,2016,cyprus,cyprus-cup-2016-2017,Karmiotissa,Ayia Napa,1.29,5.7,9.1,1.61,2.02,1.94,1.79,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/karmiotissa-ayia-napa-xpAe8VxU/,1,4,1
26.04.2017,2017,cyprus,cyprus-cup-2016-2017,Doxa,APOEL,8.72,5.4,1.32,1.65,2.25,2.1,1.76,https://www.oddsportal.com/soccer/cyprus/cyprus-cup-2016-2017/doxa-apoel-QyVQj0IL/,2,2,0
