date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.05.2017,2017,cyprus,first-division-2016-2017,Achnas,Doxa,4.36,4.8,1.57,1.62,2.31,1.57,2.3,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/achnas-doxa-W2mYzKaT/,2,4,0
30.01.2017,2017,cyprus,first-division-2016-2017,AEL Limassol,Aris,1.28,5.36,10.37,1.67,2.17,2.23,1.72,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/ael-limassol-aris-O6eYkVui/,1,3,0
16.10.2016,2016,cyprus,first-division-2016-2017,Ermis,Apollon,4.8,3.65,1.7,1.84,1.94,1.8,1.97,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/ermis-apollon-limassol-Y3DAi94R/,1,5,1
14.05.2017,2017,cyprus,first-division-2016-2017,Apollon,Anorthosis,1.44,4.81,6.48,1.81,1.99,2.17,1.75,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/apollon-limassol-anorthosis-GnVNUQWu/,0,2,1
13.03.2017,2017,cyprus,first-division-2016-2017,AEK Larnaca,Omonia,1.85,3.36,3.58,1.68,2.00,1.65,2.23,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/aek-larnaca-omonia-jybCEg4b/,0,2,1
22.10.2016,2016,cyprus,first-division-2016-2017,Nea Salamis,Omonia,5.33,4.02,1.59,1.93,1.86,1.94,1.82,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/nea-salamis-omonia-Q1hkpRd1/,0,2,1
27.11.2016,2016,cyprus,first-division-2016-2017,Aris,Doxa,2.46,2.87,2.81,2.17,1.68,1.72,2.08,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/aris-doxa-QDMpAEGN/,1,4,0
11.02.2017,2017,cyprus,first-division-2016-2017,Ermis,Aris,1.89,3.52,3.96,1.77,2.05,1.63,2.22,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/ermis-aris-S41XbQOL/,2,3,1
23.10.2016,2016,cyprus,first-division-2016-2017,Aris,AEL Limassol,7.69,4.57,1.39,2.03,1.78,2.22,1.63,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/aris-ael-limassol-4higqoC7/,2,3,0
05.03.2017,2017,cyprus,first-division-2016-2017,AEL Limassol,Ermis,1.25,5.19,9.5,1.69,2.13,1.83,2.03,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/ael-limassol-ermis-bN8CKtor/,2,3,1
12.03.2017,2017,cyprus,first-division-2016-2017,Doxa,Ermis,1.27,5.01,9.7,1.86,1.93,2.44,1.61,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/doxa-ermis-fo63COvS/,1,3,1
25.09.2016,2016,cyprus,first-division-2016-2017,AEK Larnaca,Anorthosis,1.96,3.03,3.2,2.03,1.84,1.75,2.03,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/aek-larnaca-anorthosis-nTSRz22j/,1,5,1
26.02.2017,2017,cyprus,first-division-2016-2017,Ermis,AEK Larnaca,4.91,3.63,1.59,1.93,1.86,2.0,1.83,https://www.oddsportal.com/soccer/cyprus/first-division-2016-2017/ermis-aek-larnaca-6PTXROh8/,2,5,1
