date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
26.02.2017,2017,england,efl-cup-2016-2017,Manchester Utd,Southampton,1.74,3.69,5.37,2.12,1.78,2.01,1.91,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/manchester-united-southampton-YDvDmUNi/,1,5,1
20.09.2016,2016,england,efl-cup-2016-2017,Everton,Norwich,1.3,5.55,8.7,1.54,2.69,1.67,2.11,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/everton-norwich-dfMuJke9/,2,2,0
21.09.2016,2016,england,efl-cup-2016-2017,Southampton,Crystal Palace,2.1,3.56,3.84,1.96,1.96,1.7,2.15,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/southampton-crystal-palace-vaysblJq/,1,2,0
25.10.2016,2016,england,efl-cup-2016-2017,Liverpool,Tottenham,1.78,3.81,4.57,1.71,2.17,1.57,2.41,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/liverpool-tottenham-pQerSQze/,1,3,1
25.10.2016,2016,england,efl-cup-2016-2017,Newcastle,Preston,1.42,4.63,7.99,1.81,2.02,1.91,1.82,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/newcastle-utd-preston-fewZllr8/,1,6,0
30.11.2016,2016,england,efl-cup-2016-2017,Manchester Utd,West Ham,1.36,5.33,9.12,1.66,2.30,1.95,1.92,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/manchester-united-west-ham-b9yPpkzI/,1,5,1
20.09.2016,2016,england,efl-cup-2016-2017,Newcastle,Wolves,1.63,4.2,5.95,1.80,2.15,1.74,2.09,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/newcastle-utd-wolves-I9AlHTPL/,1,2,0
25.01.2017,2017,england,efl-cup-2016-2017,Liverpool,Southampton,1.49,4.51,7.15,1.82,2.07,1.99,1.92,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/liverpool-southampton-MN4UL9Po/,2,1,0
26.01.2017,2017,england,efl-cup-2016-2017,Hull,Manchester Utd,7.66,4.61,1.46,1.80,2.09,2.02,1.9,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/hull-city-manchester-united-KIQocQno/,1,3,1
21.09.2016,2016,england,efl-cup-2016-2017,Swansea,Manchester City,6.9,4.9,1.45,1.64,2.44,1.7,2.15,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/swansea-manchester-city-YLzoc8Yk/,2,3,1
20.09.2016,2016,england,efl-cup-2016-2017,Derby,Liverpool,10.5,5.6,1.28,1.66,2.38,1.94,1.86,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/derby-liverpool-zoLqI9AF/,2,3,0
20.09.2016,2016,england,efl-cup-2016-2017,Leeds,Blackburn,2.0,3.64,4.1,2.02,1.90,1.75,2.05,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/leeds-blackburn-WxKE4jtG/,1,1,0
20.09.2016,2016,england,efl-cup-2016-2017,Brighton,Reading,2.13,3.44,3.88,2.11,1.83,1.8,1.93,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/brighton-reading-nP0KB7mq/,2,3,1
21.09.2016,2016,england,efl-cup-2016-2017,Northampton,Manchester Utd,17.0,7.7,1.17,1.50,2.83,2.2,1.64,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/northampton-manchester-united-UqEhGmuS/,2,4,1
21.09.2016,2016,england,efl-cup-2016-2017,QPR,Sunderland,3.19,3.5,2.39,2.17,1.79,1.83,1.98,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/qpr-sunderland-ATII3AeM/,2,3,1
21.09.2016,2016,england,efl-cup-2016-2017,Tottenham,Gillingham,1.16,9.1,17.0,1.31,3.38,2.02,1.79,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/tottenham-gillingham-SKHyKVu3/,1,5,0
10.01.2017,2017,england,efl-cup-2016-2017,Manchester Utd,Hull,1.17,8.05,18.59,1.54,2.62,2.47,1.63,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/manchester-united-hull-city-AquG2nPN/,1,2,0
26.10.2016,2016,england,efl-cup-2016-2017,Southampton,Sunderland,1.55,4.34,7.3,1.85,2.11,1.91,1.81,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/southampton-sunderland-Yoxwl8cE/,1,1,0
25.10.2016,2016,england,efl-cup-2016-2017,Bristol City,Hull,2.46,3.39,2.92,1.94,1.90,1.67,2.2,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/bristol-city-hull-city-SlomRpj1/,2,3,1
30.11.2016,2016,england,efl-cup-2016-2017,Arsenal,Southampton,2.13,3.4,3.65,2.00,1.87,1.77,2.13,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/arsenal-southampton-vJqXrT4U/,2,2,0
21.09.2016,2016,england,efl-cup-2016-2017,Fulham,Bristol City,2.59,3.54,2.86,1.89,2.04,1.62,2.3,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/fulham-bristol-city-nPvkdSmd/,2,3,1
29.11.2016,2016,england,efl-cup-2016-2017,Liverpool,Leeds,1.26,6.51,11.79,1.49,2.65,2.0,1.86,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/liverpool-leeds-KIxLoVKB/,1,2,0
21.09.2016,2016,england,efl-cup-2016-2017,West Ham,Accrington,1.23,7.3,15.0,1.46,2.98,2.0,1.76,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/west-ham-accrington-xjkF2UAS/,1,1,0
11.01.2017,2017,england,efl-cup-2016-2017,Southampton,Liverpool,3.2,3.15,2.47,2.22,1.72,1.89,2.03,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/southampton-liverpool-I9vK16vU/,1,1,0
21.09.2016,2016,england,efl-cup-2016-2017,Stoke,Hull,1.82,3.8,4.86,2.10,1.84,1.89,1.91,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/stoke-city-hull-city-QFaOAR2k/,2,3,1
26.10.2016,2016,england,efl-cup-2016-2017,West Ham,Chelsea,3.89,3.65,1.94,1.75,2.12,1.57,2.32,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/west-ham-chelsea-xK68YScR/,1,3,1
25.10.2016,2016,england,efl-cup-2016-2017,Arsenal,Reading,1.23,6.82,11.25,1.41,2.79,1.95,1.82,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/arsenal-reading-YkhvT6Ll/,1,2,0
20.09.2016,2016,england,efl-cup-2016-2017,Nottingham,Arsenal,6.25,4.8,1.43,1.61,2.50,1.67,2.13,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/nottingham-arsenal-xGKA5WQ9/,2,4,0
26.10.2016,2016,england,efl-cup-2016-2017,Manchester Utd,Manchester City,2.17,3.45,3.4,1.79,2.05,1.56,2.43,https://www.oddsportal.com/soccer/england/efl-cup-2016-2017/manchester-united-manchester-city-vThzUn6r/,1,1,0
