date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
07.12.2016,2016,england,efl-trophy-2016-2017,Coventry,Crawley,1.6,4.17,5.67,1.67,2.16,1.81,2.11,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/coventry-crawley-town-MNdhK4sn/,1,1,0
08.11.2016,2016,england,efl-trophy-2016-2017,Crewe,Chesterfield,2.35,3.53,2.81,1.49,2.65,1.43,2.95,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/crewe-chesterfield-vB1SQjAg/,2,2,0
06.12.2016,2016,england,efl-trophy-2016-2017,Norwich U23,Swansea U23,1.57,4.32,5.11,1.58,2.28,1.7,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/norwich-swansea-rwo1IrCb/,2,1,0
04.10.2016,2016,england,efl-trophy-2016-2017,Millwall,Gillingham,1.88,3.64,3.71,1.63,2.25,1.51,2.46,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/millwall-gillingham-IuyvJHU5/,1,3,1
08.11.2016,2016,england,efl-trophy-2016-2017,Derby U23,Mansfield,2.0,3.39,3.67,1.86,1.94,1.7,2.07,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/derby-mansfield-4YCyhT8h/,2,5,1
04.10.2016,2016,england,efl-trophy-2016-2017,Hartlepool,Sunderland U23,2.57,3.56,2.58,1.85,1.95,1.73,2.0,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/hartlepool-sunderland-Qm1pj7w5/,2,1,0
07.02.2017,2017,england,efl-trophy-2016-2017,Coventry,Wycombe,2.37,3.33,3.03,1.99,1.85,1.82,2.11,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/coventry-wycombe-4zQfquQj/,1,3,1
04.10.2016,2016,england,efl-trophy-2016-2017,Rochdale,Notts Co,1.76,3.63,4.3,1.78,2.02,1.63,2.19,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/rochdale-notts-county-OYJmkRhB/,1,3,1
09.11.2016,2016,england,efl-trophy-2016-2017,Wycombe,Coventry,3.04,3.32,2.33,1.86,1.97,1.66,2.23,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/wycombe-coventry-drMBAYKl/,2,6,1
09.11.2016,2016,england,efl-trophy-2016-2017,Southampton U23,Crawley,2.06,3.54,3.35,1.74,2.08,1.7,2.18,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/southampton-crawley-town-tWsDE2wK/,1,4,0
08.11.2016,2016,england,efl-trophy-2016-2017,West Brom U23,Gillingham,2.74,3.31,2.53,1.93,1.88,1.63,2.16,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/west-brom-gillingham-jgZoHeaI/,2,2,0
02.04.2017,2017,england,efl-trophy-2016-2017,Coventry,Oxford Utd,4.04,3.67,1.89,1.90,1.94,1.8,2.09,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/coventry-oxford-utd-AJFYgQqH/,1,3,1
09.11.2016,2016,england,efl-trophy-2016-2017,Morecambe,Bradford City,4.31,3.65,1.81,1.85,1.97,1.71,2.13,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/morecambe-bradford-city-YTpVpC1P/,1,5,1
13.12.2016,2016,england,efl-trophy-2016-2017,Walsall,Oldham,2.77,3.24,2.68,2.13,1.74,1.83,2.02,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/walsall-oldham-0GnYE956/,2,4,1
10.01.2017,2017,england,efl-trophy-2016-2017,Yeovil,Reading U23,1.99,3.59,3.46,1.78,2.00,1.67,2.16,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/yeovil-reading-Wdb1hgoh/,1,6,1
10.01.2017,2017,england,efl-trophy-2016-2017,Oxford Utd,Scunthorpe,2.32,3.39,3.07,2.00,1.85,1.8,2.12,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/oxford-utd-scunthorpe-INwC1Fzn/,1,5,1
18.10.2016,2016,england,efl-trophy-2016-2017,Exeter,Chelsea U23,2.93,3.07,2.13,1.65,2.30,1.49,2.51,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/exeter-chelsea-Ek9kegL1/,1,5,1
08.11.2016,2016,england,efl-trophy-2016-2017,Cambridge Utd,Scunthorpe,3.7,3.39,2.01,1.87,1.96,1.54,2.37,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/cambridge-utd-scunthorpe-rwiE5nwh/,2,2,0
06.12.2016,2016,england,efl-trophy-2016-2017,AFC Wimbledon,Brighton U23,2.29,3.48,3.11,1.81,2.02,1.65,2.28,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/afc-wimbledon-brighton-drtsDmzJ/,2,3,1
07.02.2017,2017,england,efl-trophy-2016-2017,Luton,Yeovil,1.91,3.62,3.92,1.91,1.93,1.79,2.12,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/luton-yeovil-M5LvgTB6/,1,7,1
08.11.2016,2016,england,efl-trophy-2016-2017,Barnet,Peterborough,3.36,3.64,2.05,1.55,2.47,1.43,2.73,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/barnet-peterborough-SjMe6vo0/,2,3,1
04.10.2016,2016,england,efl-trophy-2016-2017,Carlisle,Blackburn U23,1.69,3.78,4.84,1.83,1.97,1.83,1.83,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/carlisle-blackburn-QRP9wUga/,1,2,0
09.11.2016,2016,england,efl-trophy-2016-2017,Reading U23,Yeovil,2.54,3.09,2.88,1.81,2.00,1.61,2.29,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/reading-yeovil-MiUA2yTR/,2,2,0
09.11.2016,2016,england,efl-trophy-2016-2017,Grimsby,Sheffield Utd,3.47,3.31,2.04,1.91,1.91,1.68,2.11,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/grimsby-sheffield-utd-pAe3qdMk/,2,6,1
04.10.2016,2016,england,efl-trophy-2016-2017,Sheffield Utd,Walsall,1.54,3.86,6.95,1.80,2.06,1.83,1.91,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/sheffield-utd-walsall-W6iapx7q/,2,3,1
04.10.2016,2016,england,efl-trophy-2016-2017,Chesterfield,Accrington,2.0,3.33,3.69,2.23,1.57,1.88,1.86,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/chesterfield-accrington-MZ6NRWfm/,2,5,1
04.10.2016,2016,england,efl-trophy-2016-2017,Cheltenham,Everton U23,2.69,3.13,2.7,1.80,2.00,1.62,2.21,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/cheltenham-everton-xUPcBBA6/,1,3,1
10.01.2017,2017,england,efl-trophy-2016-2017,Coventry,Brighton U23,2.14,3.37,3.13,1.69,2.14,1.62,2.38,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/coventry-brighton-EkXKag5b/,1,3,0
10.01.2017,2017,england,efl-trophy-2016-2017,Mansfield,Oldham,2.44,3.07,3.08,2.29,1.66,2.0,1.9,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/mansfield-oldham-xY5hpdW3/,1,2,0
08.11.2016,2016,england,efl-trophy-2016-2017,Cheltenham,Bolton,3.1,3.46,2.23,1.86,1.98,1.63,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/cheltenham-bolton-Aew59kuJ/,1,1,0
04.10.2016,2016,england,efl-trophy-2016-2017,Morecambe,Stoke City U23,2.64,3.42,2.56,1.69,2.13,1.56,2.27,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/morecambe-stoke-city-6NhqN89I/,1,4,1
09.11.2016,2016,england,efl-trophy-2016-2017,Carlisle,Fleetwood,1.76,3.64,4.32,1.68,2.16,1.68,2.24,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/carlisle-fleetwood-town-pUuBy8OB/,1,6,1
04.10.2016,2016,england,efl-trophy-2016-2017,Port Vale,Mansfield,1.75,3.52,4.58,2.05,1.75,1.89,1.85,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/port-vale-mansfield-d89Tgkvt/,2,1,0
08.11.2016,2016,england,efl-trophy-2016-2017,Swansea U23,Plymouth,2.3,3.35,2.98,1.87,1.95,1.67,2.17,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/swansea-plymouth-4ElQHSkT/,1,2,0
10.01.2017,2017,england,efl-trophy-2016-2017,Cheltenham,Leicester U23,2.19,3.64,2.98,1.70,2.15,1.62,2.3,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/cheltenham-leicester-OU5sPgTD/,1,7,1
08.11.2016,2016,england,efl-trophy-2016-2017,Portsmouth,Bristol Rovers,2.64,3.39,2.62,1.75,2.10,1.57,2.48,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/portsmouth-bristol-rovers-vTv63HDL/,1,1,0
06.12.2016,2016,england,efl-trophy-2016-2017,Swindon,Luton,2.41,3.41,2.98,1.90,1.95,1.67,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/swindon-luton-8KhlLpSu/,2,5,1
04.10.2016,2016,england,efl-trophy-2016-2017,Scunthorpe,Shrewsbury,1.59,3.96,5.36,1.81,1.97,1.77,1.98,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/scunthorpe-shrewsbury-UZnA6SNo/,1,2,0
01.03.2017,2017,england,efl-trophy-2016-2017,Luton,Oxford Utd,2.68,3.37,2.62,1.87,1.97,1.71,2.23,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/luton-oxford-utd-rqULaBe7/,2,5,1
04.10.2016,2016,england,efl-trophy-2016-2017,Cambridge Utd,Middlesbrough U23,1.78,3.58,4.16,1.78,1.98,1.73,2.0,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/cambridge-utd-middlesbrough-GWbSsqoo/,1,3,1
04.10.2016,2016,england,efl-trophy-2016-2017,Grimsby,Leicester U23,2.27,3.46,2.83,1.69,2.09,1.62,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/grimsby-leicester-j9wV14xH/,2,1,0
04.10.2016,2016,england,efl-trophy-2016-2017,Coventry,Northampton,2.2,3.28,3.19,2.05,1.75,1.74,2.02,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/coventry-northampton-ruI7BE5r/,1,4,1
04.10.2016,2016,england,efl-trophy-2016-2017,Bradford City,Bury,1.86,3.43,4.06,2.03,1.77,1.77,1.98,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/bradford-city-bury-pEimMSOO/,1,3,1
07.12.2016,2016,england,efl-trophy-2016-2017,Bradford City,Cambridge Utd,1.75,3.76,4.87,1.93,1.93,1.88,1.98,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/bradford-city-cambridge-utd-Wf9kNXcQ/,1,1,0
17.01.2017,2017,england,efl-trophy-2016-2017,Cheltenham,Bradford City,3.1,3.43,2.31,1.98,1.85,1.86,2.02,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/cheltenham-bradford-city-IiRavXe3/,2,1,0
04.10.2016,2016,england,efl-trophy-2016-2017,Newport,Swansea U23,2.39,3.33,2.75,1.78,1.98,1.58,2.26,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/newport-swansea-W0jIJlLG/,2,3,1
31.01.2017,2017,england,efl-trophy-2016-2017,Oxford Utd,Bradford City,2.54,3.38,2.77,2.07,1.79,1.88,2.0,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/oxford-utd-bradford-city-h4tWO2hc/,1,3,1
06.12.2016,2016,england,efl-trophy-2016-2017,Carlisle,Mansfield,2.24,3.71,3.29,1.76,2.19,1.65,2.35,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/carlisle-mansfield-Y3eHIi6s/,2,5,1
24.01.2017,2017,england,efl-trophy-2016-2017,Mansfield,Wycombe,2.44,3.24,2.98,2.25,1.67,1.94,1.94,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/mansfield-wycombe-lhNWfksf/,2,3,1
07.12.2016,2016,england,efl-trophy-2016-2017,Millwall,Wycombe,1.77,3.69,4.97,2.02,1.78,2.04,1.88,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/millwall-wycombe-G4b8GMtB/,2,4,1
04.10.2016,2016,england,efl-trophy-2016-2017,Southend,Leyton Orient,2.21,3.46,3.01,1.86,1.92,1.63,2.19,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/southend-leyton-orient-861fRuNP/,1,1,0
10.01.2017,2017,england,efl-trophy-2016-2017,Luton,Chesterfield,1.88,3.65,4.11,1.83,2.03,1.72,2.23,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/luton-chesterfield-vXv82eLu/,1,4,0
08.11.2016,2016,england,efl-trophy-2016-2017,Luton,Millwall,2.98,3.41,2.33,1.87,1.96,1.66,2.22,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/luton-millwall-dWZsIypC/,2,4,1
09.11.2016,2016,england,efl-trophy-2016-2017,Sunderland U23,Notts Co,2.06,3.6,3.39,1.81,1.99,1.67,2.18,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/sunderland-notts-county-dnIem5NN/,1,3,1
08.11.2016,2016,england,efl-trophy-2016-2017,Leicester U23,Walsall,1.56,4.12,5.56,1.75,2.09,1.81,1.98,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/leicester-walsall-vXf7rGyd/,2,1,0
06.12.2016,2016,england,efl-trophy-2016-2017,Rochdale,Chesterfield,1.57,4.35,5.58,1.54,2.54,1.64,2.41,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/rochdale-chesterfield-S2lQGVzf/,2,2,0
08.11.2016,2016,england,efl-trophy-2016-2017,Brighton U23,Leyton Orient,2.15,3.48,3.24,1.79,2.02,1.65,2.22,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/brighton-leyton-orient-SjrRLJpm/,1,1,0
04.10.2016,2016,england,efl-trophy-2016-2017,Fleetwood,Oldham,2.17,3.19,3.16,1.98,1.81,1.73,2.04,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/fleetwood-town-oldham-4IODxl95/,2,2,0
04.10.2016,2016,england,efl-trophy-2016-2017,AFC Wimbledon,Plymouth,2.01,3.49,3.47,1.86,1.92,1.63,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/afc-wimbledon-plymouth-O0Gxbeyq/,1,3,1
04.10.2016,2016,england,efl-trophy-2016-2017,Peterborough,MK Dons,1.74,3.88,3.84,1.50,2.53,1.46,2.6,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/peterborough-milton-keynes-dons-YTMi7KVg/,2,1,0
08.11.2016,2016,england,efl-trophy-2016-2017,Norwich U23,MK Dons,1.63,4.13,4.59,1.45,2.77,1.48,2.56,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/norwich-milton-keynes-dons-tfQa5b06/,1,5,1
04.10.2016,2016,england,efl-trophy-2016-2017,Charlton,Crawley,1.48,4.3,6.12,1.80,1.99,1.83,1.87,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/charlton-crawley-town-QNDS6jKD/,2,2,0
08.11.2016,2016,england,efl-trophy-2016-2017,Middlesbrough U23,Shrewsbury,2.47,3.27,2.81,2.04,1.76,1.8,1.91,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/middlesbrough-shrewsbury-Q1tJ46hb/,2,3,0
04.10.2016,2016,england,efl-trophy-2016-2017,Luton,West Brom U23,2.36,3.4,2.76,1.70,2.08,1.62,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/luton-west-brom-04tZJcFa/,1,2,0
08.11.2016,2016,england,efl-trophy-2016-2017,Stevenage,Southend,2.88,3.43,2.4,1.85,1.98,1.64,2.26,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/stevenage-southend-EmvNMaVt/,1,4,0
04.10.2016,2016,england,efl-trophy-2016-2017,Bolton,Blackpool,1.65,3.78,4.9,1.79,2.00,1.72,2.05,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/bolton-blackpool-W4v1AVPC/,1,1,0
06.12.2016,2016,england,efl-trophy-2016-2017,Yeovil,MK Dons,3.1,3.47,2.32,1.80,2.06,1.68,2.33,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/yeovil-milton-keynes-dons-IiswETKC/,1,5,1
09.11.2016,2016,england,efl-trophy-2016-2017,Hartlepool,Rochdale,3.9,3.66,1.91,1.81,2.03,1.71,2.19,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/hartlepool-rochdale-IeJilo8H/,2,3,1
10.01.2017,2017,england,efl-trophy-2016-2017,Swansea U23,Wolves U23,1.44,4.51,6.43,1.56,2.32,1.73,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/swansea-wolves-8CWObDK4/,1,3,1
08.11.2016,2016,england,efl-trophy-2016-2017,Wolves U23,Accrington,2.07,3.48,3.47,1.72,2.11,1.66,2.11,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/wolves-accrington-I10WPAPa/,1,4,0
04.10.2016,2016,england,efl-trophy-2016-2017,Barnet,Norwich U23,2.36,3.53,2.69,1.57,2.30,1.5,2.5,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/barnet-norwich-fwOm80Gm/,2,5,0
04.10.2016,2016,england,efl-trophy-2016-2017,Wycombe,West Ham U23,1.75,3.51,3.93,1.74,2.02,1.73,2.01,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/wycombe-west-ham-QaVuGfcR/,1,3,0
04.10.2016,2016,england,efl-trophy-2016-2017,Crewe,Wolves U23,2.51,3.28,2.77,1.77,2.04,1.62,2.2,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/crewe-wolves-rq8JSCus/,2,5,1
04.10.2016,2016,england,efl-trophy-2016-2017,Colchester,Southampton U23,2.43,3.36,2.69,1.79,1.97,1.67,2.1,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/colchester-southampton-nXEO7W47/,2,3,1
08.11.2016,2016,england,efl-trophy-2016-2017,Newport,AFC Wimbledon,4.31,3.8,1.76,1.91,1.91,1.8,2.0,https://www.oddsportal.com/soccer/england/efl-trophy-2016-2017/newport-afc-wimbledon-QNkMI8zN/,1,2,0
28.11.2017,2017,england,efl-trophy-2017-2018,Exeter,Chelsea U21,2.39,3.51,2.66,1.58,2.30,1.49,2.45,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/exeter-chelsea-6kccwnwB/,2,4,1
05.12.2017,2017,england,efl-trophy-2017-2018,Luton,West Ham U21,1.94,3.28,3.78,1.54,2.59,1.53,2.47,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/luton-west-ham-v94o7d9R/,1,4,0
03.10.2017,2017,england,efl-trophy-2017-2018,Shrewsbury,West Brom U21,1.41,4.58,7.16,1.62,2.30,1.75,1.96,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/shrewsbury-west-brom-8KrwPz13/,1,3,0
08.11.2017,2017,england,efl-trophy-2017-2018,Bury,Stoke City U21,2.52,3.62,2.51,1.50,2.48,1.45,2.63,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/bury-stoke-city-8b72CcHc/,1,4,1
05.12.2017,2017,england,efl-trophy-2017-2018,Swindon,Forest Green,1.67,3.7,4.85,1.67,2.21,1.64,2.21,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/swindon-forest-green-lKBY9bP8/,2,1,0
03.10.2017,2017,england,efl-trophy-2017-2018,Rotherham,Chesterfield,1.39,4.85,6.99,1.51,2.51,1.71,2.12,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/rotherham-chesterfield-UiSLGC8q/,2,3,1
05.12.2017,2017,england,efl-trophy-2017-2018,Yeovil,AFC Wimbledon,2.75,3.4,2.51,1.95,1.89,1.69,2.09,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/yeovil-afc-wimbledon-Wr1w9IvF/,1,2,0
23.01.2018,2018,england,efl-trophy-2017-2018,Shrewsbury,Oldham,2.06,3.01,3.68,2.37,1.59,2.01,1.78,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/shrewsbury-oldham-QymIyoW9/,1,3,1
31.10.2017,2017,england,efl-trophy-2017-2018,Swindon,Wycombe,2.23,3.45,3.06,1.80,2.02,1.63,2.21,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/swindon-wycombe-SpJKPS8B/,1,1,0
31.10.2017,2017,england,efl-trophy-2017-2018,Forest Green,Swansea U21,2.52,3.54,2.58,1.72,2.10,1.58,2.23,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/forest-green-swansea-Escfpfje/,2,2,0
03.10.2017,2017,england,efl-trophy-2017-2018,Doncaster,Sunderland U21,1.95,3.62,3.68,1.63,2.24,1.58,2.33,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/doncaster-sunderland-GShFQmx8/,1,1,0
07.11.2017,2017,england,efl-trophy-2017-2018,Port Vale,Crewe,2.23,3.31,3.23,2.04,1.77,1.79,2.04,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/port-vale-crewe-K2lO7ZVS/,1,6,1
06.12.2017,2017,england,efl-trophy-2017-2018,Peterborough,Southend,2.34,3.43,2.98,1.73,2.14,1.62,2.24,https://www.oddsportal.com/soccer/england/efl-trophy-2017-2018/peterborough-southend-2V7tXzFP/,1,2,0
