date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
08.10.2016,2016,england,league-two-2016-2017,Exeter,Grimsby,2.69,3.25,2.7,1.90,1.90,1.62,2.3,https://www.oddsportal.com/soccer/england/league-two-2016-2017/exeter-grimsby-YZ14A0wP/#1X2;2,0,0,0
06.05.2017,2017,england,league-two-2016-2017,Colchester,Yeovil,1.58,4.35,5.28,1.60,2.35,1.68,2.29,https://www.oddsportal.com/soccer/england/league-two-2016-2017/colchester-yeovil-bPXf5T5i/#1X2;2,1,2,0
14.03.2017,2017,england,league-two-2016-2017,Cambridge Utd,Hartlepool,1.76,3.75,4.77,1.86,1.98,1.82,2.09,https://www.oddsportal.com/soccer/england/league-two-2016-2017/cambridge-utd-hartlepool-46QwdAAm/#1X2;2,2,1,0
14.03.2017,2017,england,league-two-2016-2017,Accrington,Leyton Orient,1.64,3.6,5.04,1.81,2.03,1.85,2.05,https://www.oddsportal.com/soccer/england/league-two-2016-2017/accrington-leyton-orient-KYl71WnQ/#1X2;2,1,5,0
11.02.2017,2017,england,league-two-2016-2017,Yeovil,Leyton Orient,1.94,3.46,4.26,2.14,1.73,1.99,1.89,https://www.oddsportal.com/soccer/england/league-two-2016-2017/yeovil-leyton-orient-MTkybxur/#1X2;2,0,2,1
29.04.2017,2017,england,league-two-2016-2017,Mansfield,Portsmouth,2.98,3.31,2.39,2.20,1.70,1.91,1.96,https://www.oddsportal.com/soccer/england/league-two-2016-2017/mansfield-portsmouth-hnBTl8LA/#1X2;2,2,1,0
10.02.2017,2017,england,league-two-2016-2017,Newport,Doncaster,4.56,3.45,1.85,2.21,1.70,2.06,1.87,https://www.oddsportal.com/soccer/england/league-two-2016-2017/newport-doncaster-W6wUH6kc/#1X2;2,0,0,0
22.10.2016,2016,england,league-two-2016-2017,Colchester,Morecambe,1.69,4.14,4.64,1.62,2.30,1.62,2.3,https://www.oddsportal.com/soccer/england/league-two-2016-2017/colchester-morecambe-Gvu18eNp/#1X2;2,0,4,1
14.02.2017,2017,england,league-two-2016-2017,Newport,Grimsby,2.43,3.11,3.19,2.56,1.53,2.12,1.8,https://www.oddsportal.com/soccer/england/league-two-2016-2017/newport-grimsby-AcxYGQ43/#1X2;2,0,0,0
18.03.2017,2017,england,league-two-2016-2017,Grimsby,Crawley,1.97,3.52,3.94,2.10,1.76,1.92,1.93,https://www.oddsportal.com/soccer/england/league-two-2016-2017/grimsby-crawley-town-zTuNiGza/#1X2;2,0,2,1
24.09.2016,2016,england,league-two-2016-2017,Morecambe,Crawley,2.3,3.82,3.06,1.77,2.17,1.59,2.36,https://www.oddsportal.com/soccer/england/league-two-2016-2017/morecambe-crawley-town-bJbanZlj/#1X2;2,2,5,1
04.03.2017,2017,england,league-two-2016-2017,Yeovil,Luton,3.84,3.36,2.06,2.26,1.66,2.0,1.88,https://www.oddsportal.com/soccer/england/league-two-2016-2017/yeovil-luton-I9rwRkBD/#1X2;2,2,4,0
04.02.2017,2017,england,league-two-2016-2017,Accrington,Notts Co,1.92,3.71,4.03,1.88,1.96,1.8,2.11,https://www.oddsportal.com/soccer/england/league-two-2016-2017/accrington-notts-county-YTCbRqm6/#1X2;2,1,2,0
26.11.2016,2016,england,league-two-2016-2017,Crawley,Grimsby,3.49,3.44,2.13,2.10,1.77,1.8,1.99,https://www.oddsportal.com/soccer/england/league-two-2016-2017/crawley-town-grimsby-t0ibSAF9/#1X2;2,1,5,1
26.11.2016,2016,england,league-two-2016-2017,Blackpool,Newport,1.84,3.72,4.37,1.93,1.89,1.8,1.99,https://www.oddsportal.com/soccer/england/league-two-2016-2017/blackpool-newport-bZv4rxOc/#1X2;2,1,5,1
18.02.2017,2017,england,league-two-2016-2017,Grimsby,Mansfield,3.21,3.12,2.42,2.43,1.59,2.05,1.88,https://www.oddsportal.com/soccer/england/league-two-2016-2017/grimsby-mansfield-zBtjBnFb/#1X2;2,1,3,0
28.02.2017,2017,england,league-two-2016-2017,Crawley,Exeter,3.7,3.63,2.03,1.87,1.98,1.78,2.14,https://www.oddsportal.com/soccer/england/league-two-2016-2017/crawley-town-exeter-pOUAyqT3/#1X2;2,2,3,1
11.02.2017,2017,england,league-two-2016-2017,Colchester,Barnet,2.21,3.56,3.26,1.87,1.97,1.73,2.21,https://www.oddsportal.com/soccer/england/league-two-2016-2017/colchester-barnet-bXPcpJAr/#1X2;2,1,3,1
26.12.2016,2016,england,league-two-2016-2017,Luton,Colchester,1.92,3.59,4.08,1.89,1.95,1.79,2.12,https://www.oddsportal.com/soccer/england/league-two-2016-2017/luton-colchester-zwmWUOh5/#1X2;2,2,1,0
06.05.2017,2017,england,league-two-2016-2017,Blackpool,Leyton Orient,1.2,7.22,13.12,1.45,2.78,2.08,1.81,https://www.oddsportal.com/soccer/england/league-two-2016-2017/blackpool-leyton-orient-dKgCtpTj/#1X2;2,1,4,1
21.03.2017,2017,england,league-two-2016-2017,Morecambe,Accrington,3.43,3.62,2.09,1.77,2.08,1.69,2.3,https://www.oddsportal.com/soccer/england/league-two-2016-2017/morecambe-accrington-p4vBzlQJ/#1X2;2,2,3,1
22.04.2017,2017,england,league-two-2016-2017,Stevenage,Mansfield,3.54,3.26,2.17,2.18,1.71,1.91,1.92,https://www.oddsportal.com/soccer/england/league-two-2016-2017/stevenage-mansfield-CSkfz96H/#1X2;2,2,1,0
01.10.2016,2016,england,league-two-2016-2017,Plymouth,Yeovil,1.76,3.74,5.15,2.05,1.86,1.83,1.94,https://www.oddsportal.com/soccer/england/league-two-2016-2017/plymouth-yeovil-phfnG49m/#1X2;2,1,5,1
18.02.2017,2017,england,league-two-2016-2017,Cheltenham,Yeovil,2.31,3.21,3.33,2.37,1.61,2.03,1.87,https://www.oddsportal.com/soccer/england/league-two-2016-2017/cheltenham-yeovil-Qqoug5aU/#1X2;2,1,2,0
22.11.2016,2016,england,league-two-2016-2017,Mansfield,Blackpool,3.13,3.34,2.37,2.07,1.78,1.8,2.05,https://www.oddsportal.com/soccer/england/league-two-2016-2017/mansfield-blackpool-EPXGFXV3/#1X2;2,1,1,0
