date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
12.12.2020,2020,england,league-two,Southend,Scunthorpe,3.37,3.25,2.24,2.38,1.61,2.0,1.77,https://www.oddsportal.com/soccer/england/league-two/southend-scunthorpe-A9pEycg2/#1X2;2,1,1,0
21.11.2020,2020,england,league-two,Scunthorpe,Morecambe,2.74,3.26,2.64,2.19,1.71,1.86,1.89,https://www.oddsportal.com/soccer/england/league-two/scunthorpe-morecambe-hhUr9GDs/#1X2;2,0,2,1
24.10.2020,2020,england,league-two,Colchester,Harrogate,3.25,3.4,2.23,2.06,1.79,1.83,1.93,https://www.oddsportal.com/soccer/england/league-two/colchester-harrogate-4EQQwD0r/#1X2;2,1,3,1
05.12.2020,2020,england,league-two,Scunthorpe,Leyton Orient,2.72,3.23,2.68,2.13,1.74,1.83,1.92,https://www.oddsportal.com/soccer/england/league-two/scunthorpe-leyton-orient-tGDOQuup/#1X2;2,1,2,0
28.11.2020,2020,england,league-two,Bolton,Southend,1.58,3.92,6.16,2.19,1.71,2.19,1.64,https://www.oddsportal.com/soccer/england/league-two/bolton-southend-Qq3TT8eO/#1X2;2,1,3,0
29.12.2020,2020,england,league-two,Forest Green,Crawley,1.82,3.73,4.22,1.90,1.93,1.78,1.98,https://www.oddsportal.com/soccer/england/league-two/forest-green-crawley-town-ChewqfJI/#1X2;2,2,3,1
26.12.2020,2020,england,league-two,Port Vale,Barrow,2.34,3.38,3.07,1.90,1.94,1.69,2.11,https://www.oddsportal.com/soccer/england/league-two/port-vale-barrow-nDAAcaXI/#1X2;2,2,2,0
16.01.2021,2021,england,league-two,Colchester,Cambridge Utd,3.29,3.39,2.21,2.09,1.77,1.84,1.92,https://www.oddsportal.com/soccer/england/league-two/colchester-cambridge-utd-KItHrous/#1X2;2,0,2,1
03.10.2020,2020,england,league-two,Carlisle,Barrow,2.46,3.2,3.06,2.12,1.77,1.84,1.92,https://www.oddsportal.com/soccer/england/league-two/carlisle-barrow-zPTkjmkC/#1X2;2,1,1,0
15.12.2020,2020,england,league-two,Salford,Newport,3.01,3.33,2.39,2.29,1.65,1.95,1.81,https://www.oddsportal.com/soccer/england/league-two/salford-newport-nV3oUW7c/#1X2;2,0,2,1
12.09.2020,2020,england,league-two,Bolton,Forest Green,2.33,3.37,3.12,2.04,1.82,1.78,1.99,https://www.oddsportal.com/soccer/england/league-two/bolton-forest-green-vZ1rGF7r/#1X2;2,2,1,0
