date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
08.10.2016,2016,england,national-league-2016-2017,Braintree,York,1.96,3.45,4.0,2.07,1.76,1.8,1.98,https://www.oddsportal.com/soccer/england/national-league-2016-2017/braintree-york-G8YFDOEs/,0,2,1
29.11.2016,2016,england,national-league-2016-2017,Chester,North Ferriby,1.46,4.57,7.53,1.73,2.15,1.93,1.95,https://www.oddsportal.com/soccer/england/national-league-2016-2017/chester-north-ferriby-dxeWMsAo/,1,3,0
25.03.2017,2017,england,national-league-2016-2017,Macclesfield,Aldershot,2.08,3.33,3.78,2.18,1.72,1.95,1.94,https://www.oddsportal.com/soccer/england/national-league-2016-2017/macclesfield-aldershot-CQnwlQqJ/,2,2,0
04.03.2017,2017,england,national-league-2016-2017,North Ferriby,Woking,3.32,3.53,2.14,1.80,2.03,1.65,2.28,https://www.oddsportal.com/soccer/england/national-league-2016-2017/north-ferriby-woking-Otdh0ZXk/,1,3,1
25.10.2016,2016,england,national-league-2016-2017,Lincoln,Boreham Wood,1.9,3.43,4.31,2.15,1.71,1.92,1.88,https://www.oddsportal.com/soccer/england/national-league-2016-2017/lincoln-city-boreham-wood-thgcMA3T/,1,2,0
01.10.2016,2016,england,national-league-2016-2017,Maidstone,Solihull Moors,1.86,3.92,4.14,1.81,2.11,1.62,2.22,https://www.oddsportal.com/soccer/england/national-league-2016-2017/maidstone-solihull-moors-joN6nnGr/,2,6,1
04.10.2016,2016,england,national-league-2016-2017,Braintree,Boreham Wood,2.94,3.08,2.59,2.34,1.60,1.94,1.86,https://www.oddsportal.com/soccer/england/national-league-2016-2017/braintree-boreham-wood-SSeE5RMK/,2,3,1
17.04.2017,2017,england,national-league-2016-2017,Southport,Forest Green,7.87,4.96,1.37,1.54,2.48,1.83,2.07,https://www.oddsportal.com/soccer/england/national-league-2016-2017/southport-forest-green-KQS97Wc6/,1,2,0
28.01.2017,2017,england,national-league-2016-2017,Eastleigh,Woking,1.7,4.0,4.83,1.69,2.23,1.72,2.2,https://www.oddsportal.com/soccer/england/national-league-2016-2017/eastleigh-woking-b3OhIhyo/,2,1,0
25.10.2016,2016,england,national-league-2016-2017,Tranmere,North Ferriby,1.2,6.32,14.25,1.60,2.35,2.38,1.55,https://www.oddsportal.com/soccer/england/national-league-2016-2017/tranmere-north-ferriby-KhgCwCY3/,1,1,0
20.12.2016,2016,england,national-league-2016-2017,Boreham Wood,Braintree,1.97,3.42,4.04,2.19,1.71,1.99,1.89,https://www.oddsportal.com/soccer/england/national-league-2016-2017/boreham-wood-braintree-rZ6lbbXp/,2,1,0
21.03.2017,2017,england,national-league-2016-2017,York,Southport,1.58,4.13,5.62,1.77,2.07,1.81,2.05,https://www.oddsportal.com/soccer/england/national-league-2016-2017/york-southport-zLiEgUFs/,1,8,1
17.04.2017,2017,england,national-league-2016-2017,Dag &amp; Red,Sutton,2.13,3.4,3.43,1.96,1.83,1.82,2.09,https://www.oddsportal.com/soccer/england/national-league-2016-2017/dagenham-red-sutton-nF9LTME8/,0,4,1
14.04.2017,2017,england,national-league-2016-2017,Sutton,Gateshead,2.38,3.41,3.01,1.93,1.90,1.74,2.21,https://www.oddsportal.com/soccer/england/national-league-2016-2017/sutton-gateshead-SfO4Th3S/,1,3,0
01.10.2016,2016,england,national-league-2016-2017,Dag &amp; Red,Tranmere,2.42,3.4,3.14,1.91,1.99,1.63,2.28,https://www.oddsportal.com/soccer/england/national-league-2016-2017/dagenham-red-tranmere-ppvOfA82/,0,0,0
08.04.2017,2017,england,national-league-2016-2017,Aldershot,Torquay,1.65,3.86,5.58,2.06,1.79,2.09,1.82,https://www.oddsportal.com/soccer/england/national-league-2016-2017/aldershot-torquay-8Qup3dkN/,0,2,1
01.01.2017,2017,england,national-league-2016-2017,Maidstone,Dover,3.85,3.71,1.92,1.67,2.21,1.63,2.45,https://www.oddsportal.com/soccer/england/national-league-2016-2017/maidstone-dover-ath-lhkIcRg1/,2,5,1
21.01.2017,2017,england,national-league-2016-2017,Forest Green,Braintree,1.51,4.44,6.2,1.68,2.22,1.78,2.14,https://www.oddsportal.com/soccer/england/national-league-2016-2017/forest-green-braintree-dzQVCca5/,0,2,1
21.01.2017,2017,england,national-league-2016-2017,Chester,Wrexham,2.5,3.32,2.9,1.96,1.88,1.74,2.14,https://www.oddsportal.com/soccer/england/national-league-2016-2017/chester-wrexham-dCwlLkS5/,0,2,1
08.04.2017,2017,england,national-league-2016-2017,Eastleigh,Lincoln,4.91,3.87,1.73,1.96,1.89,1.91,1.97,https://www.oddsportal.com/soccer/england/national-league-2016-2017/eastleigh-lincoln-city-be42Lw5i/,2,1,0
07.01.2017,2017,england,national-league-2016-2017,Aldershot,Southport,1.66,3.92,5.41,1.82,2.04,1.8,2.1,https://www.oddsportal.com/soccer/england/national-league-2016-2017/aldershot-southport-CQzDJ8GK/,1,3,1
11.04.2017,2017,england,national-league-2016-2017,Macclesfield,Maidstone,1.78,3.82,4.34,1.69,2.19,1.69,2.32,https://www.oddsportal.com/soccer/england/national-league-2016-2017/macclesfield-maidstone-SzvKEYnq/,1,3,0
