date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
01.02.2017,2017,france,coupe-de-france-2016-2017,Angers,Caen,2.16,3.28,3.68,2.19,1.71,1.97,1.94,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/angers-caen-MXXik3NB/#1X2;2,1,4,1
12.11.2016,2016,france,coupe-de-france-2016-2017,Avranches,Dragon,1.26,6.25,9.4,1.90,1.92,2.68,1.43,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/avranches-dragon-thyxv9L2/#1X2;2,1,9,0
05.04.2017,2017,france,coupe-de-france-2016-2017,Angers,Bordeaux,2.81,3.18,2.71,2.11,1.76,1.88,2.04,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/angers-bordeaux-KjGSakp4/#1X2;2,1,3,1
08.01.2017,2017,france,coupe-de-france-2016-2017,Chateauroux,Pau FC,2.21,3.15,3.61,2.30,1.63,2.04,1.81,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/chateauroux-pau-dSRDavVt/#1X2;2,1,5,1
11.11.2016,2016,france,coupe-de-france-2016-2017,Sarrebourg,Troyes,7.86,5.75,1.3,1.55,2.31,1.95,1.78,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/sarrebourg-troyes-C2ONqmB7/#1X2;2,2,2,0
08.01.2017,2017,france,coupe-de-france-2016-2017,Lorient,Nice,2.64,3.21,2.8,1.89,1.96,1.71,2.28,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/lorient-nice-OvcatHUI/#1X2;2,1,3,1
12.11.2016,2016,france,coupe-de-france-2016-2017,Mulhouse,US Matoury,1.64,3.66,5.65,1.92,1.90,1.78,1.95,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/mulhouse-us-matoury-KrztwTz9/#1X2;2,1,3,0
12.11.2016,2016,france,coupe-de-france-2016-2017,Stade Poitevin,Chateauroux,10.25,5.48,1.26,1.82,1.94,2.3,1.56,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/stade-poitevin-chateauroux-AXShzRKR/#1X2;2,2,5,1
31.01.2017,2017,france,coupe-de-france-2016-2017,Bergerac,Lens,4.98,3.67,1.76,2.01,1.83,1.88,2.0,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/bergerac-lens-KS3M4rNb/#1X2;2,1,2,0
12.11.2016,2016,france,coupe-de-france-2016-2017,Laval,Concarneau,2.13,3.11,3.78,2.42,1.55,2.04,1.73,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/laval-concarneau-UwwpeMDi/#1X2;2,1,3,1
28.02.2017,2017,france,coupe-de-france-2016-2017,Frejus Saint Raphael,Auxerre,3.84,3.27,2.09,2.26,1.67,1.94,1.94,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/frejus-saint-raphael-auxerre-xjog0ipF/#1X2;2,1,2,0
01.02.2017,2017,france,coupe-de-france-2016-2017,Rennes,Paris SG,7.46,4.37,1.48,1.80,2.05,2.03,1.87,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/rennes-paris-sg-v9rmjq85/#1X2;2,2,4,0
07.01.2017,2017,france,coupe-de-france-2016-2017,Quevilly Rouen,JA Drancy,1.66,3.69,5.4,1.99,1.71,2.0,1.88,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/quevilly-ja-drancy-ILvnouGm/#1X2;2,1,5,1
11.11.2016,2016,france,coupe-de-france-2016-2017,Etaples,Valenciennes,7.83,6.13,1.29,1.57,2.51,1.91,1.81,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/etaples-valenciennes-xILQ7acc/#1X2;2,2,2,0
04.04.2017,2017,france,coupe-de-france-2016-2017,Monaco,Lille,1.47,4.56,7.22,1.67,2.27,1.84,2.08,https://www.oddsportal.com/soccer/france/coupe-de-france-2016-2017/monaco-lille-bV4kypyE/#1X2;2,1,3,1
