date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
05.05.2017,2017,france,ligue-2-2016-2017,Clermont,Bourg en Bresse,1.9,3.38,4.59,1.72,2.17,1.63,2.44,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/clermont-bourg-peronnas-pbNyYI2s/,2,5,1
24.02.2017,2017,france,ligue-2-2016-2017,Nimes,GFC Ajaccio,2.3,3.09,3.79,2.33,1.69,1.97,1.94,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/nimes-gfc-ajaccio-lWThTuaM/,0,2,1
13.01.2017,2017,france,ligue-2-2016-2017,Orleans,Brest,2.68,2.94,3.0,2.64,1.51,2.17,1.79,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/orleans-brest-d07lnumB/,2,1,0
18.11.2016,2016,france,ligue-2-2016-2017,Sochaux,Tours,1.96,3.15,4.68,2.58,1.54,2.19,1.73,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/sochaux-tours-CtXUusK1/,1,3,1
03.03.2017,2017,france,ligue-2-2016-2017,Red Star,Lens,3.97,3.15,2.11,2.35,1.63,2.05,1.84,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/red-star-lens-d0V2ywiq/,2,5,1
29.10.2016,2016,france,ligue-2-2016-2017,Auxerre,Niort,2.35,2.88,3.61,2.38,1.58,1.84,1.96,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/auxerre-niort-r3pMQAEc/,2,4,0
03.03.2017,2017,france,ligue-2-2016-2017,Clermont,Laval,2.24,2.95,3.9,2.60,1.53,2.16,1.77,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/clermont-laval-rgkSsuEF/,0,2,1
25.11.2016,2016,france,ligue-2-2016-2017,Lens,Le Havre,2.25,3.13,3.62,2.11,1.77,1.83,2.05,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/lens-le-havre-OzRS0rdR/,1,1,0
28.10.2016,2016,france,ligue-2-2016-2017,Valenciennes,Nimes,2.44,3.19,3.08,1.87,1.94,1.58,2.38,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/valenciennes-nimes-ERh9Fp6d/,2,5,1
25.02.2017,2017,france,ligue-2-2016-2017,Lens,Valenciennes,1.78,3.46,5.92,2.15,1.79,2.03,1.88,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/lens-valenciennes-AuVlULqG/,1,2,0
30.01.2017,2017,france,ligue-2-2016-2017,Red Star,Reims,3.74,3.01,2.26,2.64,1.51,2.17,1.77,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/red-star-reims-OlzzfTpk/,2,1,0
09.12.2016,2016,france,ligue-2-2016-2017,Tours,Laval,2.71,2.81,3.18,2.81,1.46,2.24,1.74,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/tours-laval-8rmSlcKT/,0,2,1
27.01.2017,2017,france,ligue-2-2016-2017,Clermont,Auxerre,1.99,3.26,4.33,2.22,1.70,2.01,1.9,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/clermont-auxerre-Y3T21BhF/,2,1,0
29.11.2016,2016,france,ligue-2-2016-2017,Red Star,Orleans,2.57,2.85,3.34,2.73,1.49,2.11,1.79,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/red-star-orleans-0bLxvt6B/,1,1,0
24.10.2016,2016,france,ligue-2-2016-2017,Amiens,Red Star,1.83,3.2,4.85,2.50,1.53,2.19,1.68,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/amiens-sc-red-star-d83AVa0P/,0,0,0
21.04.2017,2017,france,ligue-2-2016-2017,Sochaux,GFC Ajaccio,2.37,3.01,3.4,2.38,1.61,2.03,1.88,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/sochaux-gfc-ajaccio-ITvzKVM1/,2,3,1
17.02.2017,2017,france,ligue-2-2016-2017,Auxerre,AC Ajaccio,2.22,2.91,3.98,2.55,1.54,2.11,1.81,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/auxerre-ac-ajaccio-MqrbLQ0o/,1,1,0
09.12.2016,2016,france,ligue-2-2016-2017,Troyes,Auxerre,1.84,3.33,4.88,2.32,1.64,2.12,1.81,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/troyes-auxerre-AiZgpHSp/,0,2,1
22.10.2016,2016,france,ligue-2-2016-2017,Lens,Reims,2.41,2.9,3.44,2.42,1.57,1.9,1.9,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/lens-reims-l6rkOHha/,0,2,1
16.01.2017,2017,france,ligue-2-2016-2017,Valenciennes,Sochaux,2.9,2.86,2.88,2.73,1.49,2.19,1.76,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/valenciennes-sochaux-25IURA1d/,1,3,1
24.04.2017,2017,france,ligue-2-2016-2017,Le Havre,Lens,3.62,3.17,2.17,2.11,1.75,1.88,2.04,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/le-havre-lens-SvnNMXxq/,1,1,0
05.05.2017,2017,france,ligue-2-2016-2017,Reims,Orleans,1.53,4.04,6.79,1.86,1.99,1.96,1.94,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/reims-orleans-ljKhUz26/,2,2,0
21.01.2017,2017,france,ligue-2-2016-2017,Lens,Nimes,1.67,3.82,5.62,1.88,1.97,1.89,2.02,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/lens-nimes-nghYoWhS/,2,4,1
16.12.2016,2016,france,ligue-2-2016-2017,Auxerre,Valenciennes,2.8,3.0,2.86,2.28,1.66,1.93,1.99,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/auxerre-valenciennes-QaHt8KKi/,0,2,1
27.01.2017,2017,france,ligue-2-2016-2017,GFC Ajaccio,Laval,1.89,3.08,5.28,2.73,1.49,2.36,1.67,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/gfc-ajaccio-laval-n7X60V7L/,0,2,1
16.12.2016,2016,france,ligue-2-2016-2017,Le Havre,Tours,1.93,3.28,4.6,2.13,1.75,1.97,1.95,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/le-havre-tours-fu9c4xKG/,2,2,0
25.11.2016,2016,france,ligue-2-2016-2017,Strasbourg,Laval,2.05,2.95,4.63,2.63,1.52,2.14,1.77,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/strasbourg-laval-joB7g0l1/,1,1,0
03.10.2016,2016,france,ligue-2-2016-2017,Le Havre,Sochaux,2.31,2.9,3.65,2.60,1.51,2.04,1.78,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/le-havre-sochaux-WSjMasAs/,1,3,1
25.11.2016,2016,france,ligue-2-2016-2017,Bourg en Bresse,Red Star,2.39,3.02,3.43,2.28,1.66,1.9,1.99,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/bourg-peronnas-red-star-2LxK24RE/,1,5,1
14.10.2016,2016,france,ligue-2-2016-2017,Auxerre,Laval,2.47,2.81,3.49,2.73,1.46,2.06,1.76,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/auxerre-laval-8OrXHtWP/,1,2,0
21.02.2017,2017,france,ligue-2-2016-2017,Strasbourg,Tours,1.86,3.21,4.99,2.38,1.61,2.13,1.8,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/strasbourg-tours-OYoCvlo2/,1,6,1
09.12.2016,2016,france,ligue-2-2016-2017,Niort,Le Havre,2.7,2.96,3.03,2.37,1.62,1.94,1.94,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/niort-le-havre-vktChuL4/,0,2,1
16.12.2016,2016,france,ligue-2-2016-2017,Laval,Amiens,2.89,2.78,2.98,2.80,1.47,2.23,1.74,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/laval-amiens-sc-GlAg5I4A/,0,4,1
28.04.2017,2017,france,ligue-2-2016-2017,Nimes,Auxerre,1.75,3.44,5.23,2.14,1.73,1.98,1.9,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/nimes-auxerre-h4bbKaYs/,2,1,0
28.01.2017,2017,france,ligue-2-2016-2017,Amiens,Lens,2.8,2.9,2.98,2.41,1.60,2.04,1.88,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/amiens-sc-lens-Cluf3XN2/,1,3,1
13.01.2017,2017,france,ligue-2-2016-2017,Niort,Laval,2.37,2.86,3.7,2.81,1.47,2.25,1.73,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/niort-laval-rc3pmLX4/,0,4,1
21.10.2016,2016,france,ligue-2-2016-2017,Laval,Brest,2.65,2.78,3.18,2.76,1.46,2.12,1.72,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/laval-brest-GhpsQwOn/,2,1,0
29.11.2016,2016,france,ligue-2-2016-2017,Clermont,Tours,2.05,3.19,4.16,2.23,1.69,1.91,1.97,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/clermont-tours-A9SPtrMh/,0,0,0
21.10.2016,2016,france,ligue-2-2016-2017,Tours,Valenciennes,2.77,2.94,2.87,2.29,1.63,1.81,2.0,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/tours-valenciennes-l43V3m7p/,1,5,1
19.05.2017,2017,france,ligue-2-2016-2017,Brest,GFC Ajaccio,1.29,5.84,10.58,1.56,2.44,2.04,1.86,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/brest-gfc-ajaccio-lOJjoTxb/,1,8,1
05.05.2017,2017,france,ligue-2-2016-2017,Laval,Tours,2.69,3.17,2.77,2.01,1.84,1.8,2.13,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/laval-tours-EXRuXxIm/,2,4,1
04.02.2017,2017,france,ligue-2-2016-2017,Auxerre,Orleans,2.43,2.94,3.46,2.47,1.57,2.07,1.85,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/auxerre-orleans-KzKxElxL/,2,2,0
03.02.2017,2017,france,ligue-2-2016-2017,Amiens,Nimes,2.01,3.29,4.1,2.02,1.84,1.85,2.06,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/amiens-sc-nimes-j1FYEUME/,2,3,1
10.02.2017,2017,france,ligue-2-2016-2017,AC Ajaccio,Valenciennes,2.17,2.91,4.2,2.59,1.53,2.17,1.79,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/ac-ajaccio-valenciennes-zTJG8mHu/,1,5,1
20.09.2016,2016,france,ligue-2-2016-2017,AC Ajaccio,Auxerre,2.28,2.92,4.12,2.47,1.61,1.89,1.91,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/ac-ajaccio-auxerre-CbzSgFsi/,1,2,0
29.04.2017,2017,france,ligue-2-2016-2017,Troyes,Brest,2.61,3.13,2.89,1.95,1.89,1.75,2.18,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/troyes-brest-zmfJFymD/,1,1,0
23.09.2016,2016,france,ligue-2-2016-2017,Sochaux,AC Ajaccio,2.06,2.95,5.05,2.82,1.49,2.15,1.7,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/sochaux-ac-ajaccio-KlN3s0fD/,1,1,0
28.04.2017,2017,france,ligue-2-2016-2017,Niort,Reims,3.88,3.45,2.0,1.77,2.10,1.66,2.33,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/niort-reims-6722JJml/,2,3,0
17.02.2017,2017,france,ligue-2-2016-2017,Troyes,Nimes,1.91,3.39,4.42,1.90,1.95,1.77,2.19,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/troyes-nimes-tAtnA0hp/,0,0,0
03.03.2017,2017,france,ligue-2-2016-2017,Bourg en Bresse,Nimes,2.79,3.2,2.73,1.90,1.96,1.71,2.29,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/bourg-peronnas-nimes-nReJq1q3/,2,1,0
30.09.2016,2016,france,ligue-2-2016-2017,Tours,GFC Ajaccio,3.0,2.86,2.94,2.69,1.53,2.0,1.81,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/tours-gfc-ajaccio-hG0pfwvJ/,2,3,0
21.11.2016,2016,france,ligue-2-2016-2017,Brest,Niort,1.99,3.08,4.6,2.42,1.60,2.05,1.83,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/brest-niort-OGbskocF/,2,5,1
12.05.2017,2017,france,ligue-2-2016-2017,Bourg en Bresse,Brest,5.56,4.03,1.61,1.66,2.28,1.72,2.26,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/bourg-peronnas-brest-0nNujIOP/,2,3,1
27.09.2016,2016,france,ligue-2-2016-2017,GFC Ajaccio,Amiens,2.36,2.9,3.88,2.79,1.50,2.1,1.72,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/gfc-ajaccio-amiens-sc-AHbcvzr4/,0,2,1
03.02.2017,2017,france,ligue-2-2016-2017,Strasbourg,GFC Ajaccio,2.21,2.95,4.02,2.65,1.51,2.22,1.74,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/strasbourg-gfc-ajaccio-pOjU34ED/,1,2,0
05.05.2017,2017,france,ligue-2-2016-2017,Sochaux,Amiens,4.1,3.28,1.99,2.20,1.69,2.0,1.91,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/sochaux-amiens-sc-rDJdTfHC/,2,3,1
09.12.2016,2016,france,ligue-2-2016-2017,Red Star,Valenciennes,2.46,2.98,3.35,2.39,1.61,2.01,1.9,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/red-star-valenciennes-zHZKjJkH/,0,4,1
03.03.2017,2017,france,ligue-2-2016-2017,Sochaux,Le Havre,2.5,2.85,3.44,2.73,1.48,2.21,1.74,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/sochaux-le-havre-ziU6zc6k/,2,1,0
30.09.2016,2016,france,ligue-2-2016-2017,Laval,Clermont,2.54,2.9,3.52,2.71,1.52,2.04,1.78,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/laval-clermont-UJ4f4N1Q/,0,2,1
23.09.2016,2016,france,ligue-2-2016-2017,Bourg en Bresse,Laval,2.3,2.91,4.08,2.36,1.66,1.82,1.99,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/bourg-peronnas-laval-0OOFhQ2E/,0,0,0
24.02.2017,2017,france,ligue-2-2016-2017,Tours,Troyes,2.57,3.09,3.24,2.28,1.71,1.92,1.99,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/tours-troyes-tU8XLcid/,0,0,0
17.02.2017,2017,france,ligue-2-2016-2017,Sochaux,Laval,2.1,2.88,4.49,3.07,1.38,2.49,1.6,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/sochaux-laval-lIlKEtpT/,0,2,1
28.04.2017,2017,france,ligue-2-2016-2017,Amiens,AC Ajaccio,1.53,3.91,7.05,1.91,1.93,1.97,1.94,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/amiens-sc-ac-ajaccio-z59KRst8/,1,3,1
04.11.2016,2016,france,ligue-2-2016-2017,Tours,Brest,2.91,2.95,2.77,2.49,1.57,1.98,1.88,https://www.oddsportal.com/soccer/france/ligue-2-2016-2017/tours-brest-MiInT3zd/,2,1,0
