date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
19.01.2017,2017,italy,coppa-italia-2016-2017,AS Roma,Sampdoria,1.39,5.34,8.04,1.43,2.84,1.68,2.34,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/as-roma-sampdoria-2Dle7AAh/#1X2;2,1,4,0
18.01.2017,2017,italy,coppa-italia-2016-2017,Sassuolo,Cesena,1.75,3.77,5.05,1.85,2.01,1.87,2.05,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/sassuolo-cesena-v7ix0Jqq/#1X2;2,2,3,1
01.02.2017,2017,italy,coppa-italia-2016-2017,AS Roma,Cesena,1.17,7.99,16.6,1.37,3.13,2.0,1.9,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/as-roma-cesena-EqnF6aRp/#1X2;2,1,3,1
18.01.2017,2017,italy,coppa-italia-2016-2017,Lazio,Genoa,1.7,3.91,5.21,1.70,2.22,1.72,2.28,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/lazio-genoa-xvRkd4tO/#1X2;2,1,6,1
29.11.2016,2016,italy,coppa-italia-2016-2017,Chievo,Novara,1.66,3.68,5.71,2.13,1.75,2.03,1.84,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/chievo-novara-SQ4Aql6b/#1X2;2,1,3,0
10.01.2017,2017,italy,coppa-italia-2016-2017,Napoli,Spezia,1.2,7.08,17.27,1.54,2.50,2.33,1.69,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/napoli-spezia-x00nbiFl/#1X2;2,1,4,1
30.11.2016,2016,italy,coppa-italia-2016-2017,Atalanta,Pescara,1.46,4.39,7.75,1.78,2.09,1.9,1.96,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/atalanta-pescara-zi8IsSzB/#1X2;2,1,3,0
01.03.2017,2017,italy,coppa-italia-2016-2017,Lazio,AS Roma,3.24,3.43,2.29,1.77,2.13,1.63,2.45,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/lazio-as-roma-0WxaHVus/#1X2;2,1,2,0
31.01.2017,2017,italy,coppa-italia-2016-2017,Inter,Lazio,2.04,3.51,3.83,1.84,2.03,1.69,2.29,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/inter-lazio-4WVyFlNs/#1X2;2,2,3,1
25.01.2017,2017,italy,coppa-italia-2016-2017,Juventus,AC Milan,1.46,4.48,7.81,1.82,2.06,2.02,1.9,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/juventus-ac-milan-dEClM593/#1X2;2,1,3,1
12.01.2017,2017,italy,coppa-italia-2016-2017,AC Milan,Torino,2.04,3.52,3.83,1.90,1.96,1.75,2.23,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/ac-milan-torino-zwmH4ayS/#1X2;2,1,3,1
11.01.2017,2017,italy,coppa-italia-2016-2017,Fiorentina,Chievo,1.49,4.25,7.54,1.91,1.95,2.08,1.84,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/fiorentina-chievo-dnlD5uML/#1X2;2,1,1,0
24.01.2017,2017,italy,coppa-italia-2016-2017,Napoli,Fiorentina,1.54,4.47,6.14,1.56,2.52,1.65,2.42,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/napoli-fiorentina-2iDpNofc/#1X2;2,1,1,0
11.01.2017,2017,italy,coppa-italia-2016-2017,Juventus,Atalanta,1.5,4.33,7.38,1.86,2.00,2.02,1.9,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/juventus-atalanta-ADbfdVq1/#1X2;2,1,5,1
04.04.2017,2017,italy,coppa-italia-2016-2017,AS Roma,Lazio,1.7,4.11,4.83,1.57,2.52,1.59,2.55,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/as-roma-lazio-EZt3Gkem/#1X2;2,1,5,1
28.02.2017,2017,italy,coppa-italia-2016-2017,Juventus,Napoli,1.68,3.66,6.01,2.12,1.77,2.03,1.89,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/juventus-napoli-GU9Ek7Yt/#1X2;2,1,4,1
17.05.2017,2017,italy,coppa-italia-2016-2017,Juventus,Lazio,2.12,3.25,3.79,2.08,1.80,1.85,2.01,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/juventus-lazio-Uyv56xGI/#1X2;2,1,2,0
05.04.2017,2017,italy,coppa-italia-2016-2017,Napoli,Juventus,2.23,3.42,3.37,1.83,2.05,1.65,2.39,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/napoli-juventus-S4DIlRmm/#1X2;2,1,5,1
01.12.2016,2016,italy,coppa-italia-2016-2017,Bologna,Verona,2.08,3.27,3.93,2.03,1.84,1.78,2.13,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/bologna-verona-IFcNtnjH/#1X2;2,1,4,0
30.11.2016,2016,italy,coppa-italia-2016-2017,Sampdoria,Cagliari,1.55,4.25,6.15,1.68,2.24,1.7,2.25,https://www.oddsportal.com/soccer/italy/coppa-italia-2016-2017/sampdoria-cagliari-rur7jBg0/#1X2;2,1,3,0
13.12.2017,2017,italy,coppa-italia-2017-2018,Fiorentina,Sampdoria,1.79,3.91,4.36,1.65,2.29,1.61,2.32,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/fiorentina-sampdoria-4vjTsQe6/#1X2;2,1,5,1
06.08.2017,2017,italy,coppa-italia-2017-2018,Bari,Parma,2.5,3.11,3.01,2.27,1.65,1.92,1.87,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/bari-parma-rLwA4wh0/#1X2;2,1,3,1
28.11.2017,2017,italy,coppa-italia-2017-2018,Sampdoria,Pescara,1.44,4.93,6.48,1.40,2.88,1.56,2.44,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/sampdoria-pescara-OSMPUzOC/#1X2;2,1,5,1
06.08.2017,2017,italy,coppa-italia-2017-2018,Perugia,Gubbio,1.36,5.19,8.68,1.59,2.36,1.93,1.91,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/perugia-gubbio-n9MA3MVo/#1X2;2,1,3,1
29.11.2017,2017,italy,coppa-italia-2017-2018,Sassuolo,Bari,1.66,3.88,5.26,1.83,2.01,1.81,2.0,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/sassuolo-bari-2JLTTfwJ/#1X2;2,1,3,1
19.12.2017,2017,italy,coppa-italia-2017-2018,Napoli,Udinese,1.35,5.34,8.2,1.50,2.53,1.77,2.05,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/napoli-udinese-CQKREOSl/#1X2;2,1,1,0
12.08.2017,2017,italy,coppa-italia-2017-2018,Sassuolo,Spezia,1.57,4.12,5.87,1.86,1.98,1.95,1.93,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/sassuolo-spezia-048W8gJu/#1X2;2,1,2,0
12.08.2017,2017,italy,coppa-italia-2017-2018,Pordenone,Lecce,2.63,3.15,2.74,2.15,1.71,1.98,1.9,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/pordenone-lecce-pSWIcOwi/#1X2;2,1,5,1
06.08.2017,2017,italy,coppa-italia-2017-2018,Ternana,Trapani,2.74,3.03,2.77,2.22,1.69,1.91,1.91,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/ternana-trapani-zken8K7O/#1X2;2,2,1,0
12.08.2017,2017,italy,coppa-italia-2017-2018,Brescia,Pescara,2.72,3.54,2.48,1.61,2.36,1.53,2.6,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/brescia-pescara-tGJ6DRZ5/#1X2;2,2,4,1
12.08.2017,2017,italy,coppa-italia-2017-2018,Bologna,Cittadella,1.46,4.51,7.11,1.81,2.04,1.97,1.93,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/bologna-cittadella-Wre0A1Nd/#1X2;2,2,3,0
20.12.2017,2017,italy,coppa-italia-2017-2018,Atalanta,Sassuolo,1.82,3.73,4.62,1.87,2.01,1.78,2.12,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/atalanta-sassuolo-OAXYWfiH/#1X2;2,1,3,1
06.08.2017,2017,italy,coppa-italia-2017-2018,Brescia,Padova,1.72,3.68,5.03,2.03,1.79,2.0,1.83,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/brescia-padova-KjSqGaFi/#1X2;2,1,1,0
06.08.2017,2017,italy,coppa-italia-2017-2018,Carpi,Livorno,1.92,3.43,4.19,2.11,1.74,1.96,1.83,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/carpi-livorno-zRzwgTDe/#1X2;2,1,4,0
30.11.2017,2017,italy,coppa-italia-2017-2018,Genoa,Crotone,1.65,3.88,5.51,1.93,1.92,1.89,1.93,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/genoa-crotone-0WWsnjYC/#1X2;2,1,1,0
12.08.2017,2017,italy,coppa-italia-2017-2018,Benevento,Perugia,1.91,3.35,4.46,2.36,1.62,2.1,1.74,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/benevento-perugia-nqmVDzUl/#1X2;2,2,4,0
26.12.2017,2017,italy,coppa-italia-2017-2018,Lazio,Fiorentina,1.81,3.87,4.43,1.66,2.31,1.62,2.35,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/lazio-fiorentina-U9sWcdOe/#1X2;2,1,1,0
06.08.2017,2017,italy,coppa-italia-2017-2018,Entella,Cremonese,2.05,3.35,3.83,2.06,1.79,1.85,2.0,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/entella-cremonese-lbv65Jxf/#1X2;2,2,1,0
05.08.2017,2017,italy,coppa-italia-2017-2018,Ascoli,Juve Stabia,1.78,3.3,4.46,2.02,1.78,1.85,1.95,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/ascoli-juve-stabia-OEHZcIaN/#1X2;2,1,5,1
30.07.2017,2017,italy,coppa-italia-2017-2018,Piacenza,Massese,1.22,6.29,10.35,1.49,2.50,1.92,1.96,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/piacenza-massese-vmXI2HMC/#1X2;2,1,1,0
28.11.2017,2017,italy,coppa-italia-2017-2018,Spal,Cittadella,1.97,3.54,3.88,1.81,2.04,1.7,2.17,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/spal-cittadella-A5G9YIOm/#1X2;2,2,2,0
03.01.2018,2018,italy,coppa-italia-2017-2018,Juventus,Torino,1.33,5.27,10.31,1.72,2.21,2.12,1.75,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/juventus-torino-OdU1x12i/#1X2;2,1,2,0
12.08.2017,2017,italy,coppa-italia-2017-2018,Sampdoria,Foggia,1.38,4.96,8.32,1.67,2.22,1.97,1.93,https://www.oddsportal.com/soccer/italy/coppa-italia-2017-2018/sampdoria-foggia-AZg49Lx3/#1X2;2,1,3,0
