date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
10.02.2018,2018,italy,serie-a-women-2017-2018,Bari W,Fiorentina W,4.72,4.5,1.51,1.92,1.88,1.78,1.98,https://www.oddsportal.com/soccer/italy/serie-a-women-2017-2018/juventus-brescia-OEXozJdG/,2,3,0
12.05.2018,2018,italy,serie-a-women-2017-2018,Empoli W,Fiorentina W,17.0,9.5,1.08,1.65,2.20,1.53,2.38,https://www.oddsportal.com/soccer/italy/serie-a-women-2017-2018/asd-verona-asd-res-roma-OnRAAr7O/,2,4,1
22.12.2018,2018,italy,serie-a-women-2018-2019,Juventus W,ASD Verona W,1.0,13.0,52.0,1.25,3.56,3.3,1.29,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/juventus-asd-verona-tWNYdXCt/,1,6,1
22.12.2018,2018,italy,serie-a-women-2018-2019,Orobica W,Sassuolo W,9.62,5.92,1.22,1.30,3.50,1.61,2.19,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/orobica-sassuolo-EqMteBsg/,2,3,0
02.02.2019,2019,italy,serie-a-women-2018-2019,Fiorentina W,Chievo Verona W,1.05,13.5,22.5,1.20,4.00,2.1,1.65,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/fiorentina-chievo-verona-ziCa7uXF/,1,2,0
09.02.2019,2019,italy,serie-a-women-2018-2019,Bari W,Tavagnacco W,4.86,4.12,1.58,1.40,2.88,1.53,2.38,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/bari-tavagnacco-dKusKIGL/,0,0,0
20.04.2019,2019,italy,serie-a-women-2018-2019,AC Milan W,Chievo Verona W,1.13,7.73,14.0,1.62,2.18,1.57,2.26,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/bari-chievo-verona-EHa9dOIc/,2,3,1
26.01.2019,2019,italy,serie-a-women-2018-2019,Bari W,Fiorentina W,29.0,13.25,1.02,1.17,5.00,2.4,1.5,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/bari-fiorentina-0EXdmKup/,2,2,0
12.03.2019,2019,italy,serie-a-women-2018-2019,Sassuolo W,Bari W,1.57,4.05,5.06,1.68,2.09,1.7,2.02,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/sassuolo-bari-Sliv0cPk/,1,3,0
17.02.2019,2019,italy,serie-a-women-2018-2019,Juventus W,AC Milan W,1.87,3.44,3.74,1.64,2.15,1.62,2.43,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/juventus-ac-milan-OUPLCz9e/,1,2,0
05.01.2019,2019,italy,serie-a-women-2018-2019,Atalanta W,Fiorentina W,5.9,4.76,1.41,1.37,3.10,1.54,2.61,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/atalanta-fiorentina-KdisgkC5/,2,6,0
27.01.2019,2019,italy,serie-a-women-2018-2019,AC Milan W,Sassuolo W,1.31,5.25,7.28,1.40,2.89,1.57,2.51,https://www.oddsportal.com/soccer/italy/serie-a-women-2018-2019/ac-milan-sassuolo-AqFmAsmc/,1,7,1
