date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
18.03.2017,2017,italy,serie-b-2016-2017,Avellino,Novara,2.71,3.07,2.91,2.22,1.69,1.92,1.97,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/avellino-novara-tnIurZH9/,0,2,1
17.12.2016,2016,italy,serie-b-2016-2017,Bari,Avellino,1.87,3.34,4.73,2.11,1.77,1.94,1.94,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/bari-avellino-E7v5mLz6/,1,3,1
21.01.2017,2017,italy,serie-b-2016-2017,Trapani,Novara,2.5,3.01,3.21,2.33,1.64,1.95,1.93,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/trapani-novara-4CF5MoXr/,1,3,1
24.09.2016,2016,italy,serie-b-2016-2017,Cittadella,Brescia,1.67,3.74,5.95,1.90,2.00,1.74,2.09,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/cittadella-brescia-0lxgDDJl/,2,3,0
04.03.2017,2017,italy,serie-b-2016-2017,Trapani,Latina,1.88,3.29,4.93,2.42,1.60,2.19,1.74,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/trapani-latina-80b4DNCI/,0,2,1
28.02.2017,2017,italy,serie-b-2016-2017,Latina,Cesena,2.89,2.88,2.88,2.35,1.62,2.0,1.91,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/latina-cesena-EPJRa4rJ/,0,2,1
02.10.2016,2016,italy,serie-b-2016-2017,Ascoli,Spezia,3.28,2.96,2.45,2.57,1.51,2.04,1.78,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/ascoli-spezia-bqvVAuFm/,2,2,0
17.12.2016,2016,italy,serie-b-2016-2017,Cittadella,Pisa,2.03,3.07,4.47,2.49,1.57,2.16,1.77,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/cittadella-pisa-0OxDoa5I/,1,1,0
19.03.2017,2017,italy,serie-b-2016-2017,Cesena,Ternana,1.61,3.68,6.69,2.02,1.84,2.01,1.88,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/cesena-ternana-YqcKziAq/,1,1,0
24.09.2016,2016,italy,serie-b-2016-2017,Pisa,Ascoli,2.22,3.15,3.92,2.55,1.58,2.0,1.79,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/pisa-ascoli-UTT99VID/,1,3,1
03.10.2016,2016,italy,serie-b-2016-2017,Carpi,Pisa,1.75,3.29,5.4,2.38,1.53,2.11,1.72,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/carpi-pisa-SOVo7cEC/,0,2,1
12.03.2017,2017,italy,serie-b-2016-2017,L.R. Vicenza,Pisa,2.33,2.74,4.02,3.45,1.33,2.7,1.54,https://www.oddsportal.com/soccer/italy/serie-b-2016-2017/vicenza-virtus-pisa-6ir3UFmA/,1,3,1
