date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
27.08.2017,2017,italy,serie-c-group-a-2017-2018,Viterbese,Prato,1.91,3.25,4.2,2.20,1.66,2.0,1.73,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/viterbese-prato-pGYIaefE/,1,4,1
25.02.2018,2018,italy,serie-c-group-a-2017-2018,Arzachena,Follonica Gavorrano,1.98,3.42,3.54,1.95,1.82,1.84,1.94,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/arzachena-follonica-gavorrano-bFfExTen/,1,1,0
04.10.2017,2017,italy,serie-c-group-a-2017-2018,Pisa,Arzachena,1.4,4.13,8.47,2.15,1.68,2.59,1.45,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/pisa-arzachena-bqEIPCsH/,1,1,0
18.02.2018,2018,italy,serie-c-group-a-2017-2018,Pro Piacenza,Viterbese,2.92,2.88,2.55,2.55,1.46,2.2,1.62,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/pro-piacenza-viterbese-r3K4IPAU/,1,4,1
10.09.2017,2017,italy,serie-c-group-a-2017-2018,Viterbese,Carrarese,2.54,2.89,2.88,2.23,1.61,1.95,1.8,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/viterbese-carrarese-jcel18VI/,1,7,1
21.01.2018,2018,italy,serie-c-group-a-2017-2018,Pisa,Monza,2.05,3.02,3.96,2.76,1.43,2.37,1.58,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/pisa-monza-08YIsLxj/,1,1,0
22.10.2017,2017,italy,serie-c-group-a-2017-2018,Monza,Arezzo,2.42,2.94,2.93,2.43,1.53,1.96,1.76,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/monza-arezzo-fD80xBrK/,2,3,0
22.01.2018,2018,italy,serie-c-group-a-2017-2018,Lucchese,Livorno,5.51,3.49,1.68,2.06,1.72,2.11,1.74,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/lucchese-livorno-IqqEr1Nq/,0,2,1
04.10.2017,2017,italy,serie-c-group-a-2017-2018,Arezzo,Pontedera,1.8,3.49,4.52,2.22,1.65,2.01,1.73,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/arezzo-us-pontedera-G0IcUzTo/,1,3,1
20.03.2018,2018,italy,serie-c-group-a-2017-2018,Follonica Gavorrano,Monza,3.19,2.85,2.47,2.63,1.47,2.18,1.68,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/follonica-gavorrano-monza-E7O4yaY6/,1,1,0
11.05.2018,2018,italy,serie-c-group-a-2017-2018,Casertana,Rende,2.21,2.94,3.62,2.64,1.44,2.26,1.64,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/casertana-rende-d0NjiDaJ/,1,3,1
04.02.2018,2018,italy,serie-c-group-a-2017-2018,Alessandria,ACN Siena,2.15,3.11,3.58,2.28,1.61,1.99,1.79,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/alessandria-acn-siena-jZlVHhKJ/,0,2,1
04.02.2018,2018,italy,serie-c-group-a-2017-2018,Arzachena,Piacenza,2.32,3.06,2.98,2.10,1.66,1.85,1.92,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/arzachena-piacenza-bu2qfkSC/,1,3,0
20.05.2018,2018,italy,serie-c-group-a-2017-2018,FeralpiSalo,Alessandria,2.61,3.15,2.74,2.03,1.74,1.77,1.97,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/feralpisalo-alessandria-x2ReGk9K/,2,5,1
20.03.2018,2018,italy,serie-c-group-a-2017-2018,Alessandria,Carrarese,2.03,3.3,3.69,2.01,1.80,1.84,1.95,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/alessandria-carrarese-IuVewL3f/,1,5,0
01.10.2017,2017,italy,serie-c-group-a-2017-2018,Alessandria,Arezzo,1.73,3.4,4.74,2.17,1.61,2.03,1.71,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/alessandria-arezzo-8zgKGHbn/,2,1,0
24.03.2018,2018,italy,serie-c-group-a-2017-2018,Arezzo,Follonica Gavorrano,2.1,2.93,3.92,2.39,1.57,2.05,1.7,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/arezzo-follonica-gavorrano-YVcskI26/,0,0,0
29.03.2018,2018,italy,serie-c-group-a-2017-2018,Giana Erminio,Pisa,2.85,2.76,2.8,2.61,1.45,2.14,1.67,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/giana-erminio-pisa-EmvcqmWp/,2,6,1
17.03.2018,2018,italy,serie-c-group-a-2017-2018,Carrarese,Lucchese,1.69,3.56,5.1,2.11,1.68,2.0,1.77,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/carrarese-lucchese-bynDoqdE/,1,2,0
18.02.2018,2018,italy,serie-c-group-a-2017-2018,Arzachena,Pisa,3.26,2.83,2.42,2.61,1.44,2.19,1.65,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/arzachena-pisa-ADSiLRQB/,2,7,1
17.09.2017,2017,italy,serie-c-group-a-2017-2018,Lucchese,Monza,2.23,2.99,3.27,2.46,1.52,2.06,1.73,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/lucchese-monza-K0mVc3h7/,0,2,1
17.09.2017,2017,italy,serie-c-group-a-2017-2018,Piacenza,Arezzo,2.23,3.08,3.33,2.39,1.53,2.05,1.72,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/piacenza-arezzo-binZdN7D/,1,3,1
18.02.2018,2018,italy,serie-c-group-a-2017-2018,Pistoiese,Olbia,2.03,3.16,3.88,2.41,1.55,2.05,1.73,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/pistoiese-olbia-2mPqNmda/,2,3,1
11.02.2018,2018,italy,serie-c-group-a-2017-2018,Olbia,Pro Piacenza,1.88,3.12,4.57,2.49,1.49,2.27,1.58,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/olbia-pro-piacenza-Akp5UV3P/,0,0,0
10.06.2018,2018,italy,serie-c-group-a-2017-2018,Cosenza,Sudtirol,1.71,3.5,5.21,2.29,1.60,2.18,1.67,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/cosenza-sudtirol-O0Gfy5ZG/,1,2,0
20.03.2018,2018,italy,serie-c-group-a-2017-2018,Pistoiese,Pisa,3.46,2.97,2.27,2.67,1.46,2.3,1.62,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/pistoiese-pisa-61Bja2QD/,2,1,0
18.02.2018,2018,italy,serie-c-group-a-2017-2018,Alessandria,Monza,1.87,3.28,4.36,2.28,1.61,2.07,1.71,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/alessandria-monza-KOZvOTtg/,0,0,0
04.11.2017,2017,italy,serie-c-group-a-2017-2018,Olbia,Giana Erminio,2.0,3.35,3.7,2.00,1.74,1.78,1.96,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/olbia-giana-erminio-OUJYv44I/,1,3,0
22.10.2017,2017,italy,serie-c-group-a-2017-2018,Livorno,Giana Erminio,1.62,3.77,5.37,1.82,1.90,1.81,1.9,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/livorno-giana-erminio-GM9dwiTD/,1,3,1
