date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
17.02.2018,2018,italy,serie-c-group-b-2017-2018,Bassano,Fermana,2.28,2.82,3.65,2.52,1.51,2.13,1.72,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/bassano-virtus-fermana-Eg7ddOo6/,1,4,0
12.11.2017,2017,italy,serie-c-group-b-2017-2018,Sudtirol,Reggiana,2.02,3.04,3.91,2.60,1.42,2.29,1.57,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/sudtirol-reggiana-82e2y8ij/,0,2,1
10.09.2017,2017,italy,serie-c-group-b-2017-2018,L.R. Vicenza,Teramo,1.79,3.4,4.55,2.26,1.60,2.1,1.67,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/vicenza-virtus-teramo-EX7xTHKS/,1,1,0
29.04.2018,2018,italy,serie-c-group-b-2017-2018,Mestre,Santarcangelo,1.98,3.26,3.77,2.08,1.72,1.79,1.92,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/mestre-santarcangelo-pYyMhp8Q/,2,4,0
19.11.2017,2017,italy,serie-c-group-b-2017-2018,Renate,Teramo,2.03,3.14,3.86,2.29,1.61,1.99,1.78,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/renate-teramo-YJcTk76q/,0,0,0
21.03.2018,2018,italy,serie-c-group-b-2017-2018,Gubbio,Renate,2.57,2.97,2.92,2.42,1.55,1.98,1.8,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/gubbio-renate-S0cm2WOI/,0,4,1
06.05.2018,2018,italy,serie-c-group-b-2017-2018,Sudtirol,Mestre,2.0,3.22,3.89,2.04,1.73,1.84,1.88,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/sudtirol-mestre-OnJCr0pJ/,1,1,0
21.03.2018,2018,italy,serie-c-group-b-2017-2018,AlbinoLeffe,Fermana,2.1,3.08,3.68,2.53,1.51,2.14,1.69,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/albinoleffe-fermana-pI5W5EPg/,1,1,0
17.02.2018,2018,italy,serie-c-group-b-2017-2018,FeralpiSalo,Teramo,1.57,3.7,6.22,2.07,1.78,2.05,1.72,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/feralpisalo-teramo-MaUNCqWn/,0,2,1
02.12.2017,2017,italy,serie-c-group-b-2017-2018,Gubbio,Bassano,2.37,2.85,2.99,2.30,1.60,1.95,1.77,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/gubbio-bassano-virtus-hKQiDdXJ/,1,1,0
24.11.2017,2017,italy,serie-c-group-b-2017-2018,Pordenone,L.R. Vicenza,2.03,3.11,3.93,2.23,1.64,1.95,1.84,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/pordenone-vicenza-virtus-8dtz9nDL/,1,5,1
10.09.2017,2017,italy,serie-c-group-b-2017-2018,Renate,AlbinoLeffe,2.46,2.87,3.11,2.66,1.46,2.2,1.73,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/renate-albinoleffe-AuBLWaL3/,2,1,0
10.09.2017,2017,italy,serie-c-group-b-2017-2018,Fano,Pordenone,3.58,3.1,2.14,2.25,1.61,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/fano-pordenone-bq8YAIbp/,2,1,0
16.12.2017,2017,italy,serie-c-group-b-2017-2018,Reggiana,Teramo,2.05,2.97,3.8,2.48,1.52,2.07,1.69,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/reggiana-teramo-tjQsc1yO/,1,3,1
26.11.2017,2017,italy,serie-c-group-b-2017-2018,Triestina,Gubbio,1.88,3.18,4.03,1.84,1.75,1.88,1.92,https://www.oddsportal.com/soccer/italy/serie-c-group-b-2017-2018/triestina-gubbio-KzMA2pjk/,1,4,1
