date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
25.02.2018,2018,italy,serie-c-group-c-2017-2018,Sicula Leonzio,Virtus Francavilla,2.14,3.0,3.78,2.62,1.46,2.19,1.65,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/sicula-leonzio-virtus-francavilla-Ag29WM4o/,0,4,1
15.04.2018,2018,italy,serie-c-group-c-2017-2018,Trapani,Fidelis Andria,1.45,4.17,6.99,1.98,1.82,2.15,1.7,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/trapani-fidelis-andria-plfT5Bcj/,0,2,1
06.05.2018,2018,italy,serie-c-group-c-2017-2018,Casertana,Matera,1.82,3.17,4.87,2.03,1.77,1.82,1.87,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/casertana-matera-8KQHTZ6f/,1,3,0
11.02.2018,2018,italy,serie-c-group-c-2017-2018,Monopoli,Fidelis Andria,2.03,3.02,4.13,2.55,1.50,2.18,1.66,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/monopoli-fidelis-andria-Kt9T4Gf6/,1,2,0
29.04.2018,2018,italy,serie-c-group-c-2017-2018,Lecce,Paganese,1.15,7.33,19.27,1.58,2.30,2.53,1.48,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/lecce-paganese-fH0rFzh1/,1,1,0
09.04.2018,2018,italy,serie-c-group-c-2017-2018,Catania,Juve Stabia,1.62,3.68,5.66,2.11,1.73,2.05,1.78,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/catania-juve-stabia-82qkhhTj/,0,0,0
03.12.2017,2017,italy,serie-c-group-c-2017-2018,Bisceglie,Siracusa,2.57,2.95,2.93,2.32,1.60,1.94,1.78,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/bisceglie-siracusa-IqRgEQWQ/,2,1,0
30.12.2017,2017,italy,serie-c-group-c-2017-2018,Rende,Akragas,1.74,3.35,5.17,2.33,1.57,2.16,1.64,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/rende-akragas-ba21R96p/,1,2,0
04.11.2017,2017,italy,serie-c-group-c-2017-2018,Fidelis Andria,Lecce,3.76,3.25,2.01,2.27,1.62,2.01,1.73,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/fidelis-andria-lecce-zN6vaZ9P/,0,2,1
03.12.2017,2017,italy,serie-c-group-c-2017-2018,Matera,Fidelis Andria,1.72,3.38,5.23,2.01,1.79,1.95,1.81,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/matera-fidelis-andria-fRTM7O9f/,1,3,1
17.12.2017,2017,italy,serie-c-group-c-2017-2018,Trapani,Cosenza,1.52,3.77,6.79,2.30,1.61,2.4,1.57,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/trapani-cosenza-dYKkWbhC/,2,3,1
25.11.2017,2017,italy,serie-c-group-c-2017-2018,Siracusa,Catanzaro,2.06,3.06,3.87,2.42,1.53,2.13,1.72,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/siracusa-catanzaro-pWSoGn2E/,1,3,1
28.01.2018,2018,italy,serie-c-group-c-2017-2018,Matera,Reggina,1.83,3.46,4.25,2.00,1.80,1.92,1.89,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/matera-reggina-1914-YBcDC7dF/,0,2,1
11.05.2018,2018,italy,serie-c-group-a-2017-2018,Casertana,Rende,2.21,2.94,3.62,2.64,1.44,2.26,1.64,https://www.oddsportal.com/soccer/italy/serie-c-group-a-2017-2018/casertana-rende-d0NjiDaJ/,1,3,1
21.10.2017,2017,italy,serie-c-group-c-2017-2018,Catania,Sicula Leonzio,1.61,3.55,6.43,2.36,1.60,2.38,1.53,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/catania-sicula-leonzio-x4dHoPZ8/,2,3,1
02.09.2017,2017,italy,serie-c-group-c-2017-2018,Lecce,Trapani,2.06,3.14,3.76,2.07,1.74,1.91,1.91,https://www.oddsportal.com/soccer/italy/serie-c-group-c-2017-2018/lecce-trapani-QVaxbxK2/,1,3,1
