date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
26.03.2017,2017,italy,serie-d-group-a-2016-2017,Pro Sesto,Varese,2.01,3.2,3.3,2.08,1.70,1.8,1.91,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/borgosesia-calcio-gozzano-z1c2RTpp/,2,2,0
14.05.2017,2017,italy,serie-d-group-a-2016-2017,Matelica,Agnonese,1.69,3.5,4.3,1.64,2.07,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/inveruno-ac-chieri-jTLVWkNM/,2,4,1
24.05.2017,2017,italy,serie-d-group-a-2016-2017,Ravenna,Follonica Gavorrano,2.03,3.28,3.1,1.60,2.22,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/varese-varesina-naRjYaJd/,0,2,1
14.05.2017,2017,italy,serie-d-group-a-2016-2017,S. N. Notaresco,Vis Pesaro,1.86,3.24,3.72,2.34,1.52,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-ravenna-v1dzZFFf/,2,1,0
21.05.2017,2017,italy,serie-d-group-a-2016-2017,Olginatese,Lecco,1.83,3.46,3.62,1.78,2.02,2.38,1.53,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/varese-pro-settimo-dhyLcbQn/,2,5,1
05.02.2017,2017,italy,serie-d-group-a-2016-2017,Caronnese,Inveruno,1.94,2.86,4.1,1.67,2.15,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/caronnese-inveruno-AuXTBZS6/,2,6,1
31.05.2017,2017,italy,serie-d-group-a-2016-2017,Sicula Leonzio,Monza,2.61,3.2,2.25,1.74,2.06,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/sicula-leonzio-monza-dx7VZe0l/,2,1,0
18.01.2017,2017,italy,serie-d-group-a-2016-2017,Casale,Legnano,1.37,4.23,7.82,1.60,2.30,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/pro-settimo-inveruno-06JwO0wa/,0,0,0
11.12.2016,2016,italy,serie-d-group-a-2016-2017,Folgore Caratese,Inveruno,2.12,3.0,3.28,1.81,2.01,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-mestre-8ARaki7C/,2,5,1
18.12.2016,2016,italy,serie-d-group-a-2016-2017,Caronnese,Chieri,2.27,3.0,2.98,1.81,1.94,2.0,1.73,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/gozzano-bustese-milano-city-SEIEt6ke/,2,3,0
19.02.2017,2017,italy,serie-d-group-a-2016-2017,Pro Sesto,Folgore Caratese,1.74,3.24,4.3,1.75,2.05,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/pro-sesto-ac-chieri-2ZT3luVr/,1,2,0
02.06.2017,2017,italy,serie-d-group-a-2016-2017,Monza,Ravenna,1.94,3.3,3.18,1.94,1.75,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-ravenna-rwiQe2tm/,1,3,1
18.10.2017,2017,italy,serie-d-group-a-2017-2018,Bra,OltrepoVoghera,2.32,3.18,2.75,1.72,2.05,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/albissola-vis-pesaro-0Ye43MAH/,1,4,1
14.10.2017,2017,italy,serie-d-group-a-2017-2018,Seregno,Varesina,2.33,3.74,2.54,1.69,2.09,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/cavese-taranto-lhcu5ZoM/,0,0,0
19.05.2018,2018,italy,serie-d-group-a-2017-2018,San Severo,Nerostellati Frattese,2.01,3.36,3.38,1.66,2.15,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/fc-rieti-vibonese-AsOXofup/,2,3,1
20.05.2018,2018,italy,serie-d-group-a-2017-2018,S. N. Notaresco,Jesina,1.83,3.34,4.1,2.18,1.64,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/pavia-ac-chieri-WImxRWGg/,1,3,1
29.04.2018,2018,italy,serie-d-group-a-2017-2018,Seregno,Casale,2.39,3.24,2.74,1.78,1.97,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/seregno-calcio-casale-vNsDmoUN/,1,2,0
22.10.2017,2017,italy,serie-d-group-a-2017-2018,Varese,Caronnese,2.7,3.24,2.32,1.73,2.03,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/matelica-aquila-calcio-CpFaq8fC/,0,6,1
13.05.2018,2018,italy,serie-d-group-a-2017-2018,Altamura,Taranto,2.41,3.24,2.73,1.73,2.03,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/altamura-taranto-QshM09Pn/,2,2,0
14.10.2017,2017,italy,serie-d-group-a-2017-2018,Casale,Gozzano,2.9,3.54,2.16,1.89,1.85,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/pergolettese-darfo-boario-reMupY9d/,0,2,1
13.09.2017,2017,italy,serie-d-group-a-2017-2018,Folgore Caratese,Pavia,1.41,4.08,7.2,1.89,1.85,2.1,1.67,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/folgore-caratese-pavia-hOYZplE2/,1,3,1
17.09.2017,2017,italy,serie-d-group-a-2017-2018,Caronnese,Folgore Caratese,1.74,3.5,3.96,2.25,1.60,2.1,1.67,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/olginatese-como-dvQMxUF5/,1,5,1
13.05.2018,2018,italy,serie-d-group-a-2017-2018,Cavese,Audace Cerignola,1.69,3.76,4.3,1.69,2.09,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/cavese-audace-cerignola-rJ2H1kAt/,1,1,0
