date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
08.01.2017,2017,italy,serie-d-group-b-2016-2017,Grumellese,USD Dro,1.78,3.36,4.02,1.76,1.94,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2016-2017/fanfulla-ponte-san-pietro-pvPgjeoI/,1,1,0
14.05.2017,2017,italy,serie-d-group-a-2016-2017,S. N. Notaresco,Vis Pesaro,1.86,3.24,3.72,2.34,1.52,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-ravenna-v1dzZFFf/,2,1,0
25.01.2017,2017,italy,serie-d-group-b-2016-2017,Lecco,Pro Patria,18.0,7.0,1.13,1.46,2.14,2.1,1.67,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2016-2017/lecco-pro-patria-b3SGs9tP/,2,3,1
31.05.2017,2017,italy,serie-d-group-a-2016-2017,Sicula Leonzio,Monza,2.61,3.2,2.25,1.74,2.06,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/sicula-leonzio-monza-dx7VZe0l/,2,1,0
24.05.2017,2017,italy,serie-d-group-a-2016-2017,Monza,Mestre,1.93,3.35,3.68,1.81,2.01,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-mestre-8ARaki7C/,1,4,1
05.03.2017,2017,italy,serie-d-group-b-2016-2017,Monza,Olginatese,1.18,6.0,11.0,2.21,1.59,2.1,1.67,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2016-2017/pro-patria-grumellese-ALWtgc1a/,1,3,0
23.04.2017,2017,italy,serie-d-group-b-2016-2017,Levico Terme,Olginatese,2.39,3.1,2.74,1.53,2.40,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2016-2017/ciserano-bergamo-ciserano-6X36bbxn/,0,2,1
21.05.2017,2017,italy,serie-d-group-b-2016-2017,Imolese,Delta Porto Tolle,2.12,3.2,3.09,1.70,2.10,1.53,2.38,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2016-2017/seregno-calcio-ciserano-bergamo-2gGzLCkG/,1,1,0
24.05.2017,2017,italy,serie-d-group-a-2016-2017,Bisceglie,Sicula Leonzio,3.62,1.58,5.89,2.48,1.51,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-sicula-leonzio-UPF8mVyP/,0,2,1
08.01.2017,2017,italy,serie-d-group-a-2016-2017,Fanfulla,Seregno,4.24,4.0,1.59,1.94,1.75,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-ravenna-rwiQe2tm/,2,2,0
21.02.2018,2018,italy,serie-d-group-b-2017-2018,Rezzato,Ciserano,1.22,6.33,10.5,1.48,2.57,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2017-2018/rezzato-ciserano-OdSCETJ2/,1,5,1
20.05.2018,2018,italy,serie-d-group-a-2017-2018,Cavese,Taranto,1.84,3.44,3.9,1.69,2.09,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/cavese-taranto-lhcu5ZoM/,1,4,1
23.05.2018,2018,italy,serie-d-group-a-2017-2018,Rieti,Vibonese,2.2,3.48,2.79,1.66,2.15,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/fc-rieti-vibonese-AsOXofup/,2,3,1
25.03.2018,2018,italy,serie-d-group-b-2017-2018,Rezzato,Trento,1.4,4.32,6.95,1.45,2.70,1.5,2.5,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2017-2018/rezzato-trento-IqwzmTe3/,1,6,1
22.04.2018,2018,italy,serie-d-group-b-2017-2018,Ponte San Pietro,Milano City,1.57,3.86,5.15,1.60,2.30,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2017-2018/ponte-san-pietro-bustese-milano-city-0SWT9pXs/,0,4,1
22.10.2017,2017,italy,serie-d-group-b-2017-2018,Pro Patria,Caravaggio,1.69,3.38,4.42,1.75,2.01,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2017-2018/scanzorosciate-ciserano-bergamo-Y9x3MNGm/,1,3,1
28.01.2018,2018,italy,serie-d-group-b-2017-2018,Rezzato,Ponte San Pietro,1.72,3.46,4.22,1.57,2.35,1.5,2.5,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2017-2018/rezzato-ponte-san-pietro-rPRpufGF/,1,3,1
20.05.2018,2018,italy,serie-d-group-b-2017-2018,S. N. Notaresco,Jesina,1.83,3.34,4.1,1.66,2.14,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2017-2018/pro-patria-ciliverghe-mazzano-dOLwhLx7/,1,3,1
08.04.2018,2018,italy,serie-d-group-b-2017-2018,Ponte San Pietro,Ciserano,1.54,3.66,5.85,1.82,1.92,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-b-2017-2018/ponte-san-pietro-ciserano-EZ8DZILn/,1,3,1
